id,create_time,text,like_count,reply_count,parent_comment_id,video_id
7457818903860970262,2025-01-09 07:46:59,Danke für deinen Einsatz,3,0,7457812153555275030,7457812153555275030
7457849730850046742,2025-01-09 09:46:27,super ,1,0,7457812153555275030,7457812153555275030
7457815446173287190,2025-01-09 07:33:32,,1,0,7457812153555275030,7457812153555275030
7458245842516984598,2025-01-10 11:24:04,Vielen Dank an die unfähige Regierung,0,0,7457812153555275030,7457812153555275030
7457911018629464855,2025-01-09 13:44:05,Würde solche Einrichtungen mehr Unterstützen auch mit Sicherheit selbst das Personal wird aggressiv angegangen und wird beschissen,0,0,7457812153555275030,7457812153555275030
7457836973054001922,2025-01-09 08:57:07,Es ist eine schande das es in dem doch so reichen Deutschland solche Tafeln gibtach so armes DEaber die Politiker erhöhen sich auf unvetschämteste Weise ihre diätensie sollten sich schämen,0,8,7457812153555275030,7457812153555275030
7457477525296923414,2025-01-08 09:42:02,Zuckerberg musste Trump zuvorkommen und sich einschleimen sonst hätte es Konsequenzen für ihn geben,8,0,7457457438686498070,7457457438686498070
7457470789056152342,2025-01-08 09:16:00,"Betreutes Denken wird abgeschafft
Wer Deutschland liebt wählt AFD",5,17,7457457438686498070,7457457438686498070
7457483351395238679,2025-01-08 10:04:34,genau deswegen AFD ,4,4,7457457438686498070,7457457438686498070
7457625355655037718,2025-01-08 19:15:23,Was machst du gerade,3,0,7457457438686498070,7457457438686498070
7457576787552322326,2025-01-08 16:06:57,Und Leute denken immer es geht um Meinungsfreiheit Dabei geht es bei sozialen Netzwerken nur um Profit Als Zuckerbrot sich für irgendeinen seiner Benutzer interessiert,3,1,7457457438686498070,7457457438686498070
7457493531582923542,2025-01-08 10:44:06,Nur die AfD Sie sind für Deutschland und Frieden ,2,6,7457457438686498070,7457457438686498070
7457487538963038998,2025-01-08 10:20:57,Ist dir aufgefallen wie oft du die Phrase wir müssen nutzt,2,0,7457457438686498070,7457457438686498070
7457485303466820374,2025-01-08 10:12:26,Du sorry nein die Meinungsfreiheit wird beschnitten Durch die EUVorschriften Was ist eigentlich mit der Gewaltenteilung Wenn die nicht mehr stattfindet ist die Demokratie dahin Jetzt mal ernsthaft Kommentar löschen heißt doch auch schon Meinung beschneiden Wir müssen reden,2,0,7457457438686498070,7457457438686498070
7457461002507911958,2025-01-08 08:38:09,,2,3,7457457438686498070,7457457438686498070
7457866477136888598,2025-01-09 10:51:19,Deshalb nur noch AFD ,1,0,7457457438686498070,7457457438686498070
7457642650590593814,2025-01-08 20:22:30,Die EU gehört auf den Müllhaufen braucht keiner,1,0,7457457438686498070,7457457438686498070
7457624932886086422,2025-01-08 19:13:45,Also AFD,1,0,7457457438686498070,7457457438686498070
7457610097288692502,2025-01-08 18:16:10,Tapferer Parteisoldat,1,0,7457457438686498070,7457457438686498070
7457600718973059862,2025-01-08 17:39:51,Faktenchecker sind bezahlte Meinungsmacher Der Digital Services Act gehört wieder abgeschafft und die Zensur sofort beendet Die Verantwortlichen gehören verfolgt und bestraft,1,0,7457457438686498070,7457457438686498070
7457526127513338647,2025-01-08 12:50:32,Die EU muss einig sein hast du eigentlich nicht mitbekommen das Europa mehrheitlich rechts oder National gewählt hat,1,0,7457457438686498070,7457457438686498070
7457499110141838102,2025-01-08 11:05:48,Das euch Linksfaschisten das nicht gefällt ist schon klar,1,2,7457457438686498070,7457457438686498070
7457475917725401878,2025-01-08 09:35:54,Mit Israel wurde ein Präzedenzfall geschaffen Wenn der Westen die mächtigen Länder wegschauen wenn ein Land internationales Recht bricht fühlen sich andere auch nicht mehr daran gebunden,1,0,7457457438686498070,7457457438686498070
7457473869885850390,2025-01-08 09:27:57,,1,0,7457457438686498070,7457457438686498070
7457467685304828694,2025-01-08 09:03:59,Ja da werden natürlich die gatekeeper Angst bekommen Das ist gewollt Du kennst ja die Shaef Gesetze Schöne Grüße von einem JAG Anwalt ,1,1,7457457438686498070,7457457438686498070
7461630939253359382,2025-01-19 14:19:38,Leute die den Postillon nicht von der Realität unterscheiden können Na dann gute Nacht ,0,0,7457457438686498070,7457457438686498070
7458694420326679318,2025-01-11 16:24:29,Sehe ich auch so,0,0,7457457438686498070,7457457438686498070
7458572092511519510,2025-01-11 08:30:25,"bestimmt nicht SPD
Was die bis jetzt geleistet hat
merkt man ja
raus aus der EU sage ich",0,0,7457457438686498070,7457457438686498070
7458093598669275926,2025-01-10 01:33:51,Wer sind denn diese Fakten checker  und nach welchen Kriterien entscheiden sie Welche Ausbildung haben die und nach welchen belegbaren Anweisungen handeln sie ,0,0,7457457438686498070,7457457438686498070
7458059797943403286,2025-01-09 23:21:36,ne des ist super,0,0,7457457438686498070,7457457438686498070
7457987745932641046,2025-01-09 18:41:40,,0,0,7457457438686498070,7457457438686498070
7457779681263026946,2025-01-09 05:14:53,werden wir AFD,0,0,7457457438686498070,7457457438686498070
7457684317851173654,2025-01-08 23:04:24,berbock droht doch auch jedes Land ,0,0,7457457438686498070,7457457438686498070
7457652504777081622,2025-01-08 21:00:47,Das wird immer heftiger und Trump ist ein bunter Strauss von Hässlichkeit der da auf uns zukommt ,0,0,7457457438686498070,7457457438686498070
7457645244885091094,2025-01-08 20:32:34,gut das du weißt was wahr ist,0,0,7457457438686498070,7457457438686498070
7457644656298935062,2025-01-08 20:30:20,"Ich denke betreutes denken wird abgeschafft
Kein Demokrat wählt die Afd",0,0,7457457438686498070,7457457438686498070
7457637959857390358,2025-01-08 20:04:18,Was in den letzten Jahren auf großer Bühne gelogen und manipuliert wird spottet jeder Beschreibung Sollte man die Verbreitung von Fake News und Unwahrheiten unter Strafe stellen,0,0,7457457438686498070,7457457438686498070
7457636820920206102,2025-01-08 19:59:57,die Leute wünschen sich hier das aller schlimmste und wenn ich darauf schreibe du gurke werd ich gesperrt das ist ein absoluter Witz bin für social Media Kommentare ab 18 und mit Ausweis,0,0,7457457438686498070,7457457438686498070
7457633084639347478,2025-01-08 19:45:25,,0,0,7457457438686498070,7457457438686498070
7457628854519612182,2025-01-08 19:29:06,Europe united,0,0,7457457438686498070,7457457438686498070
7457621200107275030,2025-01-08 18:59:20,Du meinst abet schon die linksgrüne Hetze und Hass,0,0,7457457438686498070,7457457438686498070
7457475513376932630,2025-01-08 09:34:10,Wenn in X alles ignoriert wird und am Ende wird der Typ noch Berater von trump so zeigt das doch dass es sich nicht lohnt eher das Gegenteil,0,0,7457457438686498070,7457457438686498070
7457223264822248224,2025-01-07 17:15:03,Die Tür bleibt zu ,38,1,7457216621803769110,7457216621803769110
7457296129744143126,2025-01-07 21:57:56,Meine Rottweiler freuen sich immer über Besucher,20,1,7457216621803769110,7457216621803769110
7457235507507381014,2025-01-07 18:02:34,Ich Klatsch die Tür zu,11,0,7457216621803769110,7457216621803769110
7457219762709168918,2025-01-07 17:01:36,Schellt hier mal bitte an beginnt mit der obersten Schelle mal sehen wie weit ihr kommt ,9,7,7457216621803769110,7457216621803769110
7457304958896800534,2025-01-07 22:32:18,Geht bitte in die Brennpunkte und no go areas,8,1,7457216621803769110,7457216621803769110
7457272969015329558,2025-01-07 20:27:59,Tür bleibt zu,8,0,7457216621803769110,7457216621803769110
7457305752672830230,2025-01-07 22:35:24,OK dann kommt mal vorbei und bringt Zeit mit ,6,0,7457216621803769110,7457216621803769110
7457228861618750210,2025-01-07 17:36:51,Ich war im Dez in NRW und Berlin unterwegs Aber sicher nicht für Euch,6,28,7457216621803769110,7457216621803769110
7457261656324080406,2025-01-07 19:44:09,viel Erfolg und danke für euren Einsatz ,4,0,7457216621803769110,7457216621803769110
7457257325595935510,2025-01-07 19:27:19, Na versucht mal,4,1,7457216621803769110,7457216621803769110
7457223706772292374,2025-01-07 17:16:51,Ich habe ne blaue Haustür da Schellen die eh nicht ,4,1,7457216621803769110,7457216621803769110
7457228620970574614,2025-01-07 17:36:00,Konkurrenz für die Zeugen Jehovas,3,0,7457216621803769110,7457216621803769110
7457218412076532502,2025-01-07 16:56:24,Hoffentlich klopft keiner der Altparteien an meine Türich wüsste nicht ob ich mich verbal zurückhalten könnte,2,2,7457216621803769110,7457216621803769110
7457457413521769238,2025-01-08 08:24:15,Und wieder weiss ich warum meine klingel überwiegend aus ist ,1,0,7457216621803769110,7457216621803769110
7457444561792631574,2025-01-08 07:34:27,Oh ja bitte schellt bei mir,1,0,7457216621803769110,7457216621803769110
7457438626839331606,2025-01-08 07:11:09,,1,0,7457216621803769110,7457216621803769110
7457426453644165910,2025-01-08 06:23:59,Und ich dachte Blinker an einem BMW sind nutzlos,1,1,7457216621803769110,7457216621803769110
7457416924667642646,2025-01-08 05:47:06,oh gott das ist ja schlimmer wie zeugen Jehovas,1,1,7457216621803769110,7457216621803769110
7457416301839270678,2025-01-08 05:45:00,,1,0,7457216621803769110,7457216621803769110
7457269910826844950,2025-01-07 20:16:09,Stabil ,1,0,7457216621803769110,7457216621803769110
7457255268655072022,2025-01-07 19:19:25,Ich lass euch nicht rein,1,1,7457216621803769110,7457216621803769110
7457226736254731030,2025-01-07 17:28:33,,1,0,7457216621803769110,7457216621803769110
7457220710798639894,2025-01-07 17:05:20,Duke RainWumpsDoppel wumpsBazookaZeitenwendeAbschiebe OffensiveInnere SicherheitWohnungsbaucom excumcumCo2 Geld an Bürger zurück zahlenIndistrie VernichtungMigrationFacharbeiter SPD NE,1,0,7457216621803769110,7457216621803769110
7457218585603523350,2025-01-07 16:57:01,Dann schellt mal an ,1,0,7457216621803769110,7457216621803769110
7475098116141581078,2025-02-24 21:19:02,𝓓𝓲𝓮 𝓵𝓲𝓽𝓪𝓾𝓮𝓻𝓲𝓷  alessiaaahiiii PASS AUF LEUTE,0,1,7457216621803769110,7457216621803769110
7466365053853745942,2025-02-01 08:31:00,Da kann man nur die Tür wieder zu machen Wer den Olaf anbietet denkt nicht an Sicherheit,0,0,7457216621803769110,7457216621803769110
7465655624325301014,2025-01-30 10:38:08,Ich will keine SPDumm,0,0,7457216621803769110,7457216621803769110
7464301440263979798,2025-01-26 19:02:31,Der Sozi ist nicht grundsätzlich dumm er hat nur sehr viel Pech,0,0,7457216621803769110,7457216621803769110
7459334922936615702,2025-01-13 09:50:07, Bitte den Wahlkampf in die Südstadt verlagern ,0,0,7457216621803769110,7457216621803769110
7459161590953591574,2025-01-12 22:36:58,,0,0,7457216621803769110,7457216621803769110
7458993020123202326,2025-01-12 11:42:56,,0,0,7457216621803769110,7457216621803769110
7458717439423251222,2025-01-11 17:54:14,bringen fertig ausgefüllte BriefWahl Zettel,0,0,7457216621803769110,7457216621803769110
7458654067348423446,2025-01-11 13:48:21,,0,0,7457216621803769110,7457216621803769110
7458235021830112022,2025-01-10 10:42:47,Die klingeln nicht bei mir notfalls borgen ich mir vom Nachbarn den Hund ,0,0,7457216621803769110,7457216621803769110
7458190282023961366,2025-01-10 07:49:22,,0,0,7457216621803769110,7457216621803769110
7457827535796847382,2025-01-09 08:20:20,Schade wir sind schon zwei von der AfD zum Kaffee da,0,0,7457216621803769110,7457216621803769110
7457680083055149846,2025-01-08 22:47:55,wer RotGrünGelbSchwarz wählt der wählt Krieg Waffenlieferungen und die Verarmung Deutschlands  deswegen nur noch ,0,0,7457216621803769110,7457216621803769110
7457588434028118806,2025-01-08 16:52:14,,0,0,7457216621803769110,7457216621803769110
7457542277004935958,2025-01-08 13:53:15,Eine Blamage an jeder Haustür  Dass man die SPD überhaupt noch wählen darf,0,1,7457216621803769110,7457216621803769110
7457527192022041366,2025-01-08 12:54:36,Kann ich mit ihnen über Gott reden,0,1,7457216621803769110,7457216621803769110
7457521766006948630,2025-01-08 12:33:38,Habt ihr am Abend auch vergessen wo ihr wart so wie euer Kanzler,0,0,7457216621803769110,7457216621803769110
