id,create_time,text,like_count,reply_count,parent_comment_id,video_id
7461299933205250838,2025-01-18 16:55:38,"viel Erfolg 
Grüße aus Meppen",2,0,7461170705158147350,7461170705158147350
7461224668206711574,2025-01-18 12:03:39,nicht mal als Klopapier würde ich das nutzen zum Anfeuern vielleicht ,2,0,7461170705158147350,7461170705158147350
7461215712494355222,2025-01-18 11:28:28,Du hast schon in dieser kurzen Zeit fürs Cuxland und Stade erreicht Hafenerweiterung hast du in kurzer Zeit mit umgesetzt Ich sage nur Hafenerweiterung ,2,0,7461170705158147350,7461170705158147350
7461702564155409174,2025-01-19 18:57:36,,1,0,7461170705158147350,7461170705158147350
7461197689657721622,2025-01-18 10:18:29,Schon wieder wird einer aufgehängt,1,0,7461170705158147350,7461170705158147350
7461181414438634262,2025-01-18 09:15:42,,1,0,7461170705158147350,7461170705158147350
7470099693922894614,2025-02-11 10:03:08,SPD Steht für Raketen für Selensky Fahrad Wege für Peru co2 Steuer erhöht damit Tanken und Heizen unbezahlbar gemacht Hauptsache immer Bunter und immer Toleranter,0,0,7461170705158147350,7461170705158147350
7464191294173872918,2025-01-26 11:55:05,Viel Erfolg  ,0,0,7461170705158147350,7461170705158147350
7463031748659495702,2025-01-23 08:56:35,die Musikdie Bildersie feiern sich wie die Helden ,0,0,7461170705158147350,7461170705158147350
7463470469308777238,2025-01-24 13:18:00,Pistorius,0,0,7458599029329628418,7458599029329628418
7459867456715653910,2025-01-14 20:15:58,Zur Info damit ihr wisst warum hier viele Blauzis sind Die teilen Videos gegen die afd in Telegram dann kommen sie  kommentieren es sind immer die gleichen Blauzis unter verschiedenen Videos,0,0,7458599029329628418,7458599029329628418
7458601159991247638,2025-01-11 10:23:21,Pistorius Kanzler 2029 ,0,0,7458599029329628418,7458599029329628418
