id,create_time,text,like_count,reply_count,parent_comment_id,video_id
7457931792793043734,2025-01-09 15:04:36,sehr gute Rede ,1,0,7457902423764520224,7457902423764520224
7463960228771054369,2025-01-25 20:59:26,danke auch unkle ,0,0,7457902423764520224,7457902423764520224
7458815873999897366,2025-01-12 00:16:57,,0,0,7457902423764520224,7457902423764520224
7458724382405444374,2025-01-11 18:21:02,,0,0,7457902423764520224,7457902423764520224
7462837533215671062,2025-01-22 20:21:38,So muss Deutschland sein Color Power Spirit Demut Solidarität Toleranz Inspiration Vielfalt Moral Dankbarkeit Mut Würde Danke Danke Danke,2868,10,7462401208351771937,7462401208351771937
7462420326745490208,2025-01-21 17:22:26,Wichtige Worte wir dürfen Hass und Hetze niemals gewinnen lassen,2816,6,7462401208351771937,7462401208351771937
7462404101956731670,2025-01-21 16:20:00,Einer der besten Politiker den Halle und die SPD je hatte Danke für alles du wirst fehlen lieber Karamba ,1168,2,7462401208351771937,7462401208351771937
7462717352128873249,2025-01-22 12:35:16,Ich bin zwar kein SPD Wähler aber vielen Dank für Ihren Einsatz für Deutschland Ein sehr schöne und wertschätzende Rede,1156,2,7462401208351771937,7462401208351771937
7462451770687144726,2025-01-21 19:24:50,Ich finde es so unfassbar wertschätzend dass du dich auch bei den Mitarbeitenden bedankst Alleine dafür hast du mein Herz,554,0,7462401208351771937,7462401208351771937
7462409163256922902,2025-01-21 16:39:42,kenne sie nicht aber bedanke mich für dem Dienst am Land,378,0,7462401208351771937,7462401208351771937
7466105580454920982,2025-01-31 15:43:46,Nazis raus aus Deutschland,367,4,7462401208351771937,7462401208351771937
7462480551078871830,2025-01-21 21:16:50,Eine schöne Abschlussrede Ich kannte sie leider noch nicht Trotzdem danke für die letzten drei Legislaturen,324,0,7462401208351771937,7462401208351771937
7462442648260920086,2025-01-21 18:49:32,Klasse gesprochen ,274,0,7462401208351771937,7462401208351771937
7462437360703456022,2025-01-21 18:29:08,Standing Ovations,258,0,7462401208351771937,7462401208351771937
7462488508529541910,2025-01-21 21:47:57,Auf den Punkt gebracht Bravo,243,0,7462401208351771937,7462401208351771937
7463576986687456022,2025-01-24 20:11:13,Ich mag Menschen die sich auch bei den Servicekräften bedanken Diese werden zu oft einfach vergessen sind aber sehr wertvoll   Danke,220,0,7462401208351771937,7462401208351771937
7463025678461600534,2025-01-23 08:33:00,"Wir teilen diesen Herzenswunsch
OMAS GEGEN RECHTS ",156,0,7462401208351771937,7462401208351771937
7462460772635919126,2025-01-21 19:59:34,Immer wieder eine Schande zu sehen wie wenige Politiker an den Sitzungen teilnehmen Unabhängig der Parteizugehörigkeit,147,7,7462401208351771937,7462401208351771937
7462461762778350358,2025-01-21 20:03:51,Alles gute lieber Karamba Danke dass du immer engagiert im Bundestag für uns warst ,116,0,7462401208351771937,7462401208351771937
7462507359890670358,2025-01-21 23:01:06,sowas gehört in den Bundestag,109,2,7462401208351771937,7462401208351771937
7462412536886772502,2025-01-21 16:52:44,Danke für Ihre Arbeit und Respekt für Ihr Dagegenhalten und Aushalten der ganzen rechten Anfeindungen Ich wünsche Ihnen Glück und Ruhe für Schönes,94,0,7462401208351771937,7462401208351771937
7462449815010575126,2025-01-21 19:17:26,Danke für diese Worte und die Hoffnung,86,0,7462401208351771937,7462401208351771937
7462710771340804886,2025-01-22 12:09:55,Wahre Worte und alles gute für ihre Zukunft ,80,0,7462401208351771937,7462401208351771937
7462445042920588055,2025-01-21 18:58:52,Danke für Ihren Einsatz und nur das Beste für die Zukunft ,68,0,7462401208351771937,7462401208351771937
7462452144051487510,2025-01-21 19:26:16,Sie sind ein so selten feiner Mensch Danke für die persönliche Begegnung all Ihre gute Arbeit bisher und viel Glück und Erfolg für den weiteren Weg die Familie und Ihren Garten ,61,0,7462401208351771937,7462401208351771937
7462440067789882134,2025-01-21 18:39:16,Bitte bleiben Sie in Deutschland bitte,55,0,7462401208351771937,7462401208351771937
7462461336233116438,2025-01-21 20:01:50,Vielen Dank für Ihren unermüdlichen Einsatz für die Demokratie ,51,0,7462401208351771937,7462401208351771937
7462828032991920918,2025-01-22 19:44:56,Sie sind einer der wenigen Politiker die einen Raum vergrößern sobald sie ihn betreten Die Würde des Menschen ist unantastbar Ihre Würde ist unfassbar DANKE ,46,1,7462401208351771937,7462401208351771937
7462486688314704662,2025-01-21 21:40:52,Ein Danke an Sie ist leider noch zu wenig  Ich möchte Sie bitten weiter zu machen So viel Einsatz ,46,0,7462401208351771937,7462401208351771937
7462439327794250518,2025-01-21 18:36:48,Und ich bin dankbar für Ihren Dienst an unserem schönen Land  Gott vergelts ,40,0,7462401208351771937,7462401208351771937
7462457639663207190,2025-01-21 19:47:30,Danke Karamba ,39,0,7462401208351771937,7462401208351771937
7462459889269981985,2025-01-21 19:56:16,danke Ihnen und bleiben Sie gesund und zuversichtlich,38,0,7462401208351771937,7462401208351771937
7463204347008484118,2025-01-23 20:05:22,Er hat sich 2018 die Sorgen und Gedanken der Therapeuten am Limit angehört und sich ausführlich ausgetauscht Danke dafür ,36,0,7462401208351771937,7462401208351771937
7462505709336101654,2025-01-21 22:55:00,Tolle Rede ,35,0,7462401208351771937,7462401208351771937
7462478320253338391,2025-01-21 21:07:46,Alles Gute für Ihre Zukunft,35,0,7462401208351771937,7462401208351771937
7462427652160094998,2025-01-21 17:51:24,Danke für das Engagement,30,0,7462401208351771937,7462401208351771937
7462420463827927830,2025-01-21 17:23:32,Danke für die großartige Arbeit,29,0,7462401208351771937,7462401208351771937
7462447412310590230,2025-01-21 19:07:58,Beeindruckend,28,0,7462401208351771937,7462401208351771937
7462431628465046294,2025-01-21 18:06:43,Warum macht er nicht mehr weiter,26,14,7462401208351771937,7462401208351771937
7462495806014276374,2025-01-21 22:16:22,Menschen wie Ihnen liegt so viel an diesem Land Danke für diese harte Arbeit,21,0,7462401208351771937,7462401208351771937
7462469293457670934,2025-01-21 20:32:59,Du wirst fehlen Danke für dein Engagement für uns und unsere Demokratie,20,0,7462401208351771937,7462401208351771937
7462652631904355094,2025-01-22 08:25:17,danke für deinen einsatz für unsere Händelstadt ,17,0,7462401208351771937,7462401208351771937
7462636166287885078,2025-01-22 07:21:40,Ich habe mich immer sehr gefreut Sie in den TVÜbertragungen aus dem Bundestag zu sehen und freue mich jetzt umso mehr Sie in unserer gemeinsamen Heimat Halle Saale zu treffen Vielen Dank,17,0,7462401208351771937,7462401208351771937
7462727833837634326,2025-01-22 13:16:31,Ich kannte sie bisher nicht aber starke Worte ,16,0,7462401208351771937,7462401208351771937
7462701762728854274,2025-01-22 11:35:33,Warum soll das die letzte Rede sein Wir brauchen Sie,15,0,7462401208351771937,7462401208351771937
7462451535135458070,2025-01-21 19:24:00, Danke für deine Arbeit ,14,0,7462401208351771937,7462401208351771937
7462488863866503958,2025-01-21 21:49:14,Sehr traurig das alles ,13,0,7462401208351771937,7462401208351771937
7463385995132781334,2025-01-24 07:50:38,Ich als Merseburger kenne nicht viel gutes aus Halles aber sie und ihre Arbeit gehören dazu,11,0,7462401208351771937,7462401208351771937
7462817458338267936,2025-01-22 19:03:32,kämpfer für Demokratie und Toleranzsolche Politiker und Menschen brauchen wir ,11,0,7462401208351771937,7462401208351771937
7462694239038784278,2025-01-22 11:06:01,Danke für Ihre Arbeit ,11,0,7462401208351771937,7462401208351771937
7462454172580807446,2025-01-21 19:34:14,ich hoffe du wirst weitermachen und wieder gewählt wenn du wieder aufgestellt wirstauch du bist eine Bereicherung für unser Leben ,11,0,7462401208351771937,7462401208351771937
7462696712814281494,2025-01-22 11:15:37,ein wunderbarer mutiger Mann Danke,10,0,7462401208351771937,7462401208351771937
7462466033459725078,2025-01-21 20:20:13,Vielen Dank für ihre Arbeit,10,0,7462401208351771937,7462401208351771937
7462464628431094550,2025-01-21 20:14:52,Danke für deinen Einsatz Es großer Verlust für die Sozialdemokratie und den Parlamentarismus,10,0,7462401208351771937,7462401208351771937
7462456839005766422,2025-01-21 19:44:38, Klasse gesprochen ,10,0,7462401208351771937,7462401208351771937
7462708745370682134,2025-01-22 12:02:22,SPD ,9,0,7462401208351771937,7462401208351771937
7462500203804721942,2025-01-21 22:33:24,GaLiGrü aus Leipzig und viel Erfolg  Freude bei dem was die Zukunft für Sie bereit hält ,9,0,7462401208351771937,7462401208351771937
7462487302955778838,2025-01-21 21:42:55,Danke für ihre Arbeit ,9,0,7462401208351771937,7462401208351771937
7462499437244646166,2025-01-21 22:30:03,Aber ich verstehe wenn man irgendwann auch sagt dass es gut ist und sich auch gewissen Situationen nicht mehr aussetzen alles Gute für deine Zukunft weiterhin Mut Kraft und Zuversicht für dich,8,0,7462401208351771937,7462401208351771937
7462429379277685526,2025-01-21 17:57:57,Tatsächlich hast du ein Verdienstkreuz verdient und nicht irgendwelche Lobbyisten oder Großindustrielle,8,0,7462401208351771937,7462401208351771937
7462403277045924630,2025-01-21 16:16:44,,8,0,7462401208351771937,7462401208351771937
7465774065581441814,2025-01-30 18:17:03,So möchte ich dass die Politik in meinem Land spricht und handelt Bitte mehr davon Und danke für Ihren Dienst ,7,0,7462401208351771937,7462401208351771937
7462608118716351254,2025-01-22 05:33:18,Sehr schön gesagt Man muss auch Danke sagen können,7,0,7462401208351771937,7462401208351771937
7462474712993497878,2025-01-21 20:54:03,Jawohl,7,0,7462401208351771937,7462401208351771937
7462647278592508694,2025-01-22 08:04:26,Danke für Ihren Dienst ,6,0,7462401208351771937,7462401208351771937
7462529764388766487,2025-01-22 00:31:09,Danke für alles,6,0,7462401208351771937,7462401208351771937
7462487208215479062,2025-01-21 21:42:49,Ich habe Gänsehaut und Tränen in den Augen ,6,0,7462401208351771937,7462401208351771937
7462429499063042838,2025-01-21 17:58:32,Ehrenmann,6,0,7462401208351771937,7462401208351771937
7462427159748395798,2025-01-21 17:49:21,,6,0,7462401208351771937,7462401208351771937
7462518374435062550,2025-01-21 23:44:35,alles Gute,5,0,7462401208351771937,7462401208351771937
7462507122081858326,2025-01-21 23:00:08,Hut ab Daran sollte sich manch anderer Politiker ein Beispiel nehmen,5,0,7462401208351771937,7462401208351771937
7462470409163670294,2025-01-21 20:37:23,Die Wahrheit ist was anderes Er hat Angst um seine Familie wurde bedroht Schlimm sowas,5,2,7462401208351771937,7462401208351771937
7462459481436816150,2025-01-21 19:54:44,Vielen Dank Traurig ,5,0,7462401208351771937,7462401208351771937
7462453207127524098,2025-01-21 19:30:18,Der rechte Flügel hat es nicht nötig Beifall zu spenden Eine weitere Form der Respektlosigkeit Nicht wählbar,5,1,7462401208351771937,7462401208351771937
7462434025144468246,2025-01-21 18:15:55,,5,0,7462401208351771937,7462401208351771937
7470207753408840470,2025-02-11 17:02:08,Dem Wunsch schließe ich mich an Alles Liebe für Sie ,4,0,7462401208351771937,7462401208351771937
7465820421608047382,2025-01-30 21:16:57,nie wieder ist jetzt ,4,0,7462401208351771937,7462401208351771937
7462515130937459478,2025-01-21 23:31:34,Alles Gute ihnen ,4,0,7462401208351771937,7462401208351771937
7462507329356104470,2025-01-21 23:00:59,aber warum hõrt er auf,4,1,7462401208351771937,7462401208351771937
7462462082727068438,2025-01-21 20:04:44,karamba diaby gefällt mir besonderst der in der Gefahr den Mut hat in Halle sein wirken fruchtet abwohl ich nie mehr SPD wähledie seit der Agenda 2010 in den Ruin trieben,4,0,7462401208351771937,7462401208351771937
7462435965820158742,2025-01-21 18:23:31,,4,0,7462401208351771937,7462401208351771937
7462433554854642454,2025-01-21 18:14:22,,4,0,7462401208351771937,7462401208351771937
7462429696036061985,2025-01-21 17:58:44,,4,0,7462401208351771937,7462401208351771937
7467517989313217303,2025-02-04 11:04:59,solche Menschen brauchen wir ,3,0,7462401208351771937,7462401208351771937
7465793232057910038,2025-01-30 19:31:26,Auf den Punkt gebracht Hass und Hetze dürfen niemals gewinnen ,3,0,7462401208351771937,7462401208351771937
7465752810997039894,2025-01-30 16:54:41,ein gebildeter rhetorisch guter Demokratdanke,3,0,7462401208351771937,7462401208351771937
7463196714670506774,2025-01-23 19:35:36,Wenn eine Tür zu geht öffnet sich eine größere Gottes Segen für ihre Zukunft ,3,0,7462401208351771937,7462401208351771937
7463045884633875222,2025-01-23 09:51:17,Respekt  für klare Worte,3,0,7462401208351771937,7462401208351771937
7462523991140926230,2025-01-22 00:06:56,Danke dass du trotz der schlimmen Dinge du du erleben musstest so lange ausgehalten hast,3,0,7462401208351771937,7462401208351771937
7462478210736685846,2025-01-21 21:07:37,Danke für die tolle Rede ,3,0,7462401208351771937,7462401208351771937
7462478101680554774,2025-01-21 21:07:09,Ehrenmann Danke und alles Gute für die Zukunft  ,3,0,7462401208351771937,7462401208351771937
7462468460310151958,2025-01-21 20:29:55,Wieso sehe ich Sie heute zum ersten mal  Dazu sind Sie doch viel zu gut  Andere die weit unter Ihrem Niveau sind sehe ich hier ständig  ,3,0,7462401208351771937,7462401208351771937
7470658443986436886,2025-02-12 22:11:09,Danke für diese wertschätzenden Worte Alles Gute für Sie und Ihre Familie ,2,0,7462401208351771937,7462401208351771937
7466585312388088608,2025-02-01 22:44:48,Da hat er recht niemals darf eine Partei die Hass und Hetzte verbreitet an die Macht kommen so hat es leider auch angefangen sagte auch schhon 1,2,1,7462401208351771937,7462401208351771937
7466162464075514646,2025-01-31 19:24:15,Ich bin kein SPD Fan aber diese Rede hat mich sehr beeindruckend Vielen Dank,2,0,7462401208351771937,7462401208351771937
7463496068652942113,2025-01-24 14:57:08,Ich bin traurig das sie sich verabschieden ihr Bundesteam ist die ganzen Jahre hin ein wunderbares Team gewesen und sehr Kompetent Sie selbst waren für mich immer ein Vorbild an Demokratischer Poli,2,1,7462401208351771937,7462401208351771937
7462814193864278806,2025-01-22 18:51:05,gute Worte,2,0,7462401208351771937,7462401208351771937
7462774787988914966,2025-01-22 16:18:34, danke ,2,0,7462401208351771937,7462401208351771937
7462706409256944406,2025-01-22 11:53:19,schade daß Sie nicht mehr Kandidieren aber man muss Prioritäten setzen ,2,0,7462401208351771937,7462401208351771937
7462645298076975895,2025-01-22 07:56:58,Warum hört er auf,2,3,7462401208351771937,7462401208351771937
7462634717382558486,2025-01-22 07:16:15,Ich werde Sie sehr vermissen,2,0,7462401208351771937,7462401208351771937
7462520240313139990,2025-01-21 23:51:57,danke wunderbar,2,0,7462401208351771937,7462401208351771937
7462504208328393494,2025-01-21 22:48:45,Eine tolle Rede  da sollten sich viele ein Beispiel dran nehmen,2,0,7462401208351771937,7462401208351771937
7462503706858193686,2025-01-21 22:47:11,Danke du unbekannter Mensch ,2,0,7462401208351771937,7462401208351771937
7462461726634722070,2025-01-21 20:03:19,symphatischer Typ,2,0,7462401208351771937,7462401208351771937
7462456034902147862,2025-01-21 19:41:26,,2,0,7462401208351771937,7462401208351771937
7462454178402140930,2025-01-21 19:34:00,,2,0,7462401208351771937,7462401208351771937
7462443240424473366,2025-01-21 18:51:37,,2,0,7462401208351771937,7462401208351771937
7469324850416091926,2025-02-09 07:56:20,Die SPD hat mich enttäuscht Sie als Politiker brauchen wir aber Bitte geben Sie nicht auf,1,0,7462401208351771937,7462401208351771937
7468587401193374486,2025-02-07 08:15:17,und kaum einer hört zu weil keiner da,1,0,7462401208351771937,7462401208351771937
7466391254228763414,2025-02-01 10:12:25,Die Kommentare hier geben mir ehrlich Hoffnung So sollte es aussehen Menschlichkeit Empathie und Zusammenhalt sehr schön ,1,0,7462401208351771937,7462401208351771937
7466136432206332694,2025-01-31 17:43:02,Super gesprochen Dank Dankm,1,0,7462401208351771937,7462401208351771937
7466121835777426198,2025-01-31 16:46:38,Gesprochen wie ein Löwe wie ein Löwe ,1,0,7462401208351771937,7462401208351771937
7465871298770600726,2025-01-31 00:35:39,Wann machst du Kanzler Bitte mach mal auf süß bitti bitti,1,0,7462401208351771937,7462401208351771937
7465826320292315926,2025-01-30 21:39:48,Danke Karamba Ich wünsche dass Du noch viele Reden halten kannst  Schön dass es Dich gibt  ,1,0,7462401208351771937,7462401208351771937
7465719012741546775,2025-01-30 14:43:35,Danke für Ihren Dienst für die DemokratieKönnen mehr Politiker wie Sie gebrauchen,1,0,7462401208351771937,7462401208351771937
7465713311125586710,2025-01-30 14:21:28,"
 LinkeGrüne 
",1,0,7462401208351771937,7462401208351771937
7465310249756558102,2025-01-29 12:17:36,Danke,1,0,7462401208351771937,7462401208351771937
7463223681675477782,2025-01-23 21:20:22,Amin,1,0,7462401208351771937,7462401208351771937
7462878830157710102,2025-01-22 23:03:18,es ist bedauerlich dass der Bundestag einen guten Demokraten verlieren könnte Ich wünsche ihnen für die Zukunft alles Gute ,1,0,7462401208351771937,7462401208351771937
7462700710385992470,2025-01-22 11:31:29,Medase ,1,0,7462401208351771937,7462401208351771937
7462681664813450006,2025-01-22 10:17:33,,1,0,7462401208351771937,7462401208351771937
7462500779365401366,2025-01-21 22:35:37,Ich kenne ihn nicht aber ich mag ihn direkt,1,0,7462401208351771937,7462401208351771937
7462497702174999318,2025-01-21 22:23:39,Applaus ,1,0,7462401208351771937,7462401208351771937
