id,create_time,text,like_count,reply_count,parent_comment_id,video_id
7487671332710662967,2025-03-30 18:29:29,Hallo mein Freund dein Profilbild sieht wunderschön aus und ich liebe deine Videos Ich möchte dass wir beide Freunde werden Kannst du mir folgen,0,0,7457169935639399702,7457169935639399702
7467725230590149381,2025-02-05 00:28:25,,0,0,7457169935639399702,7457169935639399702
7462697089785643781,2025-01-22 11:16:39,Wunderschönes Gute Arbeit dir tust Grüße aus Berlin,0,0,7457169935639399702,7457169935639399702
7459051059941933830,2025-01-12 15:28:14,Hübsche Frau Wunderschön Wie geht es dir,0,0,7457169935639399702,7457169935639399702
7494249328538649349,2025-04-17 11:55:21,,0,0,7456840911759101206,7456840911759101206
7486912960699646725,2025-03-28 17:26:26,Wunderschön,0,0,7456839965788392726,7456839965788392726
7465430428330754838,2025-01-29 20:03:24,bin kein Fan der SPD aber es geht hier nicht um politische Fragen sondern um die Grundlage unserer Demokratie und die Wahrung der Menschenrechte Danke dass sie Ihre Stimme erheben,10,0,7465427104419695894,7465427104419695894
7465429810387976982,2025-01-29 20:00:57,Hurra die Demokratie lebt,4,0,7465427104419695894,7465427104419695894
7465429166776763158,2025-01-29 19:58:37,Des Volkes Wille Nix anderes,3,0,7465427104419695894,7465427104419695894
7469945187265069846,2025-02-11 00:05:11,SPD,3,0,7465427104419695894,7465427104419695894
7465468623592178454,2025-01-29 22:31:58,Wenn ihr nicht mehr für das Volk seid ,1,0,7465427104419695894,7465427104419695894
7465449528038556438,2025-01-29 21:17:54,Endlich hat einer mal kapiert was Demokratie heißt,1,0,7465427104419695894,7465427104419695894
7465437839691760406,2025-01-29 20:32:23,gegenafd,1,0,7465427104419695894,7465427104419695894
7465431811586884374,2025-01-29 20:08:45,oh das tut bestimmt auch weh hab aber nur schonmal was von Dammriss gehört gute Besserung,1,0,7465427104419695894,7465427104419695894
7465431045044454166,2025-01-29 20:05:55,Wir haben heute gelebte Demokratie erlebt Aber wenn man eben nur noch 16 hat ist es einfacher auf alle andere zu schimpfen als sich selbst zu überdenken und die Fehler bei sich zu suchen ,1,0,7465427104419695894,7465427104419695894
7465429532948267798,2025-01-29 20:00:08,Demo bezalte von linke 60pro Kopf ,1,1,7465427104419695894,7465427104419695894
7465428336325837590,2025-01-29 19:55:29,,1,0,7465427104419695894,7465427104419695894
7496771791656174358,2025-04-24 07:03:38,,0,0,7465427104419695894,7465427104419695894
7494249085261415173,2025-04-17 11:54:33,hello dear I sent you a request please accept my request lets be friends ,0,0,7465427104419695894,7465427104419695894
7492000558632223494,2025-04-11 10:29:15,Guten Morgen wie geht es dir heute Morgen und wie war deine Nacht Und ich wünsche dir ein schönes Wochenende,0,0,7465427104419695894,7465427104419695894
7476854567675265814,2025-03-01 14:54:37,Terrible decision ,0,0,7465427104419695894,7465427104419695894
7474013686631760662,2025-02-21 23:11:27,Wie so das die SPD hatte doch auch nach 1945 21 offizielle Mitglieder die offiziell bei der NSDAP SS und SA waren also erst vor der eigenen Haustür sauber machen,0,0,7465427104419695894,7465427104419695894
7473196019330548503,2025-02-19 18:17:45,nu SPD,0,0,7465427104419695894,7465427104419695894
7469351104435782422,2025-02-09 09:37:58,Die SPD hat seit ihrem Bestehen schon zig Mal die Arbeiterklasse verraten und betrogen,0,0,7465427104419695894,7465427104419695894
7468090730684023574,2025-02-06 00:08:50,Immer die gleiche Leier,0,0,7465427104419695894,7465427104419695894
7467558639962145541,2025-02-04 13:42:05,Ich bin wirklich sehr beeindruckt von deinem Profil und dem Beitrag den du hier teilst Normalerweise schreibe ich hier nicht aber ich denke du verdienst dieses Kompliment ,0,0,7465427104419695894,7465427104419695894
7465613231262286614,2025-01-30 07:54:07,Über 60der Basis der SPD wollten Scholz nicht als Kanzlerkandidat Soviel zur Demokratie in den Reihen der SPD ,0,0,7465427104419695894,7465427104419695894
7465593216755729174,2025-01-30 06:35:50,,0,0,7465427104419695894,7465427104419695894
7465593233985684246,2025-01-30 06:35:46,,0,0,7465427104419695894,7465427104419695894
7465515886515946262,2025-01-30 01:40:06,Das ist doch gut ,0,0,7465427104419695894,7465427104419695894
7465491738108576534,2025-01-30 00:03:21,Was alles möglich ist wenn man die Sorgen der Bürger mal ernst nimmt und nicht alle nur als Nazis beschimpft und jetzt eine demokratische Wahl ablehnt weil sie ja die Demokratie gefährdet Heuchler,0,0,7465427104419695894,7465427104419695894
7465487446055486230,2025-01-29 23:45:44,hoffentlich hört endlich dieser links grüne Dreck auf Wer hier undemokratisch ist fragt sich noch Am schlimmsten sind die Medien mit ihrer Hetze,0,0,7465427104419695894,7465427104419695894
7465459595857052438,2025-01-29 21:57:07,Ich bin gegen rechts ,0,0,7465427104419695894,7465427104419695894
7465458209224082198,2025-01-29 21:51:39,,0,0,7465427104419695894,7465427104419695894
7465450941924590358,2025-01-29 21:23:00,Ihr Volker ihr Bürger schaut auf dieses ,0,0,7465427104419695894,7465427104419695894
7465431040959300374,2025-01-29 20:05:51,Das war endlich mal demokratisch,0,0,7465427104419695894,7465427104419695894
7465430669901431574,2025-01-29 20:04:20,Die tatsächlichen Feinde der Demokratie seid nur ihr Sonst niemand,0,0,7465427104419695894,7465427104419695894
7465430083542156054,2025-01-29 20:02:07,Was wir seit Tagen freudig erwartet haben endlich mal ein demokratisches Ergebnis es gibt noch Hoffnung ,0,0,7465427104419695894,7465427104419695894
7481406126892073734,2025-03-13 21:17:17,Hallo ich bin wirklich beeindruckt von deinem Profil und bewundere deine Schönheit Ich bin gerne dein Freund wenn es dir nichts ausmacht meine Freundschaftsanfrage anzunehmen bitte Schön,0,0,7465427104419695894,7465427104419695894
7468127032195695382,2025-02-06 02:31:48,Olaf hat Damm mit cum Ex gebrochen,0,0,7465427104419695894,7465427104419695894
7467725217742193413,2025-02-05 00:28:06,Ich liebe deinen Post hier auf TikTok Ich versuche dir eine Freundschaftsanfrage zu schicken aber es funktioniert nicht Schick mir gerne eine Freundschaftsanfrage lass uns Freunde sein ,0,0,7465427104419695894,7465427104419695894
7463052433570235158,2025-01-23 10:16:41,,1,0,7463049424978136342,7463049424978136342
7463050793655304982,2025-01-23 10:10:06,nie in Leben würde ich noch mal SPD wählen,1,0,7463049424978136342,7463049424978136342
7464384433803248389,2025-01-27 00:24:33,Hallo Sie teilen gute Beiträge auf Ihrer Seite aber wir sind keine Freunde Ich würde gerne zu Ihrem Freundeskreis gehören,0,0,7463049424978136342,7463049424978136342
7463088566220030742,2025-01-23 12:36:36,,0,0,7463049424978136342,7463049424978136342
