id,create_time,text,like_count,reply_count,parent_comment_id,video_id
7465702142801494806,2025-01-30 13:38:14,Viel Erfolg für den Wahlkampf ,2,1,7458745080795434262,7458745080795434262
7458745341505798934,2025-01-11 19:42:11,,2,1,7458745080795434262,7458745080795434262
7461204545658716950,2025-01-18 10:45:06,,1,0,7458745080795434262,7458745080795434262
7474001865178071830,2025-02-21 22:25:06,Ich freu mich immer wenn ich an das Plakat vorbeigehe ,1,0,7458745080795434262,7458745080795434262
7467902546846876438,2025-02-05 11:56:46,httpswwwabgeordnetenwatchdebundestag20abstimmungenkeinestreichungvonerbschaftssteuerverguenstigungenbeschlussempfehlung Warum haben die so abgestimmt Gibt es bei ihnen viele Freunde die gut Erben oder sie selbst,0,4,7458745080795434262,7458745080795434262
7469124827820475158,2025-02-08 18:59:40,Lübeck stabil ,3,1,7469123981220531478,7469123981220531478
7469745408849249046,2025-02-10 11:08:32,,1,0,7469123981220531478,7469123981220531478
7469428284264121110,2025-02-09 14:37:25,,1,1,7469123981220531478,7469123981220531478
7469365972073218838,2025-02-09 10:35:39,super tim,1,1,7469123981220531478,7469123981220531478
7469156863230919446,2025-02-08 21:04:02,toll,1,1,7469123981220531478,7469123981220531478
7472964323644769029,2025-02-19 03:18:47,In nur 5 Tagen habe ich 18600  verdient indem ich 1100  im ForexHandel genutzt habe Erfahren Sie mehr bei Erzieher Samuel,0,0,7472067219569052930,7472067219569052930
7469888091176977174,2025-02-10 20:21:22,Das Macht Hoffnung ,3,1,7469851103560060182,7469851103560060182
7469916946960532246,2025-02-10 22:13:26,Danke Lübeck  Wir lassen unser schönes Deutschland nicht noch einmal von Nazis zerstören wirsinddiebrandmauer,2,1,7469851103560060182,7469851103560060182
7469852425258058518,2025-02-10 18:03:18,,2,1,7469851103560060182,7469851103560060182
7496748787713852182,2025-04-24 05:34:21,,1,0,7469851103560060182,7469851103560060182
7474405201926193942,2025-02-23 00:31:11,,2,1,7474140298239626518,7474140298239626518
7473934472287699734,2025-02-21 18:03:16,Aber er hat recht,6,1,7473923101210823958,7473923101210823958
7473956249442108182,2025-02-21 19:27:57,milliardärsverteidiger in 3 2 1,5,0,7473923101210823958,7473923101210823958
7473936064601834262,2025-02-21 18:09:46,Guter Mann,3,1,7473923101210823958,7473923101210823958
7473965194587980566,2025-02-21 20:02:38,gibts bei der SPD doch noch Genossen die den Begriff Arbeiterpartei verstehen ,3,1,7473923101210823958,7473923101210823958
7473938247653065494,2025-02-21 18:18:08,Warum ist das eine Maximalforderung verlangt er 100,0,2,7473923101210823958,7473923101210823958
7506151463057589014,2025-05-19 13:41:28,wirkt überzeugender als der andere Lübecker Robert Habeck,1,0,7473912823911828758,7473912823911828758
