id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7458188408557554966,Berliner mit Bengt - gestern haben wir in Norderstedt vielen Menschen mit Berlinern und heißem Tee die Mittagspause versüßt. Tolle Gespräche mit tollen Menschen. Hat Spass gemacht. #norderstedt #politik #btw #bundestagswahl #gymnasium #schule #spdsh #spd ,2025-01-10 07:40:23,DE,1,941,18,16,7210364955869054978,"['btw', 'schule', 'spd', 'gymnasium', 'politik', 'norderstedt', 'bundestagswahl', 'spdsh']",bengt.bergt,,,
7457812153555275030,Die #Tafel #norderstedt ist super! Hier könnt ihr helfen: IBAN:  DE78 213522400160014800 #ehrenamt #politik #btw #spd ,2025-01-09 07:20:15,DE,0,957,62,14,7338988067112224769,"['btw', 'spd', 'tafel', 'politik', 'ehrenamt', 'norderstedt']",bengt.bergt,,,Ich war gestern bei den Norderstedter Tafeln und es war richtig gut n paar Berliner (Pfannkuchen) hab ich mitgebracht und wurde sofort in die Ausgabe eingewiesen über 200 Helferinnen und  Helfer kümmern sich um 1400 Menschen an 11 Ausgabestellen leider ist die Not so groß trotzdem war es schön zu sehen wie man den Menschen wieder das leuchten in den Augen zurückgeben konnte weil sie sonst recht wenig zu lachen haben ich danke an dieser Stelle allen Engagierten Allen Ehrenamtlichen und den Hauptamtlern:  ihr macht wirklich n mega Job  DANKE
7457457438686498070,Trump bedroht seine Nachbarn und Insta/Facebook driftet ab. Meine Güte…! #politik #spd #bundestagswahl #gymnasium #norderstedt #henstedtulzburg #kaltenkirchen #bargteheide #badsegeberg #schule #abi ,2025-01-08 08:23:42,DE,0,2806,186,71,7125938683122812929,"['abi', 'schule', 'spd', 'gymnasium', 'badsegeberg', 'politik', 'kaltenkirchen', 'norderstedt', 'bundestagswahl', 'bargteheide', 'henstedtulzburg']",bengt.bergt,,,"Moin Leute! Was ist da in den USA los Leute? Trump bedroht alle Länder um sich herum will Panama einnehmen will Grönland besetzen - aber was noch viel schlimmer ist und das ist, was uns alle im täglichen Leben beeinflussen wird ist das Marc Zuckerberg möchte dass, die User selber sagen was real ist und was wahr ist und das is schwierig, weil das die Tür öffnet für Hass und Hetze. Das ist eh schon schlimm, ihr könnt gern bei mir bei TikTok mal gucken oder hier auf Insta oder auf Facebook was da schon an Kommentaren drunter ist. Viele hab ich schon ausgeblendet, das is jetzt schon übel was da passiert in Europa geht das nicht so leicht da haben wir den digital Service Act der von der EU vorschreibt dass es dort diese Faktenchecks zu geben hat wir müssen aber als Länder das alles umsetzen und deswegen müssen wir dafür sorgen dass EU dass die EU einig bleibt und das is wichtig dafür müssen wir die richtige wahl treffen am 23.02. das heißt wir müssen parteien wählen die sich für Europa stark machen und das sind leider Gottes nicht mehr so viele in diesem Sinne: 23.02., Leute, denkt dran!"
7457216621803769110,"Haustürwahlkampf geht los - heute an den ersten 100 Türen in Bad Segeberg geklopft.  Tolles Feedback, gute Leute - hat richtig Spass gemacht! #badsegeberg #politik #spd #spdsh #bundestagswahl #wahlen #btw ",2025-01-07 16:49:11,DE,2,6363,65,204,6756879114637934600,"['btw', 'spd', 'badsegeberg', 'politik', 'wahlen', 'bundestagswahl', 'spdsh']",bengt.bergt,,,
7456720746111405334,"CDU und CSU Grundrechte einschränken. Vorsicht, Leute/ das hatten wir schon mal - von 1933-1945! #spd #norderstedt #spdsh #schule #politik #henstedtulzburg #kaltenkirchen #badoldesloe #gymnasium #badsegeberg ",2025-01-06 08:45:00,DE,11,4821,440,103,7456720742052121366,"['schule', 'spd', 'gymnasium', 'badsegeberg', 'badoldesloe', 'politik', 'kaltenkirchen', 'norderstedt', 'henstedtulzburg', 'spdsh']",bengt.bergt,,,"moin Leute ihr seht mich wieder einigermaßen besorgt weil ich mitgekriegt habe was am Wochenende wieder Aus CDU und CSU raus gepoltert ist Aus Dobrindt und Merz Herr Dobrindt bekennt sich offiziell zwar zum Asylrecht aber möchte so einschränken dass jeder der Asyl haben möchte, gleich Geld mitbringt dass er hier in Deutschland klar kommt ohne ein Verfahren zu durchlaufen. So läuft das aber nicht ja man muss natürlich ein Verfahren hier kriegen weil jeder vor dem Recht und Gesetz gleich ist in Deutschland nicht nur jeder deutsche Bürger sondern jeder in Deutschland da kommt der März um die Ecke und sagt Artikel 16 Grundgesetzes naja, das seh ich nich so ernst ich möchte gerne Leute ausbürgern ich möchte ihnen die Staatsbürgerschaft entziehen Das haben die Nazis schon gemacht um unliebsame Leute loszukriegen und wir haben hier so n ganz klein wenig wichtiges Dingens das nennt sich Grundgesetz da steht drin Artikel 16 deutsche Staatsangehörigkeit darf nicht entzogen werden - Punkt! Artikel 16 A: „Politisch verfolgte genießen Asylrecht“ - Punkt! daran wird nicht gerüttelt das sind Grundrechte das ist Artikel 16 unter den ersten 20 das ist das Basisrecht, was jeder in Deutschland genießt und da dürfen wir nicht dran rütteln man kann über politische Lösungen streiten aber nicht mit sowas!"
7456427091446353174,Neujahrsempfang der SPD Norderstedt. Toll zu sehen wie viele Gäste da waren und sich für die Sozialdemokratie interessieren! #spd #norderstedt #spdsh #schule #politik #bundestagswahl #wahlkampf ,2025-01-05 13:45:24,DE,1,1041,35,62,7231091243878795265,"['schule', 'spd', 'politik', 'norderstedt', 'wahlkampf', 'bundestagswahl', 'spdsh']",bengt.bergt,,,
7455765897211546903,Winterwahlkampf? Geht los! #norderstedt #henstedtulzburg #kaltenkirchen #bargteheide #badoldesloe #badsegeberg #gymnasium #schule #wahlen #btw #wahlstedt ,2025-01-03 18:59:39,DE,0,1024,44,61,7164465092057172778,"['btw', 'schule', 'gymnasium', 'badsegeberg', 'badoldesloe', 'wahlstedt', 'kaltenkirchen', 'norderstedt', 'wahlen', 'bargteheide', 'henstedtulzburg']",bengt.bergt,,,This was my view today. How was yours
7455347455069130006,Die aktuellen Zahlen belegen: die Ampel hat geliefert - mit klarer sozialdemokratischer Handschrift! #norderstedt #henstedtulzburg #kaltenkirchen #bargteheide #badoldesloe #badsegeberg #gymnasium #schule #Ampel #ampelmussweg #wirtschaft #krise #spd ,2025-01-02 15:55:52,DE,2,1002,79,24,7156999467639277569,"['schule', 'spd', 'gymnasium', 'badsegeberg', 'krise', 'badoldesloe', 'wirtschaft', 'kaltenkirchen', 'norderstedt', 'ampel', 'bargteheide', 'henstedtulzburg', 'ampelmussweg']",bengt.bergt,,,"moin Leute das Ampel Desaster haben alle vorausgesagt und jetzt sind die neuen Zahlen gekommen komisch komisch ist gar kein Desaster sondern wir haben mehr Beschäftigung denn je wir haben viele Leute in die Zahl versicherungspflichtige Jobs reinbekommen und zwar raus Aus den Mini Jobs wir haben die Minijob Grenze als solche angehoben wir haben den Kinderfreibetrag angehoben wir haben den Grundfreibetrag angehoben alles in allem sind das alles Maßnahmen,  die dazu führen dass man als Arbeitnehmerin als Arbeitnehmer mehr Netto vom brutto hat und das ist gut so dafür machen wir Politik denn wir machen Politik für die arbeitende Bevölkerung wir machen Politik für dich"
7461902046870965526,Trump wird vereidigt und Oxfams Reichtumsbericht (Bericht zur Ungleichheit) Wir brauchen eine #Vermögenssteuer! #donaldtrump #vermögen #reichtum #armut #politik #spd #gymnasium #schule #norderstedt #badoldesloe #abi ,2025-01-20 07:51:12,DE,0,1247,62,37,6817460952171022337,"['donaldtrump', 'abi', 'schule', 'spd', 'gymnasium', 'badoldesloe', 'politik', 'norderstedt', 'armut', 'reichtum', 'vermögen', 'vermögenssteuer']",bengt.bergt,,,moin Leute heute ist n wichtiger Tag für Deutschland vor allem für die USA und vor allem für den Zusammenhang der da rauskommt heute wird Trump vereidigt das heißt er hat ja schon angekündigt es wird ganz ganz viel passieren und das wird uns gesellschaftspolitisch aber auch außenpolitisch und vor allem wirtschaftspolitisch vor riesen Herausforderungen stellen da müssen wir mal sehen wie wir da reagieren ich bin da ziemlich sicher Olaf Scholz wird da die richtigen Antworten finden viel krasser find ich aber ehrlich gesagt was Oxfam jetzt rausgebracht hat nämlich den Reichtumsbericht und es zeigt dass die 5 reichsten Deutschen in den letzten 3 Jahren in den Krisenjahren ihr Vermögen um 73 Prozent haben steigern können da läuft was nicht richtig das heißt wir müssen endlich eine Vermögenssteuer einführen wir müssen die reichsten Menschen besteuern die müssen jetzt auch ihren Beitrag leisten oder braucht keiner kommen und zu erzählen von wegen ja die leisten schon genug weil sie das bisschen Steuern zahlen Kapital 25 Prozent - Arbeit bis zu 42 Prozent Steuer da stimmt was nicht da wollen wir ran - das machen wir mit der SPD!
7460051553592839446,Friedrich Merz stellt die Zukunft der kompletten deutschen Industrie in Frage - da arbeiten Hunderttausende Menschen! Ist ihm egal!  #politik #wind #energie #spd #norderstedt #gymnasium #schule #henstedtulzburg #kaltenkirchen #badoldesloe #badoldesloe #badsegeberg ,2025-01-15 08:10:11,DE,8,7527,554,165,6590643178271935238,"['wind', 'energie', 'schule', 'spd', 'gymnasium', 'badsegeberg', 'badoldesloe', 'politik', 'kaltenkirchen', 'norderstedt', 'henstedtulzburg']",bengt.bergt,,,"moin Leute heute Aus Berlin und wenn ich schon wieder höre Friedrich Merz „glaubt nicht an grünen Stahl“ möchte „Windräder abbauen“ dann kriege ich langsam Plaque! Das ist die Zukunft der deutschen Industrie und was Friedrich Merz nicht bedenkt ist, dass es viele Firmen auch in seiner Region im Sauerland gibt die abhängig sind von der Produktion von Zulieferteilen für die Windindustrie zum Beispiel ich bin jetzt hier in Berlin um 1 Gesetz abzuwehren in dem Herr Dobrindt und der Merz ganz konkret versuchen den Windkraftausbau in Deutschland quasi zum erliegen zu bringen dagegen müssen wir gegenhalten das ist die Zukunft des Landes! Wir brauchen die neuen Technologien und nur weil die Herrschaften das nicht verstehen heißt das nicht dass sie es einfach blockieren können deswegen machen wir heute ordentlich den Mund auf!"
