id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7457838682653986070,"Kurzer Einblick hinter die Kulissen, was bei mir und meinem Team seid der Entlassung von Christian Lindner passiert ist 😊 Ich freue mich auf die nächsten Wochen 🚀🚩#felixdöring #spd #gießen ",2025-01-09 09:03:11,DE,1,908,50,3,7457838702182632214,"['spd', 'gießen', 'felixdöring']",doering.felix,,,
7457649572710567190,Für mich ist ganz klar: Die Lohnfortzahlung im Krankheitsfall ist eine Errungenschaft für die die Sozialdemokratie und die Gewerkschaften lange gekämpft haben - sie darf nicht zur Debatte stehen! #spd #bundestag #gießen #giessen #vogelsberg #hessen #lohnfortzahlung #krankschreibung,2025-01-08 20:49:15,DE,0,2107,165,12,7457649594969656066,"['spd', 'giessen', 'hessen', 'bundestag', 'vogelsberg', 'krankschreibung', 'gießen', 'lohnfortzahlung']",doering.felix,,,"Leute, ich bin mal wieder halbwegs fassungslos. Allianz Chef Oliver belter hat vorgeschlagen, dass die Lohnfortzahlung für den 1. krankheitstag gestrichen werden soll und die CDU zeigt sich offen dafür. what the fuck? das Problem ist, dass alle Arbeitnehmerinnen und Arbeitnehmer somit unter Generalverdacht gestellt werden, weil einfach behauptet wird, dass sie blau machen würden und völlig ausgeschlossen wird, dass die Menschen tatsächlich krank sind. wie absurd ist das denn? die Realität ist doch, dass der durchschnittliche Arbeitnehmer in Deutschland 9 Tage im Jahr trotz Krankheit zur Arbeit geht und die Realität in Deutschland ist weiterhin, dass pro Jahr über 700 Millionen unbezahlte Überstunden gemacht werden. die Lohnvorzahlung im Krankheitsfall ist eine Errungenschaft für die die Sozialdemokratie, für die die Gewerkschaften Lange gekämpft haben. sie darf nicht zur Debatte stehen.
"
7460089371761380630,#spd #bereal #gießen #vogelsberg #felixdöring ,2025-01-15 10:36:56,DE,6,1198,16,0,7460089368758225686,"['bereal', 'spd', 'vogelsberg', 'gießen', 'felixdöring']",doering.felix,,,
7464930051654421782,"Mein offener Brief an Helge Braun und Frederik Bouffier  Berlin, den 28. Januar 2025 Sehr geehrter Herr Abgeordneter Braun, lieber Helge, sehr geehrter Herr Abgeordneter Bouffier, lieber Frederik, diesen Mittwoch begehen wir im Bundestag die Gedenkstunde für die Opfer des Nationalsozialismus. Am gleichen Tag kommt es nach dem Willen Ihres Kanzlerkandidaten zum ersten Mal seit der Zeit des Nationalsozialismus zu einer Mehrheit im höchsten deutschen Parlament durch Rechtsextreme. Im Wissen um die Mehrheitsverhältnisse im Deutschen Bundestag und im Wissen darum, dass seine Mehrheit nur durch die Unterstützung von Rechtsextremen entsteht, plant Friedrich Merz diese Woche, Anträge zur Migrationspolitik einzubringen. Wenn man Anträge einbringt, hat man keinen Einfluss darauf, wer ihnen zustimmt. Bisher war es aber gute Tradition unter Demokraten, Anträge dann nicht einzubringen, wenn die AfD ausschlaggebend für die Mehrheit sein könnte. Genau deshalb kündigte Herr Merz bei seiner Rede im Bundestag am 13.11.2024 an, vor der Aufsetzung eines Tagesordnungspunkts stets das Gespräch mit den demokratischen Parteien zu suchen. Um zu verhindern „dass auch nur ein einziges Mal eine zufällige oder tatsächlich herbeigeführte Mehrheit mit denen da von der AfD zustande kommt.“ (Zitat aus dem Protokoll des Deutschen Bundestags vom 13.11.2024). Diese Zusage gilt nun nicht mehr. Und das halte ich für eine große Gefahr. Ich bitte Sie, Herr Kollege Braun, mit Ihrer Stimme kein Teil dieser Mehrheit zu sein. Und ich bitte Sie, Herr Bouffier, als möglicherweise zukünftiger Bundestagabgeordneter, auszuschließen, jemals Teil einer solchen Mehrheit zu sein. Denn die Menschen in unserem Wahlkreis sollten wissen, wo Sie im Fall der Fälle stehen. Wir alle sind zutiefst entsetzt angesichts der schrecklichen Tat von Aschaffenburg. Sie ziehen Ihre politischen Schlüsse daraus und wir unsere. Und dass wir uns auch nach Gesprächen nicht darin einig sind, ist zwar manchmal schmerzhaft und sorgt bei Ihnen wie bei uns für Kopfschütteln und vielleicht auch Unverständnis. Das ist jedoch legitim und normaler Bestandteil unserer demokratischen Auseinandersetzung. Aber niemals – wirklich niemals – dürfen Rechtsextreme bei einer Abstimmung im Bundestag das Zünglein an der Waage sein. Mit freundlichen Grüßen Felix Döring, MdB Der Brief im Original: https://www.felix-doering.de/wp-content/uploads/Offener-Brief-MdB-Braun-MdL-Bouffier.pdf",2025-01-28 11:41:14,DE,0,1265,65,0,7277602986661283842,[],doering.felix,,,
7464182266097388822,Mein Top-Thema des Tages am Stand in Kleinlinden: Die Familienstartzeit!  #spd #bundestag #hessen #giessen #gießen #alsfeld #vogelsberg #Bundestagswahl #gegenrechts ,2025-01-26 11:19:25,DE,0,1466,76,7,7464182254315621142,"['spd', 'giessen', 'hessen', 'bundestag', 'alsfeld', 'vogelsberg', 'gegenrechts', 'bundestagswahl', 'gießen']",doering.felix,,,"hey Felix, dein Thema des Tages am stand. also bis jetzt Mein Lieblingsthema heute die familienstartzeit, also dass wir Väter nach der Geburt von Kindern freistellen für 2 Wochen und die kriegen weiter ihr Geld. super Idee, müssen wir unbedingt umsetzen.
"
7463872298626387222,"Wenn man Anträge im Parlament stellt, lässt sich nicht verhindern, dass die AfD diesen zustimmt. Das betrifft auch uns – und das allein ist nicht der Skandal. Der eigentliche Skandal besteht darin, dass Friedrich Merz eine Mehrheit nur mit Unterstützung der AfD erreichen wird, obwohl er dies zuvor ausdrücklich ausgeschlossen hat. Mit diesem Wortbruch reißt Merz die Brandmauer endgültig ein. #spd #bundestag #gießen #giessen #vogelsberg #hessen #merz #brandmauer #brandmauergegenrechts ",2025-01-25 15:16:38,DE,4,1415,142,6,7463872302048938774,"['merz', 'spd', 'giessen', 'hessen', 'bundestag', 'vogelsberg', 'gießen', 'brandmauer', 'brandmauergegenrechts']",doering.felix,,,"wir sollten vereinbaren mit ihnen, den Sozialdemokraten und ihnen, den Grünen, dass wir nur die Entscheidungen auf die Tagesordnung des plenums setzen, über die wir uns zuvor mit ihnen von der SPD und den Grünen in der Sache geeinigt haben, so dass weder so, dass weder bei der Bestimmung der Tagesordnung noch bei den Abstimmungen hier im Haus in der Sache auch nur 1 einziges mal eine zufällige oder tatsächlich herbeigeführte Mehrheit mit denen da zustande kommen. noch vor kurzem hat März ausgeschlossen, dass im Bundestag eine Mehrheit nur ohne die AfD zustande kommen darf. jetzt will er Anträge einbringen und nimmt ganz bewusst in Kauf, dass die AfD ihnen zustimmt und dadurch die Mehrheit erreicht wird. das ist der Abriss der Brandmauer. das ist n Skandal und ich fordere alle Unions Abgeordneten mit mehr Anstand als Friedrich März dazu auf, bei dieser Sache nicht mitzumachen, denn Faschisten dürfen nicht entscheiden, wann Mehrheiten im Bundestag zustande kommen und wann nich.
"
7463474034156522774,"Jede Aussage der AfD, auch zu Bildungs-, Familien-, Sozial-, und Rentenpolitik, muss immer im rassistischen Kontext gesehen werden, der durch diese Partei vertreten wird – das habe ich bei der Podiumsdisskussion der Ostschule klargestellt.",2025-01-24 13:31:09,DE,3005,399689,38338,1110,7463474026334292758,[],doering.felix,,,"Zitat, wir werden Ausländer in ihre Heimat zurückführen millionenfach das ist kein Geheimplan das ist 1. Versprechen. Zitatende der AfD Vertreter hier tut ja auch so als hätte er Kreide gefressen und es müssen nur die Kriminellen und so weiter. das ist n Zitat vom Sozialpolitischen Sprecher der AfD Bundestagsfraktion und wenn man das googelt findet man das haufenweise bei dieser Partei. und deswegen wenn ich mich hier so umgucke Menschen die migrantisch aussehen wie du beispielsweise oder wie du oder wie du wenns nach der AfD ging. ich sag noch mal Millionen Fach war das Zitat müsstet ihr alle zurück. das wäre 1tens moralisch höchstverwerflich und 2tens auch für unsere Wirtschaft der absolute Supergau. deswegen muss jede Aussage auch zu bildungsfamilien, Sozialpolitik, rentenpolitik immer im rassistischen Kontext gesehen werden der durch diese Partei vertreten wird. das is Mir ganz ganz wichtig.
"
7462823959449439510,Am 23. Februar Erststimme: Felix Döring & Zweitstimme: SPD 🌹 Mehr zu mir findest du auf meinem Profil und über den Link in der Bio! Idee: @lutz.liebscher #spd #bundestag #hessen #giessen #gießen #alsfeld #vogelsberg #Bundestagswahl #gegenrechts ,2025-01-22 19:28:31,DE,17,3610,346,18,7462823955014290198,"['spd', 'giessen', 'hessen', 'bundestag', 'alsfeld', 'vogelsberg', 'gegenrechts', 'bundestagswahl', 'gießen']",doering.felix,,,
7468360714030157078,Du hast keine Lust auf AfD-Wahlwerbung im Briefkasten? Dann hab ich was für dich! Bestell deinen Sticker unter www.felix-doering.de/briefkasten. #spd #bundestag #gießen #giessen #vogelsberg #hessen ,2025-02-06 17:33:55,DE,17,11209,189,415,7468360712807058198,"['spd', 'giessen', 'hessen', 'bundestag', 'vogelsberg', 'gießen']",doering.felix,,,"ihr habt keine Lust auf AfD Post in eurem Briefkasten? dann hab ich was für euch, diesen schönen Sticker, der verhindert, dass ihr im Wahlkampf hoffentlich AfD Flyer in den Briefkasten kriegt. wenn ihr auch so einen haben wollt klickt auf meine Homepage vorbei, WWW Punkt Felix minus Döring Punkt D E Slash Briefkasten. füllt das Formular Aus und dann schicken wir euch AB Montag diesen Sticker hier zu.
"
7467543520312577302,Du willst Grün wählen? DANN mach nicht diesen Fehler,2025-02-04 12:42:51,DE,16,1819,111,13,7467543517982477078,[],doering.felix,,,"du wohnst in gießen oder Umgebung und überlegst Die Grünen zu wählen? dann schenk Mir 30 Sekunden deiner Zeit, du wirst es nicht bereuen. mit deiner Zweitstimme entscheidest du, wie stark die Parteien im Bundestag vertreten sind. mit deiner Erststimme entscheidest du, welche Kandidatin oder welcher Kandidat hier im Wahlkreis das Direktmandat gewinnt. hier gilt, wer die meisten Stimmen hat gewinnt, alle anderen Stimmen verfallen. hier im Wahlkreis gewinnt entweder die CDU oder die SPD. das war schon immer so und das bleibt auch laut Umfragen so. auch der Kandidat der grünen ist kompetent und sympathisch. keine Frage. realistisch gesehen bin ich als SPD Kandidat aber der einzige, der gegen die CDU gewinnen kann. deshalb bitte ich dich um deine Erststimme, denn die Frage lautet, CDU oder SPD? wie entscheidest du dich?
"
