id,video_description,create_time,voice_to_text,Topic,partei
7469481388085923104,Wir stärken die Mittelschicht,1739124196,"sind die, die um 5 Uhr 30 aufstehen, 40 Stunden die Woche arbeiten, dem man heute erzählt, ihr müsst bis 70 arbeiten, während andere sich n Lens machen. diese Gruppe, die werden wir zur Priorität Nummer 1 machen. wir werden die einkommensteuern senken, damit man von seinem Einkommen endlich wieder leben kann. wir werden die CO 2 Abgabe streichen, wir werden die energiesteuern reduzieren, die stromsteuer senken, die grundsteuer abschaffen und die Grunderwerbsteuer beseitigen, damit sich auch jemand mit nem normalen Einkommen wieder ne Eigentumswohnung leisten kann.",S&A,AfD
7469125943815048480,Lauterbach vor den Richter,1739041408,"das sind die Verbrechen, die in der Corona Zeit geschehen sind. der Impfzwang für Pflegekräfte, das Maskentragen für unsere Kinder, die Lockdowns die uns eingesperrt haben, die Großeltern die nicht mehr verabschieden konnte. dafür werden Politiker zur Verantwortung gezogen und ihr werdet es noch sehen, lauter machen Handschellen AB vor den Richter.
","S&A, W",AfD
7468987042614103329,Merz hat Mut zur Wahrheit,1739009074,"wir müssen den Wählern die Wahrheit zumuten und dazu gehört, so ehrlich muss man sein, dass wir es waren, die unsere stabile D Mark abgeschafft haben. wir die CDU sind die Partei, die 2.015 die Grenzen geöffnet hat und illegale massenmigration sozusagen erfunden hat Bürgergeld für alle meine Damen und Herren, das verbrennerverbot, das waren auch wir, während wir gleichzeitig Unsummen an Steuergeld für E Autos zum Fenster rausgeworfen haben. und meine Damen und Herren, das geht auch an sie ganz persönlich. wir waren die 1.. die auf den impfzug aufgesprungen sind damals bei Corona, wir hatten die Masken Dealer und wir waren auch für eine Impfpflicht und natürlich sind wir immer für Steuererhöhungen verantwortlich gewesen. wir haben das Leben der Bürger erfolgreich teurer gemacht. aber nicht nur das liebe grüne in Sachen wärmewende, Green Deal, AKW Abschaltung und Kohle Aus, da sind wir mit ihnen mindestens gleich auf. so auch beim Thema Gender, das 3. Geschlecht verdanken sie uns. natürlich lügen wir dem Wähler jetzt was in die Tasche um es dann nach der Wahl sofort wieder zu vergessen und das Gegenteil zu tun. da bin ich ganz offen.",W,AfD
7468739321034476833,Wir sind Deutsche und wir sind stolz darauf,1738951392,"deswegen sind solche Veranstaltungen hier so wichtig. solche Veranstaltungen sind wichtig, damit man den Kontakt zum Volk nicht verliert. denn was sind wir denn? wir sind Volksvertreter. das ist die Aufgabe. wir haben die Aufgabe, unser Volk in den Parlamenten zu vertreten und Politik für unser Volk zu machen. nicht gegen das Volk, nicht für die Ukraine, nicht für andere Länder, sondern für Deutschland. wir sind deutsche Politiker und wir sind stolz darauf, deutsche Politiker in Deutschland zu sein.
",S&O,AfD
7468337779353636128,Grenzen Dicht!,1738857899,"werden dieses Land regieren. und wir haben für diese Situation einen Plan entwickelt, nämlich den Zukunftsplan für Deutschland. wir haben Forderungen entwickelt, die wir in den 1. 100 Tagen unserer Regierungsverantwortung umsetzen werden. und die Forderung Nummer 1 ist, die Grenzen werden dicht gemacht, die Grenze werden dicht gemacht und unsere Soldaten, die heute nach Litauen geschickt werden, um irgendwann gegen Russland zu kämpfen, die werden Aus Litauen abgezogen und an unseren Grenzen stehen landesverteidigung heißt grenzsicherung.",M,AfD
7468244501547584801,Freiheit über Verbote,1738836200,"wir werden den Cola Ausstieg zurücknehmen, wir werden das verbrennerverbot zurücknehmen und wir werden das heizungsverbot zurücknehmen Freiheit bedeutet auch selber zu entscheiden wie man seine Wohnung heizt.",S&O,AfD
7473192046157778208,Wer sind die wahren Demokratiefeinde?,1739988250,"sind denn in diesem Land eigentlich die wahren demokratiefeinde? sind das diejenigen, die hier sitzen, die hier stehen, die die Probleme ansprechen, gern auch mal scharf im Ton, weil die sage eben scharf ist, messerscharf könnte man sagen. oder sind das die Leute, die eine legitime Partei verbieten wollen? sind das die Leute, die Verlage und demokratisch einstampfen wollen und rechtswidrig? sind das die Leute, die bezahlte schlägertrupps haben? sind das die Leute, die die Antifa vor das Konrad Adenauer Haus schicken, um jetzt die CDU zu verbieten und einzuschüchtern? es sind genau diese Leute, liebe Freunde, es sind die SPD, es sind die grün, es sind die linken mit ihren antiverschlägertrupps. das sind die wahren antidemokraten.
",S&O,AfD
7473068589738675488,Funktionsfähige Kernkraftwerke ans Netz nehmen!,1739959389,"funktionsfähige Kernkraftwerke werden wir natürlich wieder ans Netz nehmen und in zukünftige Reaktoren, zukünftige Reaktoren der neuesten Generation investieren. wir stehen für seriöse Energie Politik, liebe Freunde, das was wir bisher hatten, einen gesunden energiemix Aus Kohle, Gas und Kernkraft.
",U&E,AfD
7472806050819738913,Vance hält dem EU-Establishment den Spiegel vor.,1739898260,"gab ja nun gestern 1 denkwürdiges Ereignis. viele erinnern sich an den Satz von Reagan, Tear down this Wall. im Grunde ist das, was gestern passiert ist bei der Münchener Sicherheitskonferenz exakt das gleiche. der Vizepräsident der USA hat der deutschen Regierung und hat dem europäischen Establishment den Spiegel vorgehalten und ihnen glasklar ins Gesicht gesagt, ihr habt aber auch nichts mit Meinungsfrei, noch nichts mit Demokratie zu tun und ihr seid die größte Gefahr für Europa.",I,AfD
7472449540897983776,"Was Boris Pistorius als Meinungsfreiheit und Demokratie bezeichnet, erleben viele in Deutschland ganz anders. Von gelöschten Beiträgen in sozialen Medien bis hin zur Diskriminierung von AfD-Mitgliedern in Kirchen und Behörden – das ist der beschämende Zustand unserer Demokratie.",1739815513,"weil ich will gar nicht so sehr auf die Rede von Vans eingehen. ich würde für eher eingehen wollen auf die Antwort von Boris pistorius. er sagt, es gibt Demokratie und Meinungsfreiheit in Deutschland. und jetzt zitiere ich Boris pistorius. ich trete dem Eindruck energisch entgegen, dass in unserer Demokratie Minderheiten unterdrückt oder zum Schweigen gebracht werden. das sagt SPD Verteidigungsminister Boris pistorius. und ich will jetzt die Gelegenheit nutzen, ihn Aus seinem Wolken Kuckucks Heim zu befreien und möchte ihm zeigen, wie es um unsere Demokratie in unserem Land steht. und ich will hier in Brandenburg anfangen, wo Henry preuss, 1 AfD Mitglied, im vergangenen Jahr, nur weil er für den Landtag kandidiert hat, sämtliche kirchenenter verloren hat. in dieser Woche berichtet die Presse, dass 1 Arzt, der nebenbei FDP Kommunalpolitiker ist, einem Rentner einen Arzttermin verweigert, weil der Rentner mit einem AfD Basecap Aus der Praxis gelaufen ist. ich möchte erinnern an die unzähligen Posts, die in den vergangenen Jahren im Internet gelöscht wurden, weil sie angeblich nicht die Wahrheit gesagt haben. und denken wir zurück an die Corona Zeit, dass unsere Social Media Aktivitäten eingeschränkt wurden, weil wir die maskenwirkung angezweifelt haben, weil wir die Impfwirkung angezweifelt haben, weil wir die Richtigkeit des Lockdowns angezweifelt haben. denken wir und erinnern wir uns daran, dass der AfD bindestagsfraktion der Repräsentation von mehreren Millionen Wählern der YouTube Kanal gelöscht wurde, weil wir vor der Impfpflicht gewandt haben. ich möchte erinnern, dass der Verfassungsschutz die Corona Demonstranten beobachten ließ, eine. eigene Kategorie eingeführt hat, nämlich die sogenannte verfassungsschutzrelevante delegitimierung des Staates. in den Talkshows sind die Altparteien überrepräsentiert, die AfD kommt fast nicht vor, außer vor Wahlen, weil sonst das Bundesverfassungsgericht sagen musste, es geht nicht Anders. das kompaktmagazin ist verboten worden, musste sich einen durch einen Rechtsstreit den Zugang zu seinen Lesern erkämpfen. Christoph Bernd, der Fraktionsvorsitzende im Landtag, und Dennis soloch, der hier gerade geredet hat, wird vom Verfassungsschutz Brandenburg als rechtsextrem eingestuft und beiden wird nicht gesagt, warum. die parlamentarische Kontrollkommission im Bundestag wie im Landtag, die zuständig ist für die Kontrolle der Geheimdienste, ist uns verschlossen. wir dürfen dort nicht rein, wir dürfen den Geheimdienst nicht kontrollieren. werdi will AfD Mitglieder Aus der Gewerkschaft werfen, der Chef der Diakonie sagt, ich zitiere, wer sich für die AfD einsetzt, muss gehen. Söder, Ministerpräsident in Bayern, will AfD Mitglieder Aus Behörden werfen. die evangelische Kirche Berlin Brandenburg beschließt, keine Ämter mehr an AfD Mitglieder zu vergeben. das ist der beschämende Zustand unserer Demokratie. und jeder, der wie bist du, Boris pistorius, behauptet, wir hätten Demokratie, Meinungsfreiheit hier in Deutschland, denen ruf ich zu, das ist die äh, die Demokratie der SED, das ist das demokratieverständnis von Erich Mirke. das wollen wir nicht und das werden wir bekämpfen.",S&O,AfD
7472078063325515040,Das größte Entlastungsprogramm aller Zeiten,1739728984,"und wir werden uns um die Linien kümmern, die Tag 1 Tag Aus, früh aufstehen, 40 Stunden arbeiten und am Ende des Monats kaum über die Runden kommen. wir werden durch die größten steuerentlastungsmaßnahmen, die Deutschland je gesehen hat, dafür sorgen, dass man am Monatsende endlich ich wieder von seiner harten Arbeit Leben kann. wir werden die einkommensteuern senken, werden die CO 2 Abgabe abschaffen, die stromsteuer senken, die Energiesteuer senken. wir werden die grundsteuer abschaffen und die Grunderwerbsteuer abschaffen. wir werden dafür sorgen, dass Normalverdiener sich wieder leisten können, eine Wohnung oder 1 Haus zu kaufen.",W&F,AfD
7471707325431172384,Meinungsfreiheit verteidigen,1739642649,"wir werden 9tens die Meinungsfreiheit verteidigen, das netzwerkdurchsetzungsgesetz, mit dem willkürlich Posts gelöscht werden, weil sie angeblich Hass beinhalten, obwohl regierungskritik dahinter steckt. wir werden dieses netzwerkdurchsetzungsgesetz zurücknehmen.",S&O,AfD
7471665502092332321,Für den Straßenausbau in Brandenburg ist kein Geld da. Aber für Infrastrukturprojekte in Afrika investiert die Bundesregierung Millionen!,1739632948,"in diesen Tagen krieg ich ja die 1 oder andere presseanfrage und da wird da wird gefragt, wie stehen sie eigentlich zu der ortsumgehung in armsfelde äh, der 1. oder andere fährt vielleicht regelmäßig zum arbeiten nach Berlin rein und der weiß, was das für n Nadelöhr is. und das war in den achtziger Jahren schon n Nadelöhr. 40 Jahre lang ist da nichts passiert. man fragt sich, woran liegt das eigentlich? und der eine oder andere weiß, dass ich n sehr eifriger anfragensteller bin. ich frag die Bundesregierung immer, wofür sie denn das Steuergeld der fleißigen deutschen ausgibt und wie sieht's denn da im Bereich der Infrastruktur Aus? darum geht's ja in ansfeld. es geht um Infrastruktur. und ich zitiere euch mal n paar Antworten, wo die Kohle hingeht, 20 Millionen für die Modernisierung der Infrastruktur in Tunesien. 14 Millionen für die nachhaltige Stadtentwicklung in Namibia. 21 Millionen für infrastrukturentwicklung in Nepal. 4 Millionen für klimafreundliche urbane Mobilität, gemeint ist der epnv in Kolumbien. 5 Millionen Euro für städtische infrastrukturmaßnahmen in Ägypten. 34 Komma 6 Millionen Euro für klimafreundliche Infrastruktur und Stadtentwicklung in der Region Asien Pazifik. 76 Millionen für infrastrukturausgaben in Angola, Botswana, Kongo, komorin, lesoto, Madagaskar, maurizius und so weiter. die Liste is n bisschen länger, 30 Millionen Euro für klimafreundliche asfaltierung von Straßen in bukina faso, borundi, Benin, Botswana. also jemand, dem eine Straße in Afrika wichtiger ist als die Straße in amtsfeld, die nach Berlin reinführt, dem ist nicht zu helfen. der sollte nicht uns. regieren? der sollte nach Afrika, nach Afrika gehen und dort regieren. diese Leute haben überhaupt nichts mehr verloren im Parlament.",W&F,AfD
7471336254261562657,So ein Land ist krank,1739556236,"oder eine Moderatorin in der ARD, die sagt, die fragt, warum überhaupt die Kindergärtner mit ihren Kindern durch diesen Park gelaufen sind. der ist doch als gefährlich eingestuft. das muss man sich mal überlegen. da Fragen die Journalisten im öffentlich rechtlichen nicht mal nach, warum dieser Park als gefährlich eingestuft ist, sondern warum die Erzieher Anführungszeichen so doof sind und mit den Kindern da durchlaufen. in was für 1 Land leben wir? in dem wir nicht mehr durch Parks laufen können, in dem wir uns nicht mehr ans Gleis stellen können am Hauptbahnhof, in dem wir unsere Kinder nicht zur Schule schicken können, ohne die Angst zu haben, dass sie nie wieder lebendig zurückkommen? so 1 Land ist krank, das ist nicht normal.",S&O,AfD
7470965883687488801,Wir werden dieses Land regieren,1739469815,"Verfassungsschutz haben sie auf uns gehetzt und verbieten wollen sie uns jetzt auch noch. aber all diese verzweifelten versuche, den souverän Klein zu halten, sind gescheitert. wir stehen heute bei 23 Prozent, im Osten sogar bei über 30 Prozent. Alice Weidel ist die beliebteste Kanzlerkandidatin und wir werden uns dieses Land zurückholen. wir werden dieses Land regieren.",W,AfD
7470594339882700064,Wir stehen für seriöse Energiepolitik,1739383415,"stehen für seriöse Energiepolitik, liebe Freunde, das, was wir bisher hatten, einen gesunden energiemix Aus Kohle, Gas und Kernkraft, das ist das, was wir wiederherstellen werden, weil das ist das, was Deutschland braucht, was unsere Industrie braucht, wo unsere Arbeitsplätze dran hängen. wir fordern dementsprechend natürlich auch längere Laufzeiten für unsere Kohlekraftwerke, weil wir hatten nun mal bisher die sichersten, die saubersten und modernsten kohlekraffe Kohlekraftwerke weltweit. möchte man nur an moorburg in Hamburg erinnern, was nagelneu war, was mittlerweile abgerissen wird und an dem geile der linken klimaspinner werden dort die kühltürme abgerissen und man macht großes medientamtamt. darum ist mich ja vorstellen, es waren 5 Milliarden Euro, die dort einfach mal in die Tonne getreten werden für so 1 Kraftwerk.",U&E,AfD
7470502204055555360,Zeit für Deutschland! Am 23. Februar mit beiden Stimmen AfD!,1739361853,,W,AfD
7470223727859404064,Das »Zusammen« der Grünen,1739297011,"Weg hierher hab ich die 1. Plakate gesehen von den grünen, ihr sicherlich auch Grinsebacke Annalena Baerbock hat 1 Wort draufstehen zusammen. und wir wissen was mit diesem zusammen gemeint ist, nämlich Junge Frauen zusammen mit afrikanischen Vergewaltigern, Kinder mit syrischen messerstechern Schulklassen mit kriminellen Ausländern. das alles ist das zusammen wofür Annalena Baerbock und wofür Die Grünen stehen.",M,AfD
7469852648829750561,Grenzen dicht!,1739210636,"liebe Leute, wir haben einen Plan und wir haben einen Zukunftsplan für Deutschland, den wir in den 1. 100 Tagen einer Regierungsbeteiligung angehen werden. und der Leiter, zuerst erstmal die Grenzen lückenlos schließen, jeden illegal oder ohne Papiere einreisenden zurückweisen. und eine ganz klare Ansage an alle Welt, die Deutschen Grenzen sind dicht, liebe Freunde, die sind dicht.",M,AfD
