id,video_description,create_time,voice_to_text,Topic,partei
7461565242791791894,"Ein Jahr christlich-soziale Koalition in Hessen – was wir geliefert haben, wäre mit den Grünen unmöglich gewesen! 💪🚫 Statt Grünen Blockaden zu erliegen, haben wir als CDU konsequent und klar gehandelt. #cduhessen #teamcdu #geburtstag #erfolge #christlichsozialekoalition #koalition #hessen",1737281044,"nichts von dem was wir in unserem 1. Jahr umgesetzt haben, wäre möglich gewesen mit den grünen. nichts von dem wäre möglich gewesen. kein verteilstopp für Flüchtlinge Aus sicheren Herkunftsländern Aus den erstaufnahmeausrichtungen heraus. keine Innenstadt Offensive unserer Polizei, keine IP Adresse datenspeicherung gegen Kinderschänder, kein Genderverbot an Schulen und in der Verwaltung.",W,CDU/CSU
7461564427314334999,"Ein Jahr christlich-sozialIch Koalition in Hessen – ein Jahr voller Taten! 🎉 Unser Landesvorsitzender, Boris Rhein, stellt klar: Wir als CDU haben alles geliefert, was wir im Wahlkampf versprochen haben. 💪 #cduhessen #teamcdu #geburtstag #koalition #erfolge #wahlkampfversprechen #wiedernachvorne",1737280856,"am 18.01 feiern wir 1 Jahr christlich soziale Koalition in Hessen und wir haben uns damals, und ich betone das gemeinsam, wir haben uns gemeinsam auf den Weg gemacht, eine mutige, eine neue kollektionsentscheidung zu treffen und ich glaube, wir können heute wirklich mit Fug und recht äh behaupten und feststellen, es war exakt die richtige Entscheidung für unser Land, weil wir mit der christlich sozialen Koalition eine rennchance der realpolitik eingeleitet haben. und ganz wichtig, meine sehr verehrten Damen und Herren, wir haben als CDU im 1. Jahr alles geliefert, was wir im Wahlkampf plakatiert und versprochen haben. alles geliefert, was wir versprochen haben hessengeld, Genderverbot, der Wolf ist ins jagdrecht gekommen, Innenstadt Offensive, Fußfessel für Frauenschläger, mehr Videoüberwachung, IP adressenspeicherung, bezahlkarte für Flüchtlinge und so vieles mehr. alles was wir versprochen haben in nur einem Jahr. das ist schon eine große Leistung und deswegen gilt Mein großer Dank auch Ines Klaus, die mit ihrer Fraktion das möglich gemacht hat, dass wir dies alles umsetzen konnten, ist ne großartige Teamleistung, ist ne gemeinschaftsleistung. ich möchte mich bei ihnen Allen dafür bedanken, dass die Hessen Union dafür die Grundlage geliefert hat. 1 herzliches Dankeschön an sie alle.",W,CDU/CSU
7465739130543148310,"Unser Landesvorsitzender Boris Rhein stellt klar: Die Bundestagswahl ist eine einzigartige Chance, eine Politik der Mitte durchzusetzen – für Stabilität, Sicherheit und eine starke Zukunft. 🇩🇪✨ Das ist die Chance mit Friedrich Merz als Bundeskanzler. 🤝 Am 23. Februar gilt: Beide Stimmen CDU! ❌❌  #cdu #teamcdu #cduhessen #poltikwechsel #merzimfebruar #btw25",1738252853,"das ist das, was jetzt am 23.februar ähm, passiert. das ist das, was die Bedeutung des 23.februar ist. er ist vor allem eines, er ist ne einzigartige Chance. es ist die einzigartige Chance, eine Politik der Mitte hinzubekommen ist eine einzigartige Chance, eine Politik hinzubekommen, die natürlich die Minderheiten schützt, die aber natürlich auch sagt, wir müssen die Mehrheit, die ganz normalen Menschen. das ist die Chance für einen Politikwechsel im Bund mit Friedrich Merz als Kanzler für Deutschland. ich finde, er ist der richtige Mann zur richtigen Zeit. wir als Hessen Union stehen geschlossen hinter ihm, CDU und CSU Stichwort geschlossen. CDU und CSU sind im übrigen so geschlossen wie senden.",W,CDU/CSU
7465619046583569687,"Friedrich Merz hat im Bundestag klare Worte gefunden: Die traumatischen Erlebnisse der letzten Wochen zeigen, dass wir handeln müssen! 👉🚔 Unser 5-Punkte-Plan wurde beschlossen – ein wichtiger Schritt für mehr Sicherheit & Ordnung in unserem Land. Wir sind es den Menschen in Deutschland und den Opfern der Gewalttaten schuldig, jetzt konsequent durchzugreifen! #cdu #teamcdu #cduhessen #sicherheit #migration #politikwechsel",1738224898,"was muss eigentlich in Deutschland noch passieren? wie viel Menschen müssen noch ermordet werden? wie viel Kinder müssen noch Opfer solcher Gewalttaten werden, bevor sie auch der Meinung sind, dass es sie hier um eine Gefährdung der öffentlichen Sicherheit und Ordnung handelt? was muss eigentlich noch geschehen?
",M,CDU/CSU
7465441903576681750,"Drei Jahre Ampel haben ein wunderbares Land beschädigt: Wir erleben kein grünes Wirtschaftswunder, sondern unser blaues Wunder bei der Wirtschaft. ❌🚦 Lasst uns gemeinsam für eine starkes Wachstum kämpfen! Am 23. Februar beide Stimmen CDU!🗳️🤝 #cdu #teamcdu #cduhessen #wirtschaft #politkwechsel #wiedernachvorne #hessenweiterführen",1738183649,"ich will mich nich an dem ehemaligen kollektionspartner abarbeiten, das wär kleinlich, das weiß ich. aber ich will schon noch mit aller Bescheidenheit darauf hinweisen ähm, was grüne Politik anrichten kann, das äh, das sehen wir aktuell bei der Wirtschaft. die Lage ist eine katastrophale Lage und es schlägt sich jetzt mit voller Wucht auf die landeshalte durch und dann schlägt sich von den landeshalt Haushalten auf die kommunalen Haushalte durch. 3 Jahre Ampel haben 1 wunderbares Land beschädigt, 3 Jahren Ampel haben unser Land gefährdet, in eine gefährliche Situation gebracht und ich erinner mich noch sehr genau, wie das gewesen. ich seh doch die Plakate vor Mir, in denen Robert Habeck uns 1 grünes Wirtschaftswunder versprochen hat. und liebe Freunde, ja er hat sogar Wort gehalten. wir haben aber kein grünes Wirtschaftswunder bekommen, sondern wir erleben gerade unser blaues Wunder bei der Wirtschaft.",W&F,CDU/CSU
7465440872956464406,"Die Linken kennen immer nur die eine Antwort, mehr Schulden und höhere Steuern. 📈😮‍💨 Doch das Halten der Schuldenbremse ist für uns ein Gebot der Generationengerechtigkeit - Wir in Hessen zeigen wie es geht! 💪🦁 ➡️ Es macht einen eben Unterschied, wer das Land regiert: Wir stehen für Zukunftschancen statt Schulden. #cdu #teamcdu #cduhessen #schuldenbremse #btw2025 #politikwechsel #wiedernachvorne #hessenweiterführen",1738183408,"1tens setzen wir Schwerpunkte und sparen nicht bei der inneren Sicherheit, beim rechtsschaden oder bei der Bildung. 2tens fangen wir bei uns selbst an und sparen nicht bei den Bürgern. und 3tens wir investieren in die Zukunft mit einer aktiven Wirtschaft und standardpolitik, mit beispielsweise dem Hessen Form für Innovationen, mit beispielsweise ähm äh, unseren Investitionen in die Wirtschaft. und vor allem und deswegen, ich will's hier noch mal in aller Deutlichkeit sagen, wir halten in Hessen die Schuldenbremse.",W&F,CDU/CSU
7465382998750366999,"Starke Reden, super Gespräche, Motivation pur. 💪  Unser Landesvorsitzender, Boris Rhein, besuchte im Rahmen des Wiesbadener Doppelwahlkampfes OB-Kandidaten Thilo von Debschitz und den Wiesbadener CDU-Bundestagskandidaten Dr. Stefan Korbach. Unterstützung vor Ort gab es u.a. auch vom Wiesbadener CDU-Kreisvorsitzenden, Hessens Landwirtschaftsminister Ingmar Jung, und den Wiesbadener CDU-Landtagsabgeordneten, Landtagspräsidentin Astrid Wallmann und Finanzminister Prof. Dr. R. Alexander Lorz. In Wiesbaden gilt: Bei der Bundestagswahl am 23. Februar beide Stimmen CDU ❌❌ und am 9. März das Kreuz bei Oberbürgermeisterkandidat Thilo von Debschitz setzen!🗳️ #wiesbaden #cdu #borishrein #ministerpräsident #teamcdu #obwahl #oberbürgermeister",1738169934,"noch nie war Politik in Deutschland so unterscheidbar wie heute. und das ist, glaub ich 1 unglaublich gutes Angebot, was wir machen unter scheißbare Politik. jeder weiß, wo es mit denen hingeht und jeder weiß, was das Angebot der Union ist. und deswegen heißt es wirklich, wieder nach vorne, wieder nach vorne! mit einem Kanzlerkandidaten Friedrich März, mit einem Bundestagskandidaten Stefan schorbach, mit einem oberbürgermeisterkandidaten Kilo von debchitz und natürlich mit einem Landwirtschaftsminister, mit einem Finanzminister, mit einer landtagspräsident. Leute, die wirklich wissen, wo die Richtung stimmt und die sich drum kümmern, dass die Dinge umgeschaltet werden. es macht einen riesigen Unterschied, wer der Sand regiert. meine sehr geehrten Damen und Herren, wir haben's in der Hand und es kommt am Ende wirklich auf jeden und jeder einzelne an.",P,CDU/CSU
7464977313294306582,"Unser Landesvorsitzender, Boris Rhein kritisiert: Die Leistung der zukünftigen Generationen wird mit Bergen über Bergen von Schulden belastet. 📈💸 Es sind Schulden, die sie später bitter bereuen werden. ❌  #cdu #teamcdu #cduhessen #wirtschaft #politikwechsel #wiedernachvorne #hessenweiterführen",1738075481,"wir müssen in diesem Land endlich auch mal wieder über Leistung und über die sprechen, die diese Leistung erbringen. die Arbeitsleistung geht zurück. es glaubt doch niemand daran, dass wir mit einer 4 Tage Woche den Wohlstand unseres Landes halten, während die in Griechenland zu 6 Tage Woche zurückkehren. die Lebensleistung wird zu wenig wertgeschätzt, unternehmerische Leistung wird gebremst und auch das will ich sagen, die Leistung kommender Generationen wird mit Bergen über Bergen von Schulden belastet. was diese Ampelkoalition in den zurückliegenden 3 Jahren aufgeheuft hat in Schatten, Haushalten, in Haushalten, wo auch immer sie es verborgen haben, ist 1 desass. und ich sag das deswegen. ich sag das deswegen, meine sehr geehrten Damen und Herren, weil wir damit einer nachvollgeneration 1 großes Problem überlassen. wir belasten sie mit Schulden über Schulden, die sie alle bitter bereuen werden und abtragen müssen.",W&F,CDU/CSU
7464654479804108054,"Für unseren Ministerpräsidenten und Landesvorsitzenden steht fest: Leistung ist positiv, Leistung muss sich lohnen. Wir brauchen wieder Anreize für Arbeit und nicht für Arbeitslosigkeit! 📈💪 #cdu #teamcdu #cduhessen #wirtschaft #politkwechsel #wiedernachvorne #hessenweiterführen",1738000311,"mehr Sozialleistungen machen unser Land doch nicht gerechter. was ist denn das für eine Denkweise? mehr Sozialleistungen machen unser Land nicht gerechter, sondern sie sind 1 Angriff auf Millionen von Bürgerinnen und Bürger, die sich jeden Tag einbringen und die jeden Tag ihren ähm Beitrag bringen Leistung ist positiv Leistung muss sich lohnen. und deswegen haben wir ne klare Agenda für die fleißigen aufgestellt, einkommenssteuertarif reformieren, kleinere äh und mittlere Einkommen entlasten, Überstunden steuerfrei machen, Pendlerpauschale erhöhen. wir brauchen in diesem Land endlich wieder Anreize für Arbeit und nicht für Arbeitslosigkeit. wir brauchen mehr Respekt vor Leistung. wir machen Politik für die hart arbeitende Bevölkerung in unserem Land, für diejenigen, die den Laden am laufen halten Leistung muss sich wieder lohnen.",S&A,CDU/CSU
7463789626600279318,"Klare Worte von unserem Landesvorsitzenden, Boris Rhein: Sicherheit ist die oberste Pflicht des Staates. 🚔💪 Es ist Zeit für mehr Kontrollen, harte Strafen und konsequente Abschiebungen – für ein starkes und sicheres Hessen und ganz Deutschland. ✅🔒 #cdu #teamcdu #cduhessen #sicherheit #politikwechsel #wiedernachvorne #aschaffenburg ",1737798949,"ich sag's noch mal, so wie es ist, kann es nicht weitergehen. wir brauchen Deutschland braucht eine massive sicherheitsoffensive mit mehr Kontrollen, mit harten Strafen, mit Abschiebungen von Tätern, mit 0 Toleranz bei Gewalt. meine Damen und Herren, wir kommen in eine sehr problematische, der Präsident hat es angesprochen, akzeptanzproblematik, auch für die Demokratie problematisch. deswegen sage ich, das ist die oberste Pflicht eines Staates ähm, und das erwarte ich auch von einer zukünftigen Bundesregierung, vollkommen egal und unabhängig davon, wer diese Bundesregierung anführt und wer ihr angehört, meine sehr geehrten Damen und Herren.",S&O,CDU/CSU
