id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7457922029828771074,"Helfen, soweit Hilfe möglich ist. #Politik #politiktok #Bundestag #Innenpolitik #SPD #Migration #Deutschland #Helfen ",2025-01-09 14:26:30,DE,3,1012,62,22,7457922029745834774,"['deutschland', 'spd', 'migration', 'helfen', 'politik', 'bundestag', 'politiktok', 'innenpolitik']",lars.castellucci,,,"wenn sie Zeuge eines Unfalls sind im Straßenverkehr, wenn dein Nachbar krank ist oder eben wenn es um die Aufnahme von geflüchteten geht. da gibt es einen guten Grundsatz im Leben und der heißt, helfen, soweit Hilfe möglich ist. niemand soll sich überfordern. deshalb ist es richtig, für eine Begrenzung der Zahlen auch einzutreten. aber wir sollten umgekehrt auch tun, was in unseren Möglichkeiten liegt. bitte vergessen wir nicht, es geht um Menschen und um Mitmenschlichkeit. das ist auch 1 Thema, das hier angesprochen werden muss und durch diese Brille müssen wir das Thema auch einmal sehen.
"
7462034720793300247,,2025-01-20 16:25:54,DE,4,991,23,0,7358582402476591918,[],lars.castellucci,,,
7460879607059729686,"Für die Karriere als Busfahrer reichts noch nicht, aber ich übe weiter. #Bundestag #Politiktok #514 #Bus #Busfahrer ",2025-01-17 13:43:28,DE,5,1036,74,2,7460879593881209622,"['bus', '514', 'busfahrer', 'bundestag', 'politiktok']",lars.castellucci,,,"ne 514 eigentlich ähm. 145. die 1. ist der zeigefänger, ne 51. so jetzt bitte hoch, bitte hoch."
7460557963242048790,"Das Marie-Elisabeth-Lüders-Haus steht an der Spree. Es ist auf Sand gebaut, deshalb kann man es leider zur Hälfte nicht nutzen. Solche Sachen müssen sich in Deutschland ändern.  #Bundestag #Politiktok #Politik #melh ",2025-01-16 16:55:17,DE,5,3167,92,10,7460557939250613014,"['melh', 'politik', 'bundestag', 'politiktok']",lars.castellucci,,,"für alle, die es wissen wollen oder die es auch nicht wissen wollen, hinter Mir ist das Marie Elisabeth lüders Haus. es ist auf Sand gebaut und man kann zur Hälfte nicht benutzen. das ist Deutschland, das muss sich ändern.
"
7465363213337529622,"Friedrich Merz sagt, er würde jetzt „all in“ gehen, wie beim Pokerspiel. Aber Politik in unserem Land ist doch kein Pokerspiel. Der Zusammenhalt Europas ist doch kein Spieleinsatz und ein deutscher Bundeskanzler darf kein Zocker sein, denn er entscheidet im schlimmsten Fall über Krieg oder Frieden.  #Bundeskanzler #Scholz #Bundestag #Politiktok #Politik #CDU #Merz #Deutschland ",2025-01-29 15:42:08,DE,7,1510,143,7,7465363214336625430,"['deutschland', 'merz', 'cdu', 'politik', 'bundestag', 'bundeskanzler', 'scholz', 'politiktok']",lars.castellucci,,,"aber Politik in unserem Land ist doch kein Pokerspiel, der Zusammenhalt Europas ist doch kein spieleinsatz. und 1 deutscher Bundeskanzler darf kein Zocker sein, denn er entscheidet im schlimmsten Fall über krieg oder Frieden.
"
7465011337794555158,Helmut Schmidt über die CDU. Aktueller denn je… #Merz  #Politik #Politiktok #CDU #noafd #HelmutSchmidt ,2025-01-28 16:56:42,DE,16,1506,133,2,7465011336139131670,"['merz', 'cdu', 'politik', 'noafd', 'politiktok', 'helmutschmidt']",lars.castellucci,,,"ich glaube, dass die CDU eine Partei ist, die über einen großen Fundus, ausgezeichnete Leute verfügt. verschiedenen charaktes, verschiedene menschlicher Entwicklung, verschiedene Auffassung. ich sehe sehr viel positives bei dieser Partei, aber was mich, was mich äh, letztlich häufig wieder sehr stört, das ist ähm, das beiseite schieben von. von Überzeugungen oder von Grundsätzen, die man eigentlich nicht beiseite schieben darf. Zusammenarbeit unter meiner Führung wird es mit der CDU in Deutschland nicht geben, und zwar Aus Gründen, die so klar und offensichtlich sind. wir arbeiten nicht mit einer Partei zusammen, die an ausländerfeindlich ist. Mir ist es völlig gleichgültig, wer diesen Weg politisch mitgeht. das beiseite schieben von. von Überzeugungen oder von Grundsätzen, die man eigentlich nicht beiseite schieben darf.
"
7464962540628446486,Die Vorschläge von Friedrich Merz sind entweder nicht umsetzbar oder nicht vereinbar mit unserer Verfassung bzw. mit Europarecht. So etwas können und werden wir als SPD nicht zustimmen. #Bundestag #Politik #Politiktok #noafd #SPD #Asyl #Migration #Deutschland #Aschaffenburg #CDU #Union ,2025-01-28 13:47:21,DE,5,1838,139,10,7464962536217168662,"['deutschland', 'union', 'spd', 'aschaffenburg', 'cdu', 'migration', 'politik', 'asyl', 'bundestag', 'noafd', 'politiktok']",lars.castellucci,,,"wird das auch eine migrationspolitische Veränderung bei ihrer Partei herbeiführen? wir sind verpflichtet, recht und Gesetz einzuhalten und wir werden natürlich nur Dinge im Bundestag zu einer Mehrheit verhelfen können, die auch rechtskonform sind. das sind die Vorschläge von Herrn März nicht. sie sind durchgängig nicht umsetzbar oder verfassungs und Europa rechtsrät widrig. ja, für die Ausrufung eines nationalen Notstands gibt es keine Mehrheit und ich empfinde auch unser Land nicht so, dass wir in einem tatsächlich in Notstand sind. wir haben jetzt wieder eine schreckliche Tat gesehen in erschaffenburg und es wäre jetzt sehr angemessen, wenn wir trotz der aufgewühlten Wahlkampfzeiten genau schauen würden, was dort passiert ist und dann auch versuchen, die Lücken zu erkennen, die auch mit diesem Fall zu tun haben. wir haben es mit einem psychisch erkrankten Täter wohl zu tun, der eigentlich auch aufgrund von vorangegangenen Straftaten gar nich äh, frei hätte herumlaufen sollen, zudem auch gar nicht in Deutschland hätte sein sollen, weil sein Verfahren eigentlich in Bulgarien hätte stattfinden müssen. und das sind die konkreten Punkte und alles, was mit grenzschließungen und allgemein zurückweisungen zu tun hat, das ist das Kind mit dem bade ausgeschüttet. dafür gibt es keine Möglichkeit, entlang von 4.000 Kilometern Grenzen jetzt hier Polizisten aufzustellen, die gar nicht da sind ähm, das ist auch nicht nötig, sondern wir müssen uns konkret um die Fälle kümmern und da Verbesserungen schaffen und die Lücken schließen, die mit dem Fall zu tun haben, die wir dort erkennen können.
"
7462697721435065623,"Pizza & Politik in Eberbach Das nächste Mal am 17. Februar um 18.30 Uhr in Wiesloch, herzliche Einladung! @jp.roederer  #Pizza #Politik #Bundestag #SPD #Eberbach #Wiesloch #RheinNeckar #RheinNeckarKreis #Politiktok ",2025-01-22 11:18:41,DE,6,1085,98,7,7462697690741377794,"['pizza', 'spd', 'politik', 'bundestag', 'eberbach', 'wiesloch', 'politiktok', 'rheinneckarkreis', 'rheinneckar']",lars.castellucci,,,"wenn's pizzahund Politik nicht gäbe, müsste man's noch mal neu erfinden, weil's einfach klappt. dass Junge Leute kommen und das erzählen können uns Politikern, was ihnen auf dem Herzen liegt. dafür ist es da. wie fandet ihr's? ich fands gut. ich fands gut, dass man über alles reden konnte und dass über alles zugehört worden is ähm, ich fands sehr interessant und die Themen waren auch interessant. ja, war schön. ja ihr seht, Pizza und Politik lohnt sich im Lars sowieso immer. Pizza is auch immer lecker. das nächste mal könnt ihr auch gern vorbeikommen.
"
7462393845616004374,"Pizza & Politik in Eberbach, ein paar Eindrücke für euch.  Das nächste Mal am 17. Februar um 18.30 Uhr in Wiesloch auch mit dir? @jp.roederer  #Pizza #Politik #Bundestag #SPD #Wiesloch #Eberbach #RheinNeckar #RheinNeckarKreis ",2025-01-21 15:39:28,DE,10,1545,79,2,7462393889590479638,"['pizza', 'spd', 'politik', 'bundestag', 'eberbach', 'wiesloch', 'rheinneckarkreis', 'rheinneckar']",lars.castellucci,,,"Pizza und Politik in Eberbach heut mit m. Lars. perfekt für junge Menschen, um ins Gespräch zu komme. warum warst du heut da? was beschäftigt dich? wir stehen natürlich jetzt vor richtungsweisenden Wochen. es ist viel was jetzt äh ansteht und ähm ja Mir ist es da wichtig auch ähm meine Stimme so n bisschen mehr spreaden. sehr gut, sehr gut. was beschäftigt dich? ja in aller 1. Linie natürlich die anstehende Bundestagswahl, wo man sehen wird, wie das Ergebnis wird und es war es halt sehr interessant von euch zu hören, wie was bei euch aktuell läuft und so sehr gut. und was nimmst du mit von dem Abend ähm natürlich gute Gesprächsthemen, was wir hier alles besprochen haben, das ist sehr interessant. hier kann man wirklich alles besprechen was einem mit ähm Politik interessiert. dann hat man nette Leute zum unterhalten da über das Thema. deswegen das nächste mal auch mit dir vielleicht. komm vorbei.
"
7467313723611303190,Mit uns ist mehr drin: Mehr für Dich.  Am 23. Februar SPD wählen.  #SPD #btw #MitteStattMerz #fürdich #fy #politiktok #Demokratie,2025-02-03 21:51:07,DE,3,1002,96,15,7467313831491586838,"['btw', 'fy', 'spd', 'fürdich', 'demokratie', 'politiktok', 'mittestattmerz']",lars.castellucci,,,"Lebensmittel sind zu teuer geworden. man kann sich das nicht mehr leisten. ich Mach Mir große Sorgen um die Zukunft. das können wir nicht. brauchen Olaf Scholz können. wir brauchen ja mit seiner asiatischen Besonnenheit. ich wähle Olaf Scholz. ich wähl Olaf Scholz, weil er für höhere Löhne und 15 Euro Mindestlohn kämpft. weil er die Steuer auf Lebensmittel senken will. weil er für mehr Sicherheit und eine moderne Bundeswehr sorgt. weil die Wirtschaft Impuls und Ideen braucht wie den made in Germany Bonus. er sorgt für Wachstum und Arbeit. ich wähle Olaf Scholz, weil er für Chef wieder Renten kämpft und sagt, dass man es nach 45 harten arbeitsjahren auch einmal gut sein lassen darf. wer SPD wählt, kann sicher sein, damit ist mehr drin. mehr für Familien, mehr für rentnerinnen und Rentner, mehr für die Wirtschaft. das ist gut für sie und das ist gut für Deutschland. deshalb haben wir 1 Programm des Gerechtigkeit, Zusammenhalt und die Wirtschaft fördert und für Sicherheit sorgt. und durchgerechnet haben wir es auch. ich wähle Olaf Scholz. ich wähle Olaf Scholz. ich wähle Olaf Scholz. mehr für dich, besser für Deutschland SPD.
"
