id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7456542392502521110,"„Sehr geehrter Herr ******, nein, ich schäme mich nicht als SPD-Abgeordnete in den Bundestag einzuziehen…“ Aus aktuellem Anlass ein kleines #erklärvideo 💪📣😎 #explainingmen #mensplaining #womeninmalefields #reclaimtiktok  #mitherzfürstuttgart #fürstuttgart #imbundestag #vomkesselindenbundestag #0711 ",2025-01-05 21:12:50,DE,2,1589,126,11,7456542393376656150,"['0711', 'erklärvideo', 'reclaimtiktok', 'mensplaining', 'imbundestag', 'explainingmen', 'fürstuttgart', 'womeninmalefields', 'vomkesselindenbundestag', 'mitherzfürstuttgart']",luciaschanbacher,,,ganz ehrlich nein ich schäm mich nich im Bundestag nachzurücken ganz im Gegenteil ich bin stolz drauf und ja ich bekomm genauso viel Gehalt wie die anderen aber ehrlich wär's nich n bisschen komisch junge Frau und auf einmal bekommt die 30 Prozent weniger Gehalt nur weil sie nachgerückt is machen wir Urlaub nein natürlich machen wir keinen Urlaub auch wenn der Bundestag aufgelöst ist hat der noch Wesentliche Funktionen Gewaltenteilung und so is im Grundgesetz geregelt und deswegen extrem wichtig dass wir handlungsfähig sind und bleiben vorab die bleibt zu 100 Prozent ja 120 Prozent genau gleich wir sind euer Sprachrohr nach Berlin und es muss natürlich auch so bleiben deswegen bin ich auch jetzt grade unterwegs äh und arbeite an einem Sonntag und in Berlin im Bundestag geht's natürlich auch weiter wir haben noch wichtige Entscheidungen zu treffen ich sag mal 1 Beispiel für dass ich mich selber eingesetzt hab der gestaffelte Mutterschutz das heißt dass Frauen die in der Fehlgeburt erlitten haben nich gleich am nächsten Tag wieder zur Arbeit müssen n weiteres Thema die Mietpreisbremse die für Städte wie Stuttgart essentiell is wenn wir das nich entscheiden vor der Bundestagswahl dauert es bis nach der Regierungsbildung bis wir hier womöglich ne Lösung haben wir brauchen diese Gesetze und deswegen müssen wir auch in Berlin weiterarbeiten OB der Bundestag aufgelöst ist oder eben nich
7455779082924559638,"Liebe Männer, würdet ihr wollen, dass eure Frauen und Töchter solche Mails bekommen? Nein, ich schäme mich nicht! Mein Name ist Lucia Schanbacher und ich  bin stolz darauf, dass ich Mitglied des 20. Deutschen #Bundestages bin!  #alteweissemänner #womeninmalefields  #vomkesselindenbundestag ",2025-01-03 19:50:47,DE,1,3713,136,21,7455779085537544982,"['alteweissemänner', 'bundestages', 'womeninmalefields', 'vomkesselindenbundestag']",luciaschanbacher,,,"ich bin wirklich niemand die sich als Opfer darstellt aber ich bin seit 1-2-3 Tagen Bundestagsabgeordnete und schon bekomme ich diese Mails „schämst du dich nicht?“ „wie kann's denn sein, dass du in den Bundestag nachrückst?“ „Und dann nichts schaffen!“ der Bundestag macht ja gar nichts mehr ich weiß nich ist es n respektvoller Umgang ist es n Umgang wie ihr euch das wünscht wie mit euren Töchtern euer Frauen umgegangen wird liebe Männer die Mir diese Mail schreiben ich glaube nich"
7460489484434459926,"Waffenruhe im #Gazastreifen?  Wir können nur hoffen, dass sie hält. 2 Mio Menschen darunter 1 Mio Kinder kämpfen ums Überleben, das ist ihre Chance! Auch für die Geißeln, die noch von der Hamas festgehalten werden ☮️🕊 Dann braucht es eine langfristige Lösung für nachhaltigen Frieden in der Region! Damit sowohl Palästinenser*innen als auch Israelis in Frieden nebeneinander leben können.  Der Angriff der #Hamas ist aufs tiefste zu verurteilen und war der Ausschlag für Israels Offensive. Doch jetzt ist es gut, dass für die Menschen ein Weg für eine Waffenruhe und ein Geißelaustausch gefunden wurde.  Wir hoffen, dass sie hält!  #ceasefire #waffenruhe  #fürstuttgart #imbundestag #mitherzfürstuttgart #0711 #vomkesselindenbundestag",2025-01-16 12:29:33,DE,0,980,19,2,7460489444257975062,"['ceasefire', 'hamas', '0711', 'waffenruhe', 'imbundestag', 'fürstuttgart', 'vomkesselindenbundestag', 'mitherzfürstuttgart', 'gazastreifen?']",luciaschanbacher,,,die Meldungen überschlagen sich die letzten Stunden wir können nur hoffen dass die Waffenruhe in Gaza wirklich hält 2 Komma 2 Millionen Menschen hoffen da drauf eine million Kinder die ums Überleben kämpfen die hungrig sind durstig haben und in täglicher Unsicherheit Leben das ist ehrlich gesagt auch als Mutter total bewegend diese Szenen zu sehen unter welchem Dämon Kinder da aufwachsen müssen die Waffenruhe sieht nämlich genau das vorher eine Zeiten der Hilfsgüter reinkommen können medizinische Unterstützung Nahrung trinken äh und das ist sehr wahnsinnig wichtig für die Menschen dort vor Ort und da müssen wir uns Gedanken machen wie das langfristig ne Lösung vor Ort geben kann wie wir nachhaltig Frieden sichern können für Gase aber genauso für Israel ähm und da ist die zwei start lösung auf dem tisch also wer moderiert die wer wer setzt sie nachher durch aber als erstes erstes ziel muss sein die waffenruhe jetzt muss halten
7459443381597408534,"Was wir gegen Musk tun können? Wir können ihn mit unseren Waffen schlagen:  Und die gibts - Empörung hilft hier nichts. Wir müssen Leute wie #ElonMusk da treffen, wo es weh tut: 📲 Social Media weiter regulieren gegen #Fakenews und #HassundHetze im Netz - Wir sind auf dem richtigen Weg 🦾 🎯in Europa unabhängig von Tech-Giganten werden #important 🚘 lieber ein E-Auto aus Deutschland als aus den USA kaufen. Das sichert auch unsere Industriearbeitsplätze vor Ort 👍 Was ist eure Meinung? Was trifft Menschen wie Musk wirklich?  #fürStuttgart #imBundestag #0711 #vomKesselindenBundestag",2025-01-13 16:50:07,DE,1,2527,89,98,7459443363449277206,"['important', 'fakenews', '0711', 'elonmusk', 'hassundhetze', 'imbundestag', 'fürstuttgart', 'vomkesselindenbundestag']",luciaschanbacher,,,"lieber Herr Mast, die Welt ist kein Spielball, auch nicht für Milliardäre. hey, um was geht's eigentlich? hier möchte sich n techgigant verewigen und mischt sich in die Existenz anderer Länder. 1. untergräbt das Fundament unserer Demokratie. lass uns mit unseren Mitteln zurückschlagen. lasst uns noch viel stärker die sozialen Medien regulieren, gegen Hass und Hetze im Netz und gegen Fake News. lasst uns unabhängig werden von techgiganten wie Mask, lasst uns unabhängig werden von raketenwissenschaften, von SpaceX. und am Ende, kauft kein Tesla. lasst uns doch unsere eigene immobilität unterstützen in Deutschland und damit sichern wir auch unseren Industriestandort Stuttgart und die Arbeitsplätze hier vor Ort.
"
7465699951373241622,Antwort auf @💚ᕼOᑭE💚  Auch am nächsten Tag beschäftigt mich der Fall der Brandmauer nach wie vor. Es erschreckt mich dass so etwas 2025 möglich ist und nicht aus der Geschichte gelernt wurde. Jetzt heißt es aufstehen gegen Rechts!,2025-01-30 13:28:50,DE,11,15195,235,484,7465699953336224535,[],luciaschanbacher,,,"ich bin seit 3 Tagen bundestagsabgeordnet und gekommen um demokratische Politik zu machen. und was Mach ich? ich verteidige die Demokratie. das ist doch total absurd. gestern war nicht nur für mich 1 historischer Tag, sondern für die Demokratie seit 80 Jahren ist zum 1. mal in Nachkriegs Deutschland mit Stimmen einer gesichert recht extrem Partei 1 Antrag durch den Deutschen Bundestag gekommen. jetzt ist hoffentlich Allen klar, Wen man am 23.februar nicht wählen sollte. was ist eigentlich so schwer die Brandmauer zu verstehen? eigentlich sollten gerade wir doch Aus unserer Geschichte gelernt haben.
"
7465396132076719382,"Feixende, lachende Gesichter der AfD. Das ist es was @merzcdu bewirkt hat.  Er und seine Fraktion haben zum ersten Mal in der Nachkriegsgeschichte mit stimmen der AfD ihren Antrag durch den Deutschen Bundestag gebracht. Damit ist die Brandmauer gefallen! Jetzt ist es an uns, an uns allen eine schwarz-Blaue Mehrheit zu verhindern.  Darum geht es! Und nicht weniger!🙏🏼",2025-01-29 17:49:52,DE,2287,417538,29165,822,7465396134300977942,[],luciaschanbacher,,,"die Brandmauer gegen rechtes gefallen. heute ist 1. historischer Tag in der Nachkriegsgeschichte, weil zum allerersten mal die CDU CSU Anträge mit Stimmen einer gesichert rechtsextremen Partei in den Bundestag durchgebracht hat. wir haben uns geschworen, nie wieder! als Demokratin und Demokraten müssen wir uns ganz klar abgrenzen von den rechtsextremen in dieser Gesellschaft, die unsere Demokratie, unsere Gesellschaft, uns alle hier spalten wollen. eine solche zersur, ausgerechnet am Gedenktag für die Opfer des Nationalsozialismus ist einfach nur zynisch.
"
7465257734066343191,"Behind the scenes von meiner allerersten Fraktionssitzung 💼 207 Hände geschüttelt, 5 Word-Seiten mitgeschrieben, 3 Instagram Stories gemacht ☑️ #fürStuttgart #imBundestag #vomkesselnachBerlin",2025-01-29 08:52:56,DE,1,1126,28,3,7465257748776225558,"['imbundestag', 'fürstuttgart', 'vomkesselnachberlin']",luciaschanbacher,,,"hallo hallo schön, deine 1.. Fraktion sitzt im Bundestag, richtig? danke schön. danke Martin für deine Begrüßung. ja gerne."
7464203560163593494,Olaf Scholz kommt ❤️Am 7. Februar um 10 Uhr im Scala in Ludwigsburg! Kommt vorbei und stellt eure Fragen.  🎤📣Denn darum gehts.  Egal auf welcher Sprache: Da sind sich der SPD-Bundestagsabgeordneten Macit Karaahmetoglu und ich uns einig. Herzliche Einladung ❤️ #iMakethefaceyoumakethesound #vomkesselindenbundestag #mitherzfürstuttgart,2025-01-26 12:42:05,DE,1,1098,54,2,7464203559874235138,"['imakethefaceyoumakethesound', 'vomkesselindenbundestag', 'mitherzfürstuttgart']",luciaschanbacher,,,"i make the face and you make the sound olaf scholz 7 şubat'ta lütfen vixburg'da türklerle türkiyelilerle buluşuyor hepinizi bekliyoruz
"
7463923719371492630,"Will Friedrich Merz mit Stimmen der AfD nächste Woche seine Anträge zur Migration durchbringen? Ich habe Friedrich Merz gefragt. 🎤 Das Video könnte witzig sein, wenn es nicht so tragisch, so fatal, so abartig wäre! ❌✋ Die #Brandmauer gegen Rechts bröckelt! Weil die @merzcdu offenbar die Zusammenarbeit mit der #noAfd nicht mehr ausschließt. Sondern viel schlimmer: billigend ihre Stimmen für Mehrheit in Kauf nimmt.  Das erschüttert mich, vor allem als  überzeugte Demokratin! Wir haben uns geschworen #niewieder #keinenmilimeternachrechts  Haben wir aus der Geschichte nichts gelernt, Herr Merz?  Gerade jetzt müssen Demokratinnen sich auf Demokratinnen verlassen können!  Ich appelliere an die Union: die Brandmauer darf nicht fallen, schon gleich nicht wenn es reine #Wahlkampftaktik ist!  #mitherzfürstuttgart #vomkesselindenbundestag",2025-01-25 18:36:07,DE,2,1208,100,3,7463923710866869014,"['niewieder', 'noafd', 'keinenmilimeternachrechts', 'brandmauer', 'wahlkampftaktik', 'vomkesselindenbundestag', 'mitherzfürstuttgart']",luciaschanbacher,,,"lieber Herr März, was ist eigentlich ihre Haltung zur AfD? auch sie könnten recht haben. und steht die Brandmauer eigentlich noch? nein? aber sie haben doch gesagt, dass sie im Zweifel auch die Stimmen der AfD für ihre Anträge zur härteren migrationspolitik nutzen würden. oder ja, dass sie wissen sie. für mich sieht so Aus, als wär er seit gestern die Brandmauer gefallen. soweit so schlecht.
"
7462733864402816278,"Warum #spd wählen? Hört selbst! 1️⃣ Uns gehts um die wahren Leistungsträger*innen der Gesellschaft, zum Beispiel die, die sich um unsere Kinder kümmern  2️⃣Wir investieren in die Zukunft 🚀mit einem #madeingermany Bonus für Arbeitsplatzsicherheit,  Klimaneutralität und eine Infrastruktur der Zukunft 💪 3️⃣ Wir stärken Familien den Rücken! Mehr netto vom brutto und eine zuverlässige #Kita ❤️ Was denkt ihr? Was sollte Politik 2025 machen? Was darf ich als SPD-Bundestagsabgeordnete mit nach Berlin nehmen? #vomkesselindenbundestag #fürstuttgart #imbundestag",2025-01-22 13:38:55,DE,0,1462,79,8,7462733856924977942,"['madeingermany', 'kita', 'spd', 'imbundestag', 'fürstuttgart', 'vomkesselindenbundestag']",luciaschanbacher,,,"3 Gründe, warum du mich und die SPD in Stuttgart wählen solltest leistungsträgerinnen sind für uns auch die, die sich um unsere Kinder kümmern, die twenty four Seven für unsere Sicherheit Sorgen oder im Krankenhaus und sich um unsere Eltern kümmern. wir setzen uns für diese Menschen, 1. wir investieren in die Zukunft mit dem made in Germany Bonus wollen wir, dass 10 Prozent Steuererleichterung die Unternehmen bekommen, die Arbeitsplätze sichern und gleichzeitig in die Zukunft und die Klimaneutralität investieren. wir wollen Familien Stärken. gerade in so ner teuren Stadt wie Stuttgart geht es darum, dass wir Familien, die sich durch den Alltag kämpfen, viel, viel mehr unterstützen. zum Beispiel mit einem deutschlandticket für Kinder, in dem Kinder kostenlos mit Bus und Bahn fahren können.
"
