id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7457495277004475670,Auf dem Podium ,2025-01-08 10:50:31,DE,1,909,14,5,7457495266103479062,[],michael.frieser.mdb,,,"Fragen und äh, ich freu mich, dass wir zum Abschluss unserer Veranstaltung den parteipersitz und der CDU, den fraktionsversetzen der CDU, CSU fraktions und den Kanzlerkandidaten der CDU, CSU und den zukünftigen Kanzler der Bundesrepublik Deutschland begrüßen können.
"
7457158190682131734,Der erste Tag in Seeon ist vorüber. Begonnen hat es mit einem Pressestatement und der Eröffnung der Klausurtagung durch Alexander Dobrindt MdB und anschließendem Gespräch mit Herr Dr. Markus Söder MdL. Weiter ging es mit den Sternensängern und der Ökumenischen Andacht. ,2025-01-07 13:02:28,DE,0,1154,32,1,7230735778946795522,[],michael.frieser.mdb,,,
7458685067062234390,"Der Wahlkampf ist in vollem Gang! Tolle Stimmung heute in Worzeldorf, Langwasser und Altenfurt-Fischbach-Moorenbrunn. Vielen Dank an alle Helferinnen und Helfer für die großartige Unterstützung! #neuwahl #csu #wahlkampf #Unterstützung #danke ",2025-01-11 15:47:30,DE,3,898,12,4,7230735760989849602,"['danke', 'csu', 'unterstützung', 'wahlkampf', 'neuwahl']",michael.frieser.mdb,,,
7463968423098322199,"Herrlicher Abschluss dieses Wahlkampftages: HausTIERwahlkampf in Gebersdorf in Nürnberg☀️. Im Team Frieser mit am Start: meine Hündin Alba🙂. Viele Leckerlis für die Hunde, noch mehr gute Gespräche mit ihren Besitzern. Vielen Dank an @jenny.baier und das Team der @csu.gebersdorf!",2025-01-25 21:29:36,DE,0,957,12,1,7463968414609591062,[],michael.frieser.mdb,,,
7463968099708964118,,2025-01-25 21:28:21,DE,3,1020,49,32,7277602986661283842,[],michael.frieser.mdb,,,
7463968068096609558,Wahlkampfeinsatz von einem Wahlkampfstand  #wahlkampf #cducsu ,2025-01-25 21:28:14,DE,2,1273,66,14,7463968073448852246,"['wahlkampf', 'cducsu']",michael.frieser.mdb,,,heut ist natürlich wahlkampfeinsatz von einem Wahlkampfstand zunächste mit sehr sehr vielen Bürgern mit denen jemand ins Gespräch kommt und das Thema das sich nach den fürchterlichen Ereignissen in Aschaffenburg stellt ist die Frage will und kann die Union ihre Forderungen zum Thema denn mit dis migrationswechsels und des Wechsels der Politik durchsetzen es dürfte sich die Frage gar nicht stellen OB an dieser Stimme eine AfD zustimmt oder nicht die anderen müssten die Frage beantworten nämlich SPD und grüne warum sie den Forderungen der Union in diesen zentralen Themen nicht zustimmen wollen und man muss mal dazu sagen die Union hat im Deutschen Bundestag auch zusammen mit der AfD sogar zusammen mit der FDP keine eigene Mehrheit also stellt sich diese Frage nicht lieber 1.000.000 muss vorgeben wie der Takt herrscht die anderen müssen sagen warum sie nicht zustimmen oder OB sie zustimmen
7466041868665490710,Ein historischer Freitag! ,2025-01-31 11:35:41,DE,32,4603,268,55,7466041872097118998,[],michael.frieser.mdb,,,es sind wirklich historische Momente im Deutschen Bundestag soeben hat Friedrich März für die Union sowohl der SPD als auch den grünen angeboten nochmals inhaltlich über die Fragen des zustrombegrenzungsgesetzes zu reden es gibt überhaupt keinerlei Bereitschaft auch nur über einen der Punkte die dort adressiert sind das heißt das Thema Begrenzung im aufenthaltsgesetz das aussetzen von familiennachzug bei suizidärschutzberechtigten oder aber vermehrte zuständigkeiten für die Bundespolizei. keine dieser Punkte wird von den anderen in irgendeiner Weise als diskussionswürdig angesehen das ist keine Grundlage für eine Abstimmung in der sogenannten demokratischen Mitte die überwiegende Mehrheit der deutschen erwartet von uns eine Lösung der dringendsten migrationsprobleme die Union ist dazu bereit.
7472828305436134678,Am Sonntag zählts: beide Stimmen CSU #Politikwechsel #CSU ,2025-02-18 18:30:28,DE,16,10568,380,466,7472828335840693014,"['csu', 'politikwechsel']",michael.frieser.mdb,,,"diese Wahl ist eine ganz besondere Wahl. es geht nicht um einen Regierungswechsel allein, es geht um 1 Richtungswechsel. es geht nicht um Personen, sondern um eine andere Politik, die es Deutschland braucht. wir wollen die Wirtschaft wieder Stärken, ganz massiv, damit sich Mittelstand, Handwerk, Landwirtschaft, Junge Unternehmen und Unternehmer wieder stärker fühlen können und ihre Leistung wieder berücksichtigt wird. wir wollen erreichen, dass Migration wirksam begrenzt, Straftaten bekämpft werden, Straftäter das Land wieder verlassen müssen. und wir wollen, dass uns die Sicherheit unseres Landes gesteigt wird, mit einem Ausbau der Bundeswehr, mit einer Stärkung auch unserer verteidigungsfähigkeit, um die Freiheit unseres Landes zusammen zu verteidigen. um diese 3 Bereiche geht's. die Ampel hat dafür kein Konzept gehabt. die ampelparteien haben es nicht geschafft Deutschland stärker und besser zu machen. im Gegenteil, wir wollen es angehen und wir wollen das Land nicht denen überlassen, die es radikal führen wollen. wir sind starke Demokraten der Mitte und deswegen die klare Botschaft am nächsten Sonntag, beide Stimmen für die CSU. besonders empfehl ich natürlich Michael Fräser. wir sind seit vielen Jahren befreundet, ich kenn ihn in und auswendig. er ist jemand, der für unsere Region steht, der kompetent ist, der eloquent ist, der aber auch etwas durchsetzen kann und das kann ich wirklich sagen, der unsere Heimat liebt und dafür steht wie kein 2. deswegen Michael Frieza, eine optimale Wahl. ich vertraue ihm. bitte tun sie es auch. danke.
"
7472484429580094742,"Weniger als eine Woche vor der Wahl erkunden Schülerinnen und Schüler der Bertolt-Brecht-Schule den Bundestag und das politische Berlin. Vielen Dank für ein intensives Gespräch über Wahlkampfthemen und darüber hinaus. Großartig zu sehen, wie interessiert und kritisch die junge Generation ist – mit solchen Jugendlichen sieht die Zukunft gut aus!",2025-02-17 20:16:04,DE,5,1075,24,1,6954015822210435073,[],michael.frieser.mdb,,,
7472121800323894530,"Herzlichen Dank an Prof. Dr. Anatoli Djanatliev für die Einladung zum Neujahrsempfang der CSU-Langwasser. Volles Haus und tolle Gespräche -nicht nur zum Thema Migration mit Ahmad Mansour einem der renommiertesten Migrationsexperten. Die CSU steht für den dringend benötigten Politikwechsel auch in der Wirtschafts-, Gesellschafts- und Verteidigungspolitik.",2025-02-16 20:48:52,DE,0,815,12,3,7472121797640686358,[],michael.frieser.mdb,,,"Menschen wollen eine deutliche, eine klare, da auch eine konservative Politik. und was kriegen sie immer mehr auf der linken Seite? das ist die Folge dieses gegenseitig sich hochschauen. und deshalb ist an diesem Satz diese Union, für die wir beide kämpfen, ich auch niemals irgendeine Zusammenarbeit mit einer AfD haben will. nicht nur, weil wir gar nichts miteinander zu tun haben, sondern weil die unseren Untergang wollen. sie wollen unser Ende als politische Kraft und deshalb werden wir ihnen niemals die Hand reichen. egal.
"
