id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7457137438117481750,"Es ist Zeit, für einen Politikwechsel!🚀 Ich bin topmotiviert für den Wahlkampf. Wenn du auch Lust hast, daran mitzuarbeiten Deutschland #wiedernachvorne zu bringen, melde dich gerne bei mir! 💌🖤❤️💛 #cdu #cducsu #teamworkmakesthedreamwork #teammerz #ulm #albdonaukreis #politics ",2025-01-07 11:41:57,DE,0,991,33,19,7363314838511175697,"['politics', 'ulm', 'cdu', 'teamworkmakesthedreamwork', 'cducsu', 'albdonaukreis', 'teammerz', 'wiedernachvorne']",ulmer_ronja,,,
7462010256659434774,POV: Wenn für dich die Ampel immer noch die größte Red Flag ist...🚩🚩🚩  #Schwäbisch auf die 1 und am 23. Februar Deutschland mit der CDU #wiedernachvorne wählen.  🖤❤️💛 #loveisblindgermany #LoveIsBlind #tolga #cdu ,2025-01-20 14:50:57,DE,1,741,29,0,7462010234958760726,"['loveisblind', 'tolga', 'cdu', 'schwäbisch', 'wiedernachvorne', 'loveisblindgermany']",ulmer_ronja,,,
7461949954223820054,"Wohlstand für alle - Ludwig Erhard war seiner Zeit voraus, denn was damals galt, gilt heute ganz genauso. Klimaschutz und Wirtschaft müssen wir zusammendenken! 🤝 Während oftmals suggeriert wird, es gäbe ein entweder oder, ist für uns als Union klar: ohne Wirtschaft keinen wirksamen Klimaschutz. Ohne Wirtschaft, keine Investitionen - auch nicht in innovative Lösungen für unser Klima. 📈🌱Wie all das zusammenhängt, erkläre ich Euch im Video meiner Reihe - ERHARD DAMALS UND HEUTE.  #cdu #wiedernachvorne #deutschland #ulm #albdonaukreis #geschichte #wirtschaft ",2025-01-20 10:56:58,DE,0,433,11,3,7461949954171587350,"['deutschland', 'ulm', 'cdu', 'geschichte', 'wirtschaft', 'albdonaukreis', 'wiedernachvorne']",ulmer_ronja,,,
7460152508372028695,"Was hätte der alte Erhard wohl dazu gesagt? 😉 Derzeit machen sich viele Menschen Sorgen um die Zukunft unserer Wirtschaft und dabei letztlich auch um Ihre Jobs. 📉 Wie wir Deutschlands Wirtschaft #wiedernachvorne bringen können, darum geht in meiner Videoreihe ERHARD DAMALS UND HEUTE. 📈 #cdu #ulm #albdonaukreis #geschichte #history #wirtschaft  Foto: Peter Bousenrath/Tobias Koch",2025-01-15 14:41:55,DE,0,1158,50,9,7460152484594584343,"['history', 'ulm', 'cdu', 'geschichte', 'wirtschaft', 'albdonaukreis', 'wiedernachvorne']",ulmer_ronja,,,"wusstet ihr, dass Ludwig Erhart, direkt gewählter Bundestagsabgeordneter in Wahlkreis Ulm, in meinem Wahlkreis war? unser 1. Wirtschaftsminister und späterer Kanzler hat unser Land entscheidend mitgeprägt. und unser Wohlstand, unsere Freiheit, unsere Demokratie, die sind damals ja nicht einfach so vom Himmel gefallen. die haben wir uns hart erarbeiten müssen. unser Wohlstand liegt maßgeblich in der sozialen Marktwirtschaft begründet, eine Wirtschaftsordnung, die Ludwig Erhard mitentwickelt hat. doch die aktuellen Zahlen und Fakten sind leider sehr dramatisch. viele machen sich Sorgen um die Zukunft unserer Wirtschaft. sind wir auf dem rechten Wege, wird von bestand sein, was wir uns so schwer erarbeitet haben. wir müssen uns auf die Prinzipien der sozialen Marktwirtschaft rückbesinnen. das heißt ganz konkret, dass wir wieder gute Rahmenbedingungen für alle Unternehmen brauchen und unsere Unternehmen auch international wieder wettbewerbsfähig werden. die kommende Bundestagswahl wird deswegen auch darüber entscheiden, OB unsere Wirtschaft wieder Aus der Rezession herauskommen kann. der Grundsatz Wohlstand für alle muss auch endlich wieder in Deutschland gelten. und wie wir das anpacken können, darum geht's in meiner Videoreihe. er hat damals und heute. bleibt dran!
"
7459374669704056086,"Wir wollen Deutschlands Wirtschaft #wiedernachvorne bringen. 🚀 Für sichere Arbeitsplätze in unserem Land! 🖤❤️💛 ✅ Unser Ziel: Wachstumsraten von mindestens zwei Prozent 📈 ✅ Unser Plan: Die Agenda 2030 ➡️ Wir wollen Beschäftigte und Unternehmen spürbar entlasten mit einer großen Steuerreform. Für Rentner, die weiterarbeiten, stellen wir mit der Aktivrente den Lohn bis 2.000 Euro im Monat steuerfrei – genauso wie Überstundenzuschläge. So werden sich Fleiß und Anstrengung wieder lohnen. 🏋️‍♀️ ➡️ Wir starten eine Arbeits- und Fachkräfteoffensive: Dazu schaffen wir das Bürgergeld ab und ersetzen es durch eine Neue Grundsicherung. Die Anwerbung von ausländischen Fachkräften vereinfachen wir. 👩‍⚕️👷👩‍🏭 ➡️Wir wollen, dass Deutschland als Industrieland und krisenfeste Exportwirtschaft erfolgreich bleibt. Dazu reduzieren wir Energiekosten, bauen den Freihandel aus und stärken unsere Automobilindustrie, z. B. mit der Abschaffung des Verbrenner-Verbots.👨‍🔧⚙️ ➡️ Wir schaffen eine schlanke Verwaltung. Dazu wollen wir die Zahl der Beauftragten mindestens halbieren, in Ministerien mit zehn Prozent weniger Personal auskommen und Bundesbehörden zusammenlegen ➡️ Wir machen ernst mit Bürokratierückbau. Dazu schaffen wir Berichts- und Nachweispflichten ab, machen jährliche Entrümpelungsgesetze und reduzieren bürokratische EU-Vorgaben. #cdu #nameamoreiconicduo #bundestagswahl #merz #linnemann 📸Peter Bouserath",2025-01-13 12:23:31,DE,3,713,53,21,7165624692668484357,"['merz', 'cdu', 'linnemann', 'nameamoreiconicduo', 'bundestagswahl', 'wiedernachvorne']",ulmer_ronja,,,
7458567435340516610,"Meine ersten Plakate im Wahlkreis hängen schon – vielleicht habt ihr ja schon mein „freundlich-lächelndes Politiker-Konterfei“ entdeckt. 😅 📽️ Das ZDF hat einen Blick hinter die Kulissen der Druckerei gewagt, wo unter anderem auch meine Plakate gedruckt wurden. Ein Dank geht an alle, die daran mitarbeiten, die vorgezogenen Bundestagswahlen organisatorisch zu ermöglichen 🫶.  Auch das ist Engagement für unsere Demokratie! 🖤❤️💛 #ulm #albdonau #cdu ",2025-01-11 08:11:09,DE,2,8953,194,26,7458567423341873942,"['ulm', 'cdu', 'albdonau']",ulmer_ronja,,,"in dieser Druckerei kommen die 1. freundlich lächelnden Politiker konterfeis Aus hochmodernen Druckern. sie müssen rechtzeitig an die laternenfäle der Republik. deshalb hat Gerhard Klein eine zusätzliche Nachtschicht eingerichtet, eine Halle dazu gemietet, zusätzlich Personal eingekauft. er wird weit über 100.000 Wahlplakate für verschiedene Parteien drucken. größte Herausforderung, die rechtzeitige Anlieferung durch Speditionen und Paketdienste.
"
7465774466216267030,"""Aber es ist das gute parlamentarische Recht, auf der kommunalen Ebene, auf der Landesebene und auf der Bundesebene, dass Parteien ihre Meinung in Form von Anträgen und Gesetzesentwürfen zum Ausdruck bringen."" Mein Statement zur aktuell sehr aufgeheizten Migrations-Debatte - die sachliche Ebene wurde längst verlassen. Doch ganz genau um die geht es. SPD und Grüne stehen blank dar und nutzen die Debatte, um Hass gegen die CDU zu schüren - das geht soweit, dass viele Geschäftsstellen der CDU beschmiert werden und in Berlin müssen Mitarbeiter die CDU-Parteizentrale verlassen, weil ihre Sicherheit zum Zeitpunkt der später angekündigten Demo nicht mehr gewährleistet ist. Hier wird gerade eine rote Linie überschritten.@Junge Gruppe im Bundestag 🗣️ ",2025-01-30 18:17:57,DE,6,1060,95,12,7465774448558918422,[],ulmer_ronja,,,"wir haben gestern unseren 5 Punkte Plan zum Thema Migrations im Deutschen Bundestag eingebracht. in dem Zusammenhang von einer Zusammenarbeit mit der AfD zu reden ist wirklich absurd und eine reine Inszenierung Aus dem grünen linken Lager. warum? in unserem Antrag benennen wir die AfD explizit als populistisch und fremdenfeindlich. es gab vorher keine Abstimmung mit der AfD, es wird keine Abstimmung und schon gar keine Zusammenarbeit in irgendeiner Form mit der AfD geben. aber es ist das gute parlamentarische recht auf der kommunalen Ebene, auf der Landesebene und auf der Bundesebene, das Parteien eben auch ihre Meinung in Form von Anträgen und gesetzesentwürfen zum Ausdruck bringen. und deswegen haben wir uns auch vorher eben nur mit FDP, Grünen und SPD abstimmen wollen, um so eine Mehrheit Aus der Mitte des Parlaments für unseren Antrag zu bekommen. es kann aber nicht sein, dass wir dann unseren Antrag zurückziehen. es wird nicht falsch, was in dem Antrag steht, nur weil im Zweifel die falschen Leute mitstimmen. wir jetzt deswegen so viel über das Verfahren sprechen, zeigt eigentlich worums wie vielen anderen in dem Moment auch geht. sie wollen von der inhaltlichen Debatte ablenken und wir müssen über die Inhalte reden. nach Mannheim, Solingen, Magdeburg und erschaffenburg können wir in der migrationspolitik so nicht weitermachen. unsere Forderungen sind 1tens die Begrenzung im Aufenthaltsrecht wieder zu verankern, 2tens die Bundespolizei braucht mehr Kompetenzen auch beim Thema Abschiebungen und 3tens der familiennachzug muss ausgesetzt werden für diejenigen, die keinen dauerhaften Aufenthaltsstatus haben.
"
7465363476949552406,Heute war Wirtschaftswarntag - zu Recht! Deshalb hat sich unsere Wirtschaft heute vorm Brandenburger Tor versammelt - denn unsere Wirtschaft geht den Bach runter. Dazu habe ich mit Caroline Bosbach ein Statement aufgenommen. #cdu #wiedernachvorne ,2025-01-29 15:43:09,DE,0,1254,113,21,7465363470864370454,"['cdu', 'wiedernachvorne']",ulmer_ronja,,,"wir sind heute hier am Brandenburger Tor, weil wir 1 Zeichen setzen wollen Deutschland braucht einen Politikwechsel Deutschland braucht eine wirtschaftswende. unsere Wirtschaft geht den Bach runter und so können wir nicht weitermachen. es brennt an Allen Ecken und enden und deswegen ist es wichtig, dass wir heute hier zusammenkommen. es ist wichtig Farbe zu bekennen und n Zeichen zu setzen, weil so geht es nicht weiter. wenn man ne schleiche deindustrialisierung, was das in den Auswirkungen für jeden von uns im Alltag heißt, spüren wir. wir merken's am heizen, wir merken's am einkaufen. da braucht man keine regierungserklärungen. wir wissen es einfach. deswegen lasst uns stark sein und Zusammenhalt und endlich was ändern Deutschland ist der größten Rezession seit über 20 Jahren, wir haben die höchste Arbeitslosigkeit seit über 10 Jahren. das merken die Leute und deswegen ist es jetzt noch mal Zeit für einen Politikwechsel. dafür treten wir an am 23.februar und diesen Politikwechsel, diese wirtschaftswende wird es nur mit der CDUC so geben.
"
7463427722677718294,"Wenn der Staat nicht für Sicherheit sorgt, dann rüttelt das an den Grundfesten unserer Demokratie. Wir müssen mit einem fundamentalen Politikwechsel Recht und Ordnung wieder herstellen. #cdu #merz ",2025-01-24 10:31:29,DE,0,599,63,18,7463427715547286294,"['merz', 'cdu']",ulmer_ronja,,,
7463017895157681430,✌🏼Am 23. Februar beide Stimmen CDU - damit aus „Wohlstand für alle“ nicht „Wohlstand: alle“ wird. #wiedernachvorne #cdu #scholzmussweg #bundestagswahl #historytime #historytok #politicaltiktok ,2025-01-23 08:01:09,DE,0,545,38,13,7463017868561877782,"['cdu', 'historytime', 'bundestagswahl', 'politicaltiktok', 'historytok', 'wiedernachvorne', 'scholzmussweg']",ulmer_ronja,,,
7468569353164705046,"🚫 Wir alle wissen, wie es um unser Land steht – und dass es so nicht weitergehen kann. Zu Recht wird von jeder Bundesregierung erwartet, dass es am Ende ihrer Amtszeit Land und Leuten besser geht. Die Ampel hat diese Erwartungen enttäuscht. Hinter Deutschland liegen drei verlorene Jahre – und vor uns historisch große Herausforderungen. 🔜 Es geht um viel in den kommenden Jahren. Es geht um unsere Freiheit, es geht um Frieden, Wohlstand, Sicherheit und den Zusammenhalt unserer Gesellschaft. Deutschland ist eine starke Volkswirtschaft. 🖤♥️💛Deutschland hat alles, was es braucht: Wir sind das Land des Mittelstands und der Familienunternehmen, der Hidden Champions und des Handwerks, der Selbständigen und freien Berufe, der innovativen Gründer und weltweit erfolgreichen Industrie- und Dienstleistungsunternehmen. Und überall und mittendrin: fleißige Arbeitnehmer, die unser Land am Laufen halten, kreative Erfinder, exzellente Ingenieure und Landwirte, die uns mit hochwertigen Lebensmitteln versorgen. Darauf können wir setzen, auch in schwieriger Zeit – und das müssen wir auch. 💪🏼 Deutschland kann es besser! Seid dabei bei unserem Insta-Live, in dem wir über die kommende Bundestagswahl sprechen und über das, was es braucht, um Deutschland wieder nach vorne zu bringen. #merz #cdu #insta ",2025-02-07 07:03:42,DE,0,988,35,5,5000000001448892022,"['insta', 'merz', 'cdu']",ulmer_ronja,,,
