id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7458374550783315222,"Bock auf Veränderung? Dann mach mit:   🪧 12. Januar – Plakatieren 👋 Infostände und Tür-zu-Tür-Aktionen 🔥 Jede Stimme zählt am 23. Februar!   👉 http://link.spd.berlin/qNtQ50UCo2o   #BTW2025 #Plakat #Veränderung #Wahlen #Wählen #Wahl #SPD #Bundestagswahl2025 #SozialeGerechtigkeit #Bundestag @Ruppert Stüwe, MdB  @Annika Klose ",1736538151,DE,4,1198,47,45,7458374550621670166,"['wahl', 'spd', 'veränderung', 'plakat', 'bundestag', 'wahlen', 'wählen', 'sozialegerechtigkeit', 'bundestagswahl2025', 'btw2025']",spdberlin,,,
7458321701747641622,"16 Jahre CDU = Stillstand in Bildung und Forschung. Wir sagen: Schluss damit!   Ruppert Stüwe kämpft für Klimaschutz, medizinischen Fortschritt und Forschung, die uns alle betrifft – von Endometriose bis ME/CFS. Berlin zeigt, wie Zukunft geht!   Nach 16 Jahren Stillstand mit der CDU-geführten Bildungsministerium haben wir endlich umgesteuert – jetzt braucht es Kontinuität für echte Fortschritte. Deshalb am 23. Februar die SPD wählen! ✊   #BTW2025 #Bundestag #Bundestagswahl #Forschung #Fortschritt #Innovation #Klimaschutz #Endometriose #MECFS #Zukunft #SPD #SPDBerlin @Ruppert Stüwe, MdB ",1736525847,DE,2,1293,69,31,7458321689077762838,"['innovation', 'spd', 'zukunft', 'bundestag', 'fortschritt', 'bundestagswahl', 'forschung', 'klimaschutz', 'mecfs', 'endometriose', 'spdberlin', 'btw2025']",spdberlin,,,"ich stehe im Bundestag für Wissenschaft und Forschung. das starke Wissenschaft eine gute Zukunft bedeutet, kann der Bund in vielen stellen auch in Berlin lernen. hier wird an dieser guten Zukunft gearbeitet, beim Klimaschutz, beim medizinischen Fortschritt. da geht's nicht nur um Big Pharma, auch das machen wir in Berlin. aber es geht Mir vor Allen Dingen um Krankheiten wie Endometriose und mecfs. nach 16 Jahren CDU geführten bundesbildungsministerium haben wir da umgesteuert. wir haben gesagt, wir geben mehr Geld in diese Themen. auch das ist Mir wichtig, dass das im nächsten Bundestag weiter seinen Platz findet.
"
7458305073001680150,"Alexandra Wend, Direktkandidatin der SPD für Pankow, Prenzlauer Berg und Weißensee spricht Klartext: Leistungsgerechtigkeit bedeutet höhere Löhne, sichere Renten und eine gerechte Besteuerung von Vermögen und Erbschaften! Mehr für dich. Besser für Deutschland.  #Berlin #Pankow #Prenzlauerberg #Weißensee #Gerechtigkeit",1736521978,DE,3,2632,91,119,7458305066835987222,"['berlin', 'prenzlauerberg', 'gerechtigkeit', 'pankow', 'weißensee']",spdberlin,,,"warum also kandidieren? ich stehe für eine SPD, die sich behauptet und klar sagt leistungsgerechtigkeit erreichen wir nich, indem wir auf leistungsbezieher rumtrampeln. unser Kühlschrank wird nich voller, wenn andere Lehrer werden leistungsgerechtigkeit erreichen wir, indem wir für höhere löne Sorgen, sichere Renten und ganz wichtig, endlich für eine gerechte Besteuerung von Vermögen und Erbschaften. so buchstabiert man leistungsgerechtigkeit.
"
7457976243518967062,"„Sparen, bis es quietscht“ als Generationengerechtigkeit? Jung gegen Alt? Bullshit! Generationengerechtigkeit heißt nicht kaputte Schulen und kaputte Umwelt. Carmen Sinnokrot fordert Politik, die wirklich bei den Leuten ankommt: Schuldenbremse reformieren, Kommunen stärken, Vertrauen in die Demokratie zurückgewinnen. #BTW2025 #Bundestagswahl #Bundestag #Wahl #Wahlen #Wählen #Gerechtigkeit #Generationengerechtigkeit #Schule #Umwelt #Schuldenbremse #Kommunen #Demokratie #SPD #Berlin #SPDBerlin @Carmen ",1736445411,DE,2,2721,93,153,7457976237678218006,"['berlin', 'wahl', 'schule', 'spd', 'umwelt', 'demokratie', 'gerechtigkeit', 'bundestag', 'wahlen', 'kommunen', 'bundestagswahl', 'wählen', 'schuldenbremse', 'spdberlin', 'generationengerechtigkeit', 'btw2025']",spdberlin,,,"jede Stimme zählt und deshalb möchte ich, das ganz Berlin Nord, Südost und West 1 Ort ist, über den die Menschen sagen, hier werd ich gesehen, hier werd ich gehört, hier leb ich gerne. aber im Moment wird nicht jede Stimme gehört. wir haben eine Teilhabe Krise. weniger als die Hälfte der Armen und der Menschen mit prekern Einkommen findet, dass die Demokratie in Deutschland und großen und ganzen gut funktioniert und sie sehen für sich nicht die Möglichkeit, auf ihre Anliegen aufmerksam zu machen. das ist erschreckend und um das zu ändern, müssen wir Politik wieder erlebbar machen. es muss spürbar werden, dass sich etwas verbessert. und darum streite ich, für eine Reform der schultenbremse und dafür, dass auch die Kommunen endlich ordentlich ausfinanziert werden, damit sie finanzielle Spielräume haben, um vor der Haustür wirklich wirken zu können. denn da spüren es die Menschen. aber wir müssen auch deshalb in die Zukunft investieren, weil wir der jungen Generation einen funktionierenden Staat hinterlassen müssen konservative und Liberale, die erzählen uns, das sparen bis es quietscht, eine Frage der Generation Gerechtigkeit sei und dass wir nicht nur länger in jeder einzelnen Woche, sondern auch im ganzen Leben arbeiten müssten, damit die Rente sicher ist. dazu sag ich, Bullshit. nein, liebe genossen und genossen, mit uns kein ausspielen, alt gegen Jung.
"
7457933130528328982,"Schuldenbremse? Eher Zukunftsbremse! Julian Holter fordert eine Reform der Schuldenbremse: Investieren wir jetzt in Schulen, Straßen und Umwelt, statt kaputte Systeme an die nächste Generation weiterzugeben ☝️ #BTW2025 #Bundestagswahl #Bundestag #Wahl #Wahlen #Wählen #Schuldenbremse #Investitionen #Schule #Umwelt #Klimaschutz #Gerechtigkeit #Wirtschaft #SPD #Berlin #SPDBerlin",1736435375,DE,12,3481,98,262,7457933127948733207,"['berlin', 'wahl', 'schule', 'spd', 'umwelt', 'wirtschaft', 'gerechtigkeit', 'bundestag', 'wahlen', 'bundestagswahl', 'wählen', 'klimaschutz', 'investitionen', 'schuldenbremse', 'spdberlin', 'btw2025']",spdberlin,,,"wir sind eine Partei, die für aktive Wirtschaftspolitik steht. wir sind eine Partei, die das Leben der Menschen gestaltet und verbessert. und für alle, die meinen, es ist besser, jetzt Schulden aufzunehmen und zu investieren, statt unseren Kindern und Enkeln kaputte Schulen, kaputte Straßen und kaputte Umwelt zu unterlassen, für alle, die sich mehr Solidarität und Gemeinschaft wünschen, die sich konkrete Verbesserungen im Alltag wünschen, für all diese Menschen ist die SPD die richtige Wahl.
"
7457631517003484438,"Jan Zimmerling weiß, wie es ist, in einem System zu kämpfen, das mehr Hindernis als Hilfe ist. Deshalb tritt er in Lichtenberg an für: 💻 mehr Digitalisierung und künstliche Intelligenz in Ämtern und Behörden 🔑 mehr bezahlbares Wohnen 📚 besserer Zugang zu Kitas und Schulen 💉 gute Gesundheitsversorgung #BTW2025 #Bundestagswahl #Bundestag #Wahl #Wahlen #Berlin #SPD #SPDBerlin",1736365150,DE,0,618,46,26,7457631513961024278,"['berlin', 'wahl', 'spd', 'bundestag', 'wahlen', 'bundestagswahl', 'spdberlin', 'btw2025']",spdberlin,,,
7457594270891904278,Worin unterscheiden sich die Parteien im Wahlkampf? Lars Klingbeil und Michael Müller haben klargemacht: Es gibt große Unterschiede zwischen den Parteien. Von bezahlbarem Wohnen über sozial gerechten Klimaschutz bis hin zu einem höheren Mindestlohn – die SPD steht für klare Lösungen und eine starke Demokratie 💭 Deshalb am 23. Februar die SPD wählen! 🌹🫶 @larsklingbeil,1736356478,DE,7,3596,82,197,7457594278512954134,[],spdberlin,,,"moin, hier ist Lars. ich bin grad bei Michael Müller beim klingball im Gespräch. wir hatten 1 super Abend, ne spannende Diskussion. ich fands bemerkenswert, wie Lars klingball es auf n Punkt gebracht hat, dass es die großen Unterschiede zwischen den Parteien gibt. es ist nicht alles eine Soße. ich will bei der Bundestagswahl gewinnen. ich denke nicht über Platz 2 oder sonst was nach, sondern ich will kämpfen dafür, dass die Sozialdemokratie mit, mit all dem, was sie einbringt, mit den Ideen, mit dem Programm, mit den Personen, dass wir am Ende auf Platz 1 liegen. wer ist für 1. gewerbemietrecht? wer ist für die Mietpreisbremse? wer ist für höhere mindestlöhne? es ist die SPD und nicht die anderen. und dass das heute so deutlich geworden ist, das fand ich hervorragend und ich glaube es hat auch viele hier begeistert. bis zum 23.februar werden wir alles geben für ne starke SPD, dass wir unser Direktmandat von Michael Müller hier in Charlottenburg Wilmersdorf verteidigen und gemeinsam mit dir wollen wir kämpfen, diesen Wahlsieg zu erreichen.
"
7457227317140622614,"Die SPD steht für einen höheren Mindestlohn, faire Mieten und Perspektiven für alle. Wir kämpfen für ein Berlin, das zusammenhält – bist Du dabei? 🙌 #BTW2025 #SPD #Bundestag #Mindestlohn #Miete #Mieten #Zusammenhalt @Ruppert Stüwe, MdB  @Annika Klose ",1736271041,DE,4,1462,61,71,7457227347230837526,"['spd', 'zusammenhalt', 'miete', 'mieten', 'bundestag', 'mindestlohn', 'btw2025']",spdberlin,,,"die verteilungskämpfe in dieser Gesellschaft sind nicht zwischen alt eingesessen und zugezogen, sondern sie sind zwischen Arm und Reich. es muss darum gehen, dass die Ressourcen dieser Gesellschaft fair verteilt sind und das ist aktuell überhaupt nicht der Fall. das bedeutet bezahlbare mieten. das heißt aber auch, dass am Ende wir gute löne haben, zum Beispiel durch ne Erhöhung des mindestlohens auf 15 Euro und durch n Tarif Treue Gesetz, weil das ist die Beschäftigung, die die besten arbeitsbelegungen bietet für diejenigen, die wirklich hart arbeiten müssen. manche Kräfte in dieser Gesellschaft tun so, als sei die Migration das Problem. wir sehen so, Migration ist eine Bereicherung für diese Gesellschaft. sie macht Berlin auch Aus und lebenswert. wir müssen investieren in diese Stadt, in die Menschen hier, in Perspektiven, damit das Zusammenleben auch funktioniert. dafür lassen wir uns nicht gegeneinander ausspielen, sondern müssen alle zusammen anpacken und genau dafür kämpfen.
"
7457137117035007254,"Die SPD steht für einen höheren Mindestlohn, faire Mieten und Perspektiven für alle. Wir kämpfen für ein Berlin, das zusammenhält – bist du dabei? 🙌   #BTW2025 #SPD #Bundestag #Mindestlohn #Miete #Mieten #Zusammenhalt @Ruppert Stüwe, MdB @Annika Klose ",1736250042,DE,5,3071,96,179,7457137130574301974,"['spd', 'zusammenhalt', 'miete', 'mieten', 'bundestag', 'mindestlohn', 'btw2025']",spdberlin,,,"CDU oder SPD? Olaf Scholz oder Friedrich März? wer wird das Land in Zukunft gestalten? bei dieser Wahl am 23.februar geht es um alles. wir kämpfen für eine starke SPD im Bund und dass wir diese Bundestagswahl wieder gewinnen. und hier in Berlin wird es besonders deutlich beim Thema mieten und wohnen mit einem Mietendeckel auf Bundesebene. das ist die Investition in gute Arbeitsplätze. das sind aber auch natürlich tariftreuegesetz und Mindestlohn anpassen, die Kindergrundsicherung, eine Rente, die am Ende auch zum Leben reicht. der Kontrast zur CDU könnte da nicht größer sein. die haben zum Spitzenkandidaten ihren Vermieter, Lobbyisten gemacht, der am Ende auch vor dem Bundesverfassungsgericht zum Beispiel gegen den Mietendeckel geklagt hat.
"
7455318081477397792,"Ein frohes neues Jahr! 🎆✨ Nicola Böcker-Giannini wünscht allen Berliner*innen ein gesundes und glückliches 2025! Dieses Jahr steht eine wichtige Richtungsentscheidung an: Am 23. Februar kämpfen wir darum, soziale Gerechtigkeit, gute Arbeit, bezahlbares Wohnen und eine leistungsstarke Wirtschaft für alle zu sichern 💪 Es braucht eine starke SPD im Bundestag, um die Zukunft unseres Landes sozial gerecht zu gestalten. Jetzt heißt es: Ärmel hoch, Mütze auf und ab in den Winterwahlkampf! ❄️🔥 Seid ihr dabei? Gemeinsam schaffen wir ein gerechteres Morgen! ❤️",1735826515,DE,2,2777,57,154,7455318118936677153,[],spdberlin,,,
7462081048021716246,"Für die, die jeden Tag alles geben: Unser Programm steht für bessere Löhne, weniger Steuern und mehr Respekt für die arbeitende Mitte in Deutschland. Was bedeutet mehr Respekt für dich? #Lohn #Löhne #Steuern #Respekt #Arbeit #Mitte #Programm #SPDProgramm #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1737401138,DE,18,15579,172,635,7462081070276545302,"['berlin', 'arbeit', 'respekt', 'spd', 'mitte', 'programm', 'lohn', 'steuern', 'bundestag', 'bundestagswahl', 'löhne', 'mehrfürdich', 'btw2025', 'spdprogramm']",spdberlin,,,"und ich bin froh darüber, dass wir 1 Programm geschrieben haben, bei dem wir 1 deutlich machen, für die fleißigen in diesem Land muss jetzt mehr drin sein. es geht darum, dass Menschen, die was leisten in diesem Land, dass die mehr Geld in der Tasche haben. wir haben 1 Programm geschrieben, bei dem es um mehr Löhne, um bessere Löhne, um weniger Steuern auf Einkommen und um weniger Steuern auf Lebensmittel geht. und um mehr Respekt für die arbeitende Mitte in diesem Land und um mehr Geld.
"
7462047357811674390,"Warum jetzt ein guter Zeitpunkt ist, in die SPD einzutreten?   Wir waren beim Neumitgliedertreffen der Berliner SPD im Willy-Brandt-Haus und haben uns umgehört, warum in den letzten Wochen so viele Menschen der SPD beigetreten sind. Ein Grund, der immer wieder genannt wurde: Der Einsatz für die Rechte von Arbeitnehmer*innen und mehr soziale Gerechtigkeit.   Wenn dir diese Themen auch wichtig sind, dann ist jetzt der richtige Moment, dich zu engagieren und Teil der SPD zu werden! #SPD #Berlin #SozialeGerechtigkeit #Politik #Zukunft #Gestalten",1737393295,DE,0,4940,120,122,7462047367622150934,"['berlin', 'spd', 'zukunft', 'politik', 'gestalten', 'sozialegerechtigkeit']",spdberlin,,,"ich würde gerne einmal von dir wissen, was hat dich dazu bewegt zur SPD zu gehen? mich hat schon immer bewegt für Arbeiter in rechte einzustehen und auch Frauenrechte zu stärken. ich wollt einfach auch mehr so soziale Gerechtigkeit mehr in Vordergrund bringen und das auch in der Welt. deshalb hab ich in die SPD eingetreten. hast du vielleicht noch 3 Schlagworte für mich für was die SPD steht? soziale Gerechtigkeit Frieden und Wohlstand für alle.
"
7461706088619019522,"Jetzt ist die Zeit, die Weichen für die Zukunft zu stellen – mit gezielten Investitionen, die unser Land stärken und fit für die kommenden Herausforderungen machen 💪 #Schuldenbremse #Investition #Invesitition #Infrastruktur #Moderniserung  #Reform #Kitas #Schulen #Bahn #Bundeswehr #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1737313835,DE,19,18241,456,813,7461706096355560214,"['berlin', 'bahn', 'spd', 'bundeswehr', 'kitas', 'reform', 'schulen', 'bundestag', 'bundestagswahl', 'infrastruktur', 'investition', 'mehrfürdich', 'schuldenbremse', 'btw2025', 'moderniserung', 'invesitition']",spdberlin,,,"meine feste Überzeugung Deutschland kann dann 1. starkes Land bleiben, wenn wir noch mehr investieren, als das heute der Fall ist. Investitionen in verlässliche Kitas sind Schulen, Investition, dass die Bahn endlich wieder pünktlich kommt und auch mehr Investitionen in die Bundeswehr.
"
7461675446783069462,"Straßen, Schienen, Kitas, Energie – Deutschland braucht eine starke Infrastruktur. Und zwar jetzt! Wie siehst du das? 👇 #Schuldenbremse #Reform #Infrastruktur #Zukunft #Wirtschaft #Straßen #Schienen #DeutscheBahn #Bahn #Kitas #Kindergarten #Schule #Digitalisierung #Energie #Wirtschaft #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1737306702,DE,20,14654,641,295,7461675442904304406,"['berlin', 'bahn', 'kindergarten', 'energie', 'schule', 'spd', 'zukunft', 'deutschebahn', 'kitas', 'reform', 'straßen', 'wirtschaft', 'schienen', 'bundestag', 'bundestagswahl', 'infrastruktur', 'digitalisierung', 'mehrfürdich', 'schuldenbremse', 'btw2025']",spdberlin,,,"deshalb ist jetzt gerade nicht die Zeit für Stillstand und für sozialabbau. jetzt ist die Zeit für kraftvolle Investitionen. überall in den ganz normalen Städten und Dörfern in Deutschland Straßen Schienen, verlässliche Kitas, bezahlbare Energie. das brauchen wir in Deutschland. und das brauchen wir nicht irgendwann. das brauchen wir jetzt.
"
7461335201348603158,Mehr Sicherheit im Alter: Wir garantieren stabile Renten und sagen ganz klar – das Renteneintrittsalter wird nicht erhöht. Was bedeutet das für dich? Schreib’s in die Kommentare! 👇 #MehrFürDich #BTW2025 #Bundestagswahl #Rente #SPD,1737227481,DE,3,2070,93,35,7461335205438278422,"['spd', 'rente', 'bundestagswahl', 'mehrfürdich', 'btw2025']",spdberlin,,,
7461315560609942806,"Wer hier lebt, arbeitet und deutsch spricht, soll zu unserem Land gehören können – und mitbestimmen dürfen. Mit dem neuen Staatsangehörigkeitsrecht schaffen wir echte Teilhabe und fördern den Zusammenhalt in unserer Gesellschaft. Was denkst du? 👇 #Mitbestimmung #Integration #Staatsangehörigkeit #Staatsbürgerschaft #Teilhabe #Zusammenhalt #Gemeinschaft #Miteinander #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1737222908,DE,2368,948440,38769,4694,7461315564599479062,"['berlin', 'integration', 'spd', 'zusammenhalt', 'miteinander', 'gemeinschaft', 'bundestag', 'bundestagswahl', 'staatsbürgerschaft', 'staatsangehörigkeit', 'teilhabe', 'mitbestimmung', 'mehrfürdich', 'btw2025']",spdberlin,,,
7461183494580948246,Es macht einen Unterschied: Bei der SPD ist mehr für Dich drin. CDU entlastet nur Miiionäre. ,1737192162,DE,3,2067,52,8,7265977955342649346,[],spdberlin,,,
7460964066488503574,"Mehr für Familien: Verlässliche Kitas und Schulen sind unser Ziel. Und das Schulmittagessen wird kostenfrei – das heißt mehr Geld im Geldbeutel und weniger Sorgen im Alltag. Sag uns, wie du das findest! 👇 #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Familien",1737141071,DE,5,3034,69,105,7460964082628299543,"['familien', 'spd', 'bundestag', 'bundestagswahl', 'mehrfürdich', 'btw2025']",spdberlin,,,"wir brauchen jetzt eine bessere Politik für die Familien, eine verlässliche Betreuung in den Kitas und den Schulen. und wir werden das schulmittagessen kostenfrei machen. auch das führt dazu, dass mehr Geld im Geldbeutel der Eltern ist, weil es jetzt Zeit ist, dass mehr für dich drin ist.
"
7460932963019099414,"Wir wollen eine Fachkräfteoffensive für Kitas und Schulen starten – verbindlich vereinbart zwischen allen Bundesländern. Das heißt: Mehr Betreuungsplätze, bessere Betreuung und echte Entlastung für Familien. #Fachkräfte #Kita #Kindergarten #Schule #Betreuung #Entlastung #Familie #Familien #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1737133829,DE,20,13220,511,164,7460932963342027542,"['berlin', 'familie', 'kindergarten', 'kita', 'schule', 'familien', 'spd', 'bundestag', 'betreuung', 'bundestagswahl', 'fachkräfte', 'entlastung', 'mehrfürdich', 'btw2025']",spdberlin,,,"die hohe teilzeitquote haben wir, weil viele Frauen weniger arbeiten, als sie gerne arbeiten möchten. weil Junge Eltern in Deutschland oft einfach nicht wissen, wohin mit den Kindern. weil immer noch betreuungsplätze fehlen und ganztagsschulen Ergebnis einer über Jahrzehnte komplett gescheiterten Familien und Gesellschaftspolitik der Union. die Altlasten der CDU Familienpolitik sind immer noch nicht abgetragen. das wird schon klar, wenn der Oppositionsführer zum Beispiel sagt, man tut den Frauen damit keinen gefallen, wenn man sie nur der Quote wegen ins Amt hebt. was für 1 Satz!
"
7460594229966900502,"Willkommen im Team SPD, Sebastian Schlüsselburg! 🥳 #Neumitglied #Willkommen #HerzlichWillkommen #Welcome #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1737054961,DE,1,2266,96,67,7460594210985102102,"['berlin', 'welcome', 'willkommen', 'spd', 'herzlichwillkommen', 'bundestag', 'bundestagswahl', 'mehrfürdich', 'btw2025', 'neumitglied']",spdberlin,,,"Sebastian schlüsselburg ist ausgewiesene haushaltexperte. da möchte ich die sozialdemokratische Sache voranbringen. Haushaltspolitik ist kein Selbstläufer, sondern das ist in Zahlen gegossene Politik. da müssen wir besser werden, um für die normalen Leute in den das beste rauszuholen. das ist sicherlich für den Osten spannend, weil wir da als Partei natürlich neben unseren vielen genossen und genossen, die da schon aktiv sind, auch weitere kompetente Menschen brauchen, die die Politik da voranbringen. das sind Dinge, die wir als SPD auch für den kommenden Wahlkampf gut gebrauchen können. und.
"
7460564894677585174,"Union: Keine Lohnfortzahlung am ersten Krankheitstag? Olaf Scholz sagt: Das ist respektlos und absurd! Wir als SPD verteidigen gute Arbeit, Respekt und die Errungenschaften unseres Sozialstaates – für dich und alle Beschäftigten. Was sagst du dazu? Schreib’s in die Kommentare! 👇 #Lohn #Arbeit #Respekt #SozialeGerechtigkeit #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1737048131,DE,3,1622,98,17,7460564895848188694,"['berlin', 'arbeit', 'respekt', 'spd', 'lohn', 'bundestag', 'bundestagswahl', 'sozialegerechtigkeit', 'mehrfürdich', 'btw2025']",spdberlin,,,"kleine Leute, heißt es dann immer so 1 bisschen von oben herab, wir müssen alle mehr arbeiten, sagt der Oppositionsführer. Wen meint er überhaupt? dazu passt diese unsinnige karenztagsidee, die gerade wieder herumgeistert Arbeitnehmer, die krank sind, sollen am 1. krankheitstag keinen Lohn mehr kriegen. was für eine absurde Idee.
"
7460533884845837590,"Die Angriffe auf unsere Demokratie nehmen zu: verbal, politisch und physisch. Doch wir stehen geschlossen gegen Hass und Gewalt. Solidarität ist stärker als Hetze!   #MehrFürDich #BTW2025 #Scholz #SPD #Bundestagswahl #Bundestag",1737040910,DE,18,18050,727,190,7460533867599645462,"['spd', 'bundestag', 'scholz', 'bundestagswahl', 'mehrfürdich', 'btw2025']",spdberlin,,,"ihr habt es mitbekommen, die Koalitionsverhandlung dort nach der Wahl im Herbst waren schwierig. unsere Schwesterpartei spö hat mit der ÖVP gerungen, den österreichischen christdemokraten und dann sind die ÖVP Vertreter aufgestanden und rausgegangen. und jetzt will die ÖVP 1 Politiker zum Bundeskanzler wählen. der ist, man kann das nicht Anders sagen, 1 extremer rechter. der Fall zeigt, es ist Ernst. es ist eine verdammt ernste Zeit, eine Zeit in der Dinge passieren, die hätte noch vor 1 paar Jahren, vielleicht sogar vor 1 paar Monaten oder gar Wochen niemand für möglich gehalten. und es ist auch eine Zeit der enthemmung, eine Zeit, in der dann hier in Deutschland wahlkämpferinnen und Wahlkämpfer demokratischer Parteien von Rechtsextremisten angegriffen und verletzt werden. ganz aktuell hier in Berlin. wir, wir werden das nicht dulden. wir sind solidarisch mit denjenigen, die für unser Land und für unsere Freiheit einstehen.
"
7460229047876996374,"Mehr für dich: 95 % der arbeitenden Menschen bekommen mit unserer Steuerreform mehr Geld in die Tasche. Und die Lebensmittel-Mehrwertsteuer senken wir von 7 % auf 5 %. Sag uns, was du davon hältst! 👇 #MehrFürDich #BTW2025 #Bundestagswahl #Bundestag #SPD #Berlin",1736969936,DE,3,7085,87,309,7460229057558661910,"['berlin', 'spd', 'bundestag', 'bundestagswahl', 'mehrfürdich', 'btw2025']",spdberlin,,,"und wir werden dafür sorgen, dass Menschen, die hart arbeiten in den kleinen und mittleren Jobs, dass die spürbar entlastet werden. deswegen machen wir eine einkommensteuere Form und 95 Prozent der arbeitenden Menschen werden mehr Geld in der Tasche haben. und durch die Senkung der Mehrwertsteuer auf Lebensmittel von 7 auf 5 Prozent Sorgen wir auch dafür, dass es mehr Geld im Geldbeutel gibt, weil es jetzt Zeit ist, dass mehr für dich drin ist.
"
7460163044728114434,Der Wahlkampf startet – und wir machen es anders: neugierig? Erfahre mehr auf http://link.spd.berlin/BALh50UGfAt. #MehrFürDich #BTW2025 #Bundestagswahl #Mindestlohn #SPD #Gerechtigkeit,1736954570,DE,3,1681,125,19,7460163043834579734,"['spd', 'gerechtigkeit', 'mindestlohn', 'bundestagswahl', 'mehrfürdich', 'btw2025']",spdberlin,,,
