text,video_id,create_time,id,like_count,parent_comment_id,reply_count
Gut und was ist mit den syrischen Bürgern die hier noch nie gearbeitet haben und somit auch keinen Beitrag leisten sollen wir die weiter durchfüttern ?,7457117400761175318,1736248142,7457128838692537110,2,7457117400761175318,0
Schönredner,7457117400761175318,1736246640,7457122396542796566,2,7457117400761175318,0
😂🤣wer soll das noch glauben die Bürger haben Augen im Kopf.......ich kenne keinen einzigen der hier arbeitet😳,7457117400761175318,1736246081,7457119960654496545,2,7457117400761175318,11
"Herr Audretsch, wenn sie auch nur ein Fünkchen Anstand haben, geben Sie Ihren Listenplatz nun zurück ja ? Aber Grüne kennen wohl keine Moral oder wie ?",7457117400761175318,1737376517,7461974935403348758,1,7457117400761175318,0
Ein Drittel arbeiten hier nicht und werden von Steuergeldern finanziert !,7457117400761175318,1736265280,7457202538773840662,1,7457117400761175318,0
"So ist das!!
#TeamHabeck #TeamRobert #Habeck4Kanzler #HabeckEffekt 💪🌻💚",7457117400761175318,1736259300,7457176797328917270,1,7457117400761175318,0
"Wer es neun Jahre hier aushält, ohne zu fliehen, hat es sich redlich verdient, hier zu leben.",7457117400761175318,1736249783,7457135948975981334,1,7457117400761175318,0
"In welcher Firrma sollen die denn alle arbeiten ??;Ich kenne keinen,sehe die nur in Gruppen auf der Straße rumlungern!! Wo gibt es diese Zahlen ???",7457117400761175318,1736248195,7457129126726566678,1,7457117400761175318,0
Was sagen Sie zu Herrn gelbhaar? Wieso gibt es immer Skandale im engeren Kreis von habeck? Und so einer will Kanzler werden!,7457117400761175318,1737295557,7461627433297773314,0,7457117400761175318,0
Die grünen lügen sobald der Mund aufgeht,7457117400761175318,1736337544,7457512878044889888,0,7457117400761175318,0
"Ich habe in einem Monat mit erzieher_samuel 80.000 € verdient! Wenn du auch so erfolgreich sein willst, such nach 'Erzieher_Samuel' hier und folge ihm!",7457117400761175318,1736262802,7457191877813666565,0,7457117400761175318,0
Die Arbeiten will auch keiner zurück schicken,7457117400761175318,1736253856,7457153404026143510,0,7457117400761175318,0
Kannst du die Zahlen beweisen?,7457117400761175318,1736249426,7457134401517191958,0,7457117400761175318,0
Wo sind denn die ganzen Steuereinahmen😳,7455350730837216534,1735836529,7455361059822650134,9,7455350730837216534,3
Warum verschenkt ihr dann so viel Geld ins Ausland?,7455350730837216534,1735836691,7455361766743769879,4,7455350730837216534,4
alt Regierung unwählbar,7455350730837216534,1735838570,7455369840631595798,3,7455350730837216534,0
Weniger Geld ins Ausland=Mehr Geld für DEUTSCHLAND und seine Infrastruktur,7455350730837216534,1735834932,7455354155575886614,3,7455350730837216534,6
nie wieder grün,7455350730837216534,1735842225,7455385488855696150,2,7455350730837216534,0
"Dann schenkt nichts das Geld ins Ausland. Das Geld ist auch von unseren Steuern. , folglich für Deutschland. Ihr Grünen Schwätzer",7455350730837216534,1735839154,7455372326769181462,2,7455350730837216534,0
Investition Fonds ?bestimmt von dem ersparten der kleinen Sparer,7455350730837216534,1735837089,7455363463062668054,2,7455350730837216534,1
Grün? Nein danke!,7455350730837216534,1735834787,7455353557119992608,2,7455350730837216534,1
Zinsen müssen sicher auch nicht gezahlt werden ?,7455350730837216534,1735893356,7455605068701254422,1,7455350730837216534,0
"Ja ,hättet ihr das Geld nicht ins Ausland geschafft ,dann wäre genug Geld vorhanden.
Habt 3 Jahre Zeit gehabt, jetzt ist vorbei.
Nie wieder Grün!!",7455350730837216534,1735835466,7455356482562376470,1,7455350730837216534,2
57 Mrd Kosten durch Alkoholmissbrauch jährlich. Da könnte man ja mal anfangen. Warum kein Wort darüber im Programm?,7455350730837216534,1735834800,7455353605259166466,1,7455350730837216534,1
Grüne - die Partei ohne rückrad . nichtmaö klimaschutz zieht ihr konsequent durch,7455350730837216534,1737222029,7461311653515248406,0,7455350730837216534,0
größte eierpfeile .,7455350730837216534,1737221918,7461311078896616214,0,7455350730837216534,0
"Ein grüner Schwachmat rechtfertigt Bürgergeldempfänger und fordert höhere Löhne – ignoriert dabei jedoch, dass dies Kosten treibt und die Inflation be",7455350730837216534,1736085626,7456430880036373280,0,7455350730837216534,0
"2023 gab es 1 Billion € Steuereinnahmen, wo ist das Geld hingeflossen?
welche Investitionen in die Infrastruktur, Bildung und Wirtschaft wurden getätigt?
andreas.audretsch",7455350730837216534,1736009989,7456106044457976598,0,7455350730837216534,0
"Wer heute Morgen Herrn Audretsch in den WELT-Nachrichten gehört hat, musste sich fühlen wie in einer Comedy – wäre es nur nicht so traurig. Zuviel Lüg",7455350730837216534,1735984532,7455996666803372833,0,7455350730837216534,0
💚Habeck4Kanzler💚,7455350730837216534,1735895954,7455616238955315990,0,7455350730837216534,0
Grün unglaubwürdig unehrlich unwählbar,7455350730837216534,1735894840,7455611399647347478,0,7455350730837216534,0
"Kein Geld ins Ausland, weniger Umverteilung, weniger für grüne Subventionen.
Wenn fremde Kriege aber wichtiger sind als deutsche Schulen, dann reicht es eben für Schulen nicht.",7455350730837216534,1735852348,7455429000350499606,0,7455350730837216534,0
Geld in alle Welt schicken und für deutsche nationale Interessen Schulden machen. genau mein Humor,7455350730837216534,1735851144,7455423802841056022,0,7455350730837216534,0
Und wer zahlt die Schulden dann zurück ? Die grünen oder unsere Kinder und Enkel ?,7455350730837216534,1735848413,7455412077827949334,0,7455350730837216534,3
Bla bla bla niemals Grün 😡😡😡😡😡😡😡,7455350730837216534,1735843335,7455390300438397718,0,7455350730837216534,0
"Sie waren das doch,sie haben gesagt alle die kommen dürfen in unser sozialsystem das war noch nie da..das ist das Resultat",7455350730837216534,1735837020,7455363174901089046,0,7455350730837216534,5
Support Kommentar gegen die AFD Fünf Wörter für den Algorithmus,7472755403626007830,1739888186,7472762664689533698,2,7472755403626007830,0
💚💚💚,7472755403626007830,1739897477,7472802551819698966,1,7472755403626007830,0
🥰🥰🥰,7472755403626007830,1739897474,7472802529208156950,1,7472755403626007830,0
💚💚💚,7472755403626007830,1739887407,7472759306494001942,1,7472755403626007830,0
Erneut nur Geschwafel heute bei Hart aber Fair. Zum Glück sind die Grünen Dilettanten abgewählt!,7472755403626007830,1740428993,7475085463654695702,0,7472755403626007830,1
Das habe die drei Jahre nicht gemacht also weiter so😂😂😂😂😂,7472755403626007830,1740115205,7473737137948803862,0,7472755403626007830,0
Philipp Amthor mit leerem Blick. So kennt man ihn. 😂,7472755403626007830,1739970688,7473117023884346134,2,7472755403626007830,0
Sozialismus funktioniert nicht,7472755403626007830,1739891318,7472776128211223318,0,7472755403626007830,1
"Klar die Grünen haben für alles eine Idee, sieht man an den Energiekosten die Spinner",7472755403626007830,1739889519,7472768433588044566,0,7472755403626007830,0
Es ist Geisteskrank 😂😂,7472755403626007830,1739888884,7472765653601256215,0,7472755403626007830,0
mietpreisebremse bringt nichts haben wir in der DDR gesehen,7472755403626007830,1739888694,7472764827200570134,0,7472755403626007830,6
Die einzige wirkliche Heizungsverbot hat die CDU 2019 beschlossen! Ohne Habeck hätte jeder seine nach 1990 installierte (auch funktionierende) Heizung nach 30Jahren ohne Förderung erneuern müssen!,7472292552587201814,1739784425,7472316900083548950,682,7472292552587201814,8
Das Gesetzt stammt von der CDU! Habeck hat es entschärft und die Förderungen erhöht.,7472292552587201814,1739788514,7472334559183979286,668,7472292552587201814,1
FAKTISCH ist das Gebäudeenergiegesetz auf den Mist der Union gewachsen und wurde von den Grünen unter Habeck entschärft,7472292552587201814,1739814032,7472444221887922966,595,7472292552587201814,11
Kann der Junge Mann nicht vielleicht den Kanzler machen? Himmel ist der Merz überlegen,7472292552587201814,1739800245,7472384991981749014,330,7472292552587201814,2
Merz blamiert sich mal wieder 😳 mit Populismus kommt er bei klugen Mitbürgern nicht weiter,7472292552587201814,1739810330,7472428288020595478,327,7472292552587201814,2
Zumal Harbeck das Gesetz noch abgemeldet hat. Das Gebäudeenergiegesetz kommt maßgeblich von der CDU!,7472292552587201814,1739782980,7472310747595883286,114,7472292552587201814,4
Fakktisch mag ich Friedrich Merz nicht.,7472292552587201814,1739834824,7472533345441809174,93,7472292552587201814,0
