text,video_id,create_time,id,like_count,parent_comment_id,reply_count
Rheinland Pfalz ist blau💙,7457124372709526806,1736252188,7457146277621924630,3,7457124372709526806,1
Ne danke….CDU hat fertig .,7457124372709526806,1736247628,7457126617103909654,3,7457124372709526806,0
Deshalb nur noch AfD. 👍👍👍,7457124372709526806,1736449342,7457993081494143766,1,7457124372709526806,0
CDU / CSU >> Nö 😂😂 💙💙,7457124372709526806,1736257035,7457167112591950614,1,7457124372709526806,0
Ohne CDU wäre Deutschland heute nicht wie es ist. Nur noch 💙💙💙💙💙,7457124372709526806,1737745540,7463560023807361814,0,7457124372709526806,0
💙💙💙💯💯💯💙💙💙👍👍👍 es könnte doppelt so viel sein wenn ihr die Steuergelder nicht in alle Welt verteilt .,7457124372709526806,1736631176,7458773832997651222,0,7457124372709526806,0
Dafür investiert ihr unser Geld in die Migranten. Hoffentlich gibt es da ne gute Rendite.,7457124372709526806,1736257327,7457168320105251607,0,7457124372709526806,0
Warum wird Carsten Linnemann für seine Forderungen eigentlich einfach unkommentiert in der Partei gelassen?,7457124372709526806,1736254944,7457158110500406038,0,7457124372709526806,0
CDU ist die zweite nsdap nach den Aussagen einiger Politiker eurer Partei,7457124372709526806,1736254659,7457156909615956758,0,7457124372709526806,0
💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙👍👍👍👍👍👍👍👍👍👍👍👍,7455724686282951958,1735924633,7455739474253988630,1,7455724686282951958,1
Deshalb 💚💚 wählen!!,7455724686282951958,1735922107,7455728615020528406,1,7455724686282951958,0
Nur noch 💙💙💙💙💙💙💙,7455724686282951958,1737745563,7463560109262095126,0,7455724686282951958,0
Deshalb nur noch AfD. 👍👍👍,7455724686282951958,1736458659,7458033105882989334,0,7455724686282951958,0
Die Altparteien gehören allesamt wegen Hochverrat vor Gericht gestellt,7455724686282951958,1736141733,7456671669400044310,0,7455724686282951958,0
CDU Versager Lügenpack Heuchler Demokratie Feinde nicht wählbar...AFD wählen und Deutschland retten 🇩🇪 🇩🇪 🇩🇪,7455724686282951958,1736103124,7456506062323499798,0,7455724686282951958,0
Abrechnung Abstrafung Abschiebung 23 Februar 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,7455724686282951958,1735979682,7455975825810129686,0,7455724686282951958,0
😂😂😂,7455724686282951958,1735978906,7455972484086530838,0,7455724686282951958,0
💙💙💙💙💙💙💙💪,7455724686282951958,1735944209,7455823492254319382,0,7455724686282951958,0
Die Altparteien sind in Deutschland nicht mehr erwünscht! ! ! ! Wann versteht ihr es endlich????,7455724686282951958,1735936120,7455788772423303959,0,7455724686282951958,0
Das verspricht alle was macht ihr das der Krieg aufhören,7455724686282951958,1735935411,7455785747619709718,0,7455724686282951958,0
