like_count,parent_comment_id,reply_count,text,video_id,create_time,id
14,7460103138121387296,0,damit jedes Kind eine Warme Mahlzeit hat. und deshalb die Linke!,7460103138121387296,1737113411,7460844916165313302
6,7460103138121387296,1,"╔════༺❀༻❤️༺❀༻════╗
*🚩🌾❤️🖤✲Linke2025✲🖤❤️🌾🚩*
╚════༺❀༻❤️༺❀༻════╝",7460103138121387296,1737187459,7461162996590134038
5,7460103138121387296,0,"Wer linke Politik will, macht dann bitte konsequent die Kreuze links. Für eine starke Linke im Bundestag. 💪🥰",7460103138121387296,1737410102,7462119230311760662
3,7460103138121387296,0,❤️❤️❤️,7460103138121387296,1737152017,7461010756571988758
2,7460103138121387296,0,🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷,7460103138121387296,1740616648,7475890881096467222
2,7460103138121387296,0,:🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷🩷,7460103138121387296,1738622485,7467326346697736982
1,7460103138121387296,0,🥰🥰🥰,7460103138121387296,1741329247,7478952073162326806
1,7460103138121387296,0,❤️❤️❤️,7460103138121387296,1737621524,7463027161936380694
1,7460103138121387296,0,❤️,7460103138121387296,1737218002,7461294233734284034
0,7460103138121387296,0,👍,7460103138121387296,1739421207,7470755974871483158
0,7460103138121387296,0,"schöne Grüße aus Thüringen 👍
geiles Programm, geiler Vibe und klare Kante 👍
deshalb nach der Ampel links ✊
#dieLinkewaehlen
#beideStimmenfuerdieLinke🩷🩷",7460103138121387296,1739305826,7470261496594416406
0,7460103138121387296,0,🚩🏴✊🏼,7460103138121387296,1739103528,7469392635468464918
0,7460103138121387296,0,🥰🥰🥰🥰🥰,7460103138121387296,1738622488,7467326437084480278
2,7465303439631732001,0,Exakt das sind die bressierenden Themen unserer Zeit!,7465303439631732001,1738152371,7465307369548268310
1,7465303439631732001,0,"╔════༺❀༻💗༺❀༻════╗
*🚩🌾❤️💗✲Linke2025✲💗❤️🌾🚩*
╚════༺❀༻💗༺❀༻════╝",7465303439631732001,1738278482,7465848821676901142
0,7465303439631732001,0,Merz verhindern / Linke wählen 🩷🩷🩷 7%+ Stand 14.02.2025 🩷🩷🩷 checken alle dass die Linke das beste Wahlprogramm hat.,7465303439631732001,1739538517,7471260774692176662
0,7465303439631732001,0,"Annabell ist einfach so engagiert und wird bestimmt in zwölf Jahren Bundeskanzlerin🚩🚩🚩
Am 23.02 wird die Linke gewählte🩷🩷
Solidarität und Gerechtigkeit #nurmitlinks",7465303439631732001,1739531868,7471232202807902998
0,7465303439631732001,0,"╔════༺❀༻❤️༺❀༻════╗
*🚩🤝❤️🖤✲Linke2025✲🖤❤️🤝🚩*
╚════༺❀༻❤️༺❀༻════╝",7465303439631732001,1738190920,7465472747386733334
0,7465303439631732001,0,Meine Stimmen habt ihr! Für eine starke Linke im Bundestag 💪🥰,7465303439631732001,1738178783,7465420826010977026
0,7465303439631732001,1,muss ich unbedingt verpassen,7465303439631732001,1738151899,7465305240981947158
9,7463451738599722273,1,Bro literally vor einer Stunde der Partei beigetreten und jetzt fangen die atzen in Brandenburg an zu tweaken,7463451738599722273,1737720975,7463454473244951318
2,7463451738599722273,0,o7,7463451738599722273,1737722952,7463462955306255126
2,7463451738599722273,0,😂alter wie random die Linken nun sowas macht haha,7463451738599722273,1737721170,7463455389766615830
0,7463451738599722273,0,Mit Minecraftletsplay im Hintergrund. 😂😂 Wann gründet sich ne BAG Online Gaming. Valve und Ubisoft enteignen jetzt !,7463451738599722273,1737729211,7463489954535228182
1,7463420200151485729,0,Omg hahaha,7463420200151485729,1737716980,7463437308336325398
1,7463420200151485729,0,Yessss🩷🩷💪🏻💥🔥🔥🔥,7463420200151485729,1737715361,7463430232776917782
1,7463420200151485729,0,Wir sind so back❤️🖤,7463420200151485729,1737713088,7463420606726521622
0,7463420200151485729,0,gestern der Linksjugend beigetreten🙃,7463420200151485729,1739438612,7470831581428761366
1,7463420200151485729,0,Liebe es!,7463420200151485729,1737753015,7463592175126528790
6,7462679881554332961,0,Deswegen am 23.2 links wählen,7462679881554332961,1737540814,7462680609543586582
2,7462679881554332961,0,Nach der Ampel LINKS,7462679881554332961,1737605048,7462955333406212886
0,7462679881554332961,0,"Eure Spots werden immer besser 🥰 ich, als 60 jähriger fühle mich in Eckernförde als alt bei den Linken , und das ist gut so 🥰",7462679881554332961,1739360967,7470498186614194966
162,7468647868325268769,2,Die Linke! ❤️,7468647868325268769,1738995669,7468929032731067158
111,7468647868325268769,1,"╔════༺❀༻❤️༺❀༻════╗
*🚩❤️🖤✲Linke 2025✲🖤❤️🚩*
╚════༺❀༻❤️༺❀༻════╝",7468647868325268769,1738935875,7468672475564720918
78,7468647868325268769,26,Verstehe nicht wie man die nicht wählen kann. Haben manche zu viel Angst mal was anderes auszuprobieren,7468647868325268769,1739044576,7469139386145538838
76,7468647868325268769,1,So ist das.,7468647868325268769,1738930973,7468651408624616214
37,7468647868325268769,1,Ihr seit super aber ihr müsst die ältere Bevölkerung mehr erreichen 😊💗,7468647868325268769,1739025279,7469056460187763478
30,7468647868325268769,1,🩷🩷🩷🩷🩷🩷🩷,7468647868325268769,1739001626,7468954898764202774
31,7468647868325268769,2,"╔════༺❀༻🩷༺❀༻════╗
*🚩🌾🩷💗✲Linke2025✲💗🩷🌾🚩*
╚════༺❀༻🩷༺❀༻════╝",7468647868325268769,1738999176,7468944298722296598
28,7468647868325268769,0,"Sehr schön erklärt, danke!",7468647868325268769,1739026339,7469061050513310486
25,7468647868325268769,1,"╔════༺❀༻🩷༺❀༻════╗
💕💕🩷💕✲Linke2025✲💕🩷💕💕
╚════༺❀༻🩷༺❀༻════╝",7468647868325268769,1739000076,7468948103002866454
23,7468647868325268769,1,Nur die Linke 🥰🥰🥰🥰,7468647868325268769,1739023994,7469050968640815895
22,7468647868325268769,0,"╔════༺❀༻🌸༺❀════╗
*💗💗💗💗✲Linke2025✲💗💗💗💗*
╚════༺❀༻🌸༺❀════╝",7468647868325268769,1739014892,7469011906931589890
22,7468647868325268769,1,"╔════༺❀༻❤️༺❀༻════╗
*🚩🌾❤️🖤✲DieLinke✲🖤❤️🌾🚩*
╚════༺❀༻❤️༺❀༻════╝",7468647868325268769,1739010182,7468991719254590230
20,7468647868325268769,0,🩷🩷🩷🩷,7468647868325268769,1739048465,7469156147782763286
20,7468647868325268769,1,"╔════༺❀༻💖༺❀༻════╗
*🚩🌈💗✨✲DieLinke✲✨💗🌈🚩*
╚════༺❀༻💖༺❀༻════╝",7468647868325268769,1739005270,7468970486548103958
20,7468647868325268769,2,"╔════༺❀༻🩷༺❀༻════╗
💕💕🩷💕✲Linke2025✲💕🩷💕💕
╚════༺❀༻🩷༺❀༻════╝",7468647868325268769,1738999927,7468947563492836118
19,7468647868325268769,0,🩷🩷🩷🩷🩷,7468647868325268769,1739116167,7469446878699569942
19,7468647868325268769,0,🩷🩷🩷,7468647868325268769,1739026620,7469062193362666263
19,7468647868325268769,3,"╭╮╭╮ 🩷╭╮
┃┃┣╋━┳┫┣┳━╮🩷
┃╰┫┃┃┃┃━┫┻┫🎀
╰━┻┻┻━┻┻┻━╯🩷",7468647868325268769,1739017606,7469023507202212630
18,7468647868325268769,1,Ich glaube mit „kleinen Leuten“ meinen die glaube ich die wenigeren reichen die sie entlasten wollen,7468647868325268769,1739046042,7469145740171100950
