like_count,parent_comment_id,reply_count,text,video_id,create_time,id
4,7463129479032868129,0,Auf den Punkt.,7463129479032868129,1737647495,7463138967156900630
3,7463129479032868129,0,100% Deiner Meinung......,7463129479032868129,1737646270,7463133691985380118
2,7463129479032868129,0,Vollkommen richtig ✅ 🙏🙏💙,7463129479032868129,1737645887,7463132014150845206
1,7463129479032868129,0,Alice für Deutschland 💙💙💙,7463129479032868129,1737747327,7463567766093251350
1,7463129479032868129,0,💙💙💙💙,7463129479032868129,1737747320,7463567794685215510
1,7463129479032868129,0,"╔════༺❀༻🇩🇪༺❀༻════╗
💙🩵💎✲𝗞𝗔𝗡𝗭𝗟𝗘𝗥𝗜𝗡2025✲💎🩵💙
╚════༺❀༻🇩🇪༺❀༻════╝",7463129479032868129,1737650337,7463151163581137686
0,7463129479032868129,0,"Alle, die keinen Märzkrieg wollen, werden das richtig machen am 23.2.25💙💙💙",7463129479032868129,1738978603,7468855556409770774
0,7463129479032868129,0,💙💙💙👌💯🇩🇪🇩🇪🇩🇪,7463129479032868129,1738833630,7468233315964011286
0,7463129479032868129,0,👍💙💙💙💙💙💙💙💙💙💙,7463129479032868129,1738530477,7466931378904269590
0,7463129479032868129,0,So sieht es aus 💙💙💙,7463129479032868129,1738414116,7466431599610512150
0,7463129479032868129,0,Meine Wahl steht schon lange fest 2x💙💙👍👍👍,7463129479032868129,1738179449,7465423757747208982
0,7463129479032868129,0,Und ein wohl psychisch kranker CDU-Vertreter @Steffen Roschek will hier eine Morddrohung verstanden haben?,7463129479032868129,1738084476,7465015832054612758
0,7463129479032868129,0,"╭━━━╮╭━╮╱╭╮💙
┃╭━╮┃┃╭╯╱┃┃💙
┃┃╱┃┣╯╰┳━╯┃💙
┃╰━╯┣╮╭┫╭╮┃💙
┃╭━╮┃┃┃┃╰╯┃💙
╰╯╱╰╯╰╯╰━━╯💙
💙💙💙💙💙💙💙",7463129479032868129,1737707619,7463396996562027286
