text,video_id,create_time,id,like_count,parent_comment_id,reply_count
Sind dit alles Steuergelder die dafür verpulvert werden? 🤔,7457967277724405014,1736443873,7457969589432353558,8,7457967277724405014,3
CDU ist unwählbar,7457967277724405014,1736443548,7457968205034799894,7,7457967277724405014,1
raus mit euch,7457967277724405014,1736444181,7457970913141883670,5,7457967277724405014,0
nee danke,7457967277724405014,1736453747,7458012007804158742,3,7457967277724405014,0
"Ihr schafft das , wieder Millionen von Masken zu verkaufen ?",7457967277724405014,1736443711,7457968872974598934,3,7457967277724405014,0
Niemals,7457967277724405014,1736455652,7458020194137457430,2,7457967277724405014,0
💙💙💙 wir wählen AfD die setzt um was die CdU erzählt 😂,7457967277724405014,1736455629,7458020067449504534,2,7457967277724405014,0
CDU=AfD. Hat Klöckner gesagt,7457967277724405014,1736445579,7457976931653337878,2,7457967277724405014,0
"Niemals mehr CDU CSU Niemals
Nur noch AfD und nur AfD",7457967277724405014,1738852554,7468314602519937814,1,7457967277724405014,0
nie cdu,7457967277724405014,1737874122,7464111941310612246,1,7457967277724405014,0
🖤🖤🖤,7457967277724405014,1736794863,7459477016729371414,1,7457967277724405014,1
🖤🖤🖤,7457967277724405014,1736746189,7459267680543277846,1,7457967277724405014,0
Hahahaaaa!,7457967277724405014,1736448382,7457988945898930966,1,7457967277724405014,0
Ich wünsche viel Erfolg beider Wahl!,7457967277724405014,1736445015,7457974470084789014,1,7457967277724405014,0
Viel Erfolg bei der Wahl!,7457967277724405014,1736444984,7457974368069665558,1,7457967277724405014,0
Nur CDU und Merz ❤️❤️❤️❤️,7457967277724405014,1738903140,7468531281622647574,0,7457967277724405014,0
"Es gibt wähler in Deutschland die können die teuren Politiker sich nicht mehr leisten. Wen soll man wählen, und welcher Politiker hat auch das gewisse IQ um in der Verantwortung gerecht zu werden.",7457967277724405014,1738756094,7467900333135135510,0,7457967277724405014,0
Keine CDU 💙💙💙💙,7457967277724405014,1737650338,7463151105339736854,0,7457967277724405014,0
"Das ist die Partei die zulässt, dass die Linke ANTIFA die Demokratie in diesem Land behindern kann oder wer macht immer nur leere Versprechungen?",7457967277724405014,1736616256,7458709798143050518,0,7457967277724405014,0
"🖤🖤🖤Merz🖤🖤🖤2025🖤🖤🖤
Kanzler für Deutschland!👍💪🙏🔥👏 Wie sagte Konrad Adenauer schon, keine Experimente!🖤🖤🖤",7457967277724405014,1736527357,7458327941484528406,0,7457967277724405014,1
"Mit vollem Einsatz dafür, dass Deutschland schwarz wird! 🖤",7457967277724405014,1736445064,7457974710773842710,0,7457967277724405014,1
💙 Diesmal das dunklere Blau.,7460904345727487254,1737128436,7460909591355245334,7,7460904345727487254,0
"Ich möchte für alle Frieden, Meinungs-Freiheit, Sicherheit sowie Neutralität u.Respekt in der Politik u. in den Medien. Das traue ich am ehesten der AFD zu, wählt Blau💙",7460904345727487254,1737133045,7460929431989994262,5,7460904345727487254,0
Die Altparteien gehören allesamt wegen Hochverrat vor Gericht gestellt,7460904345727487254,1737127858,7460907089671275286,4,7460904345727487254,1
wie sieht der Wald der Zukunft aus für die? mit Windkraftwerken,7460904345727487254,1737136524,7460944281031181078,3,7460904345727487254,0
"Mehr Schutz für den Wald vor grünen Ideologien
👊👊👊👊👊",7460904345727487254,1737128390,7460909310539121430,3,7460904345727487254,3
CDU/CSU hat Deutschland in den Trecker geritten und die Ampel hat alles noch viel schlimmer gemacht. Ich bin für eine deutliche Wende der Politik und deswegen wird dieses mal die AfD gewählt. 💙💙💙,7460904345727487254,1737136320,7460943499769692950,2,7460904345727487254,0
