text,video_id,create_time,id,like_count,parent_comment_id,reply_count
"Schön. Gute Arbeit, dir tust. Grüße aus Berlin",7456043622765530391,1736652038,7458863497134277381,0,7456043622765530391,0
Wo ist euer Klimawandel nicht angekommen 😂😂😂,7456043622765530391,1736152317,7456717284951393046,0,7456043622765530391,0
"Nee, Niemals Grüne ‼️",7456043622765530391,1736086712,7456435578281476886,1,7456043622765530391,0
💚🌻,7456043622765530391,1736005854,7456088301712704258,0,7456043622765530391,0
"wenn das der Lösungsansatz sein soll. Dann gute Nacht Deutschland.
Mein Ansatz: Batteriespeicher für PV und dezentraler Bürgerstrom",7456043622765530391,1736000456,7456065110622225174,0,7456043622765530391,0
"Team Robert - hier lernst Du, ein looser zu werden alles an die Wand zu fahren! 🙈🤪🤣",7456043622765530391,1735999641,7456061582843478806,0,7456043622765530391,0
niemals grün,7464301602791378198,1737929468,7464350099565544214,18,7464301602791378198,0
Nur noch 💙💙💙💙,7464301602791378198,1737958270,7464473465216811808,9,7464301602791378198,0
Nöööö sicher nie grün,7464301602791378198,1738022042,7464747188385841942,8,7464301602791378198,0
nö bestimmt nicht grün,7464301602791378198,1738008801,7464690768445588246,6,7464301602791378198,0
Kein Bedarf!,7464301602791378198,1738000181,7464653828026041110,6,7464301602791378198,0
💙💙💙👍,7464301602791378198,1737970789,7464527243932812054,4,7464301602791378198,0
Grün nein Danke 🙂‍↔️,7464301602791378198,1739772648,7472266405782487830,3,7464301602791378198,0
Neeee,7464301602791378198,1738057869,7464901373265068822,3,7464301602791378198,0
💙💙💙💯,7464301602791378198,1737964909,7464502110290723606,3,7464301602791378198,0
AfD 💙💙AfD 🇩🇪🇩🇪 Alice für Deutschland 💙💙 AfD 🇩🇪🇩🇪 AfD 💙💙,7464301602791378198,1737958450,7464474291662357270,2,7464301602791378198,0
💙💙💙💙💙,7464301602791378198,1737927487,7464341494100673302,2,7464301602791378198,0
Stark 💚💚💚,7464301602791378198,1737926712,7464338268457304854,2,7464301602791378198,1
💚💚💪,7464301602791378198,1737926471,7464337138110513942,2,7464301602791378198,0
💚💚💚💚💚💚💚💚💚💚,7464301602791378198,1737925287,7464332144383623958,2,7464301602791378198,0
"Die aktuelle Grüne Führungsriege verrät alles wofür sie mal standen.
Wie kann ein Grünen Wähler, der noch die ursprüngliche Ideologie in sich trägt, diese Personen wählen?",7464301602791378198,1737919028,7464305278226400022,2,7464301602791378198,2
"Trittin/Grüne:'Deutschland verschwindet jeden Tag immer mehr und das finde ich großartig!',-sagt das nicht alles?",7464301602791378198,1738219735,7465596497494786838,1,7464301602791378198,0
Niemals diese Grünen,7464301602791378198,1738133147,7465224720486171415,1,7464301602791378198,0
Super 💚💚💚,7464301602791378198,1738113466,7465139791827501846,1,7464301602791378198,1
Grüner kompost.,7464301602791378198,1738086125,7465022861826278166,1,7464301602791378198,0
GRÙNE SIND SYSTEM SPRENGER DER DEMOKRATIE. 😳,7464301602791378198,1738082678,7465008120964875030,1,7464301602791378198,0
Nie wider Grüne 😡😡😡,7464301602791378198,1738077160,7464984297084420886,1,7464301602791378198,0
Nein danke 🇩🇪💎💎💎💎💎🇩🇪,7464301602791378198,1738048705,7464861956328751894,1,7464301602791378198,0
"Für Freiheit, Frieden und Demokratie auf keinen Fall GRŪNE BEVORMUNDUNG",7464301602791378198,1738036629,7464808759552017174,1,7464301602791378198,0
Die Grünen schaffen sich selbst ab😳 Die Zeit der Grünen ist leider vorbei 🥹,7464301602791378198,1737926030,7464335274249388822,1,7464301602791378198,0
Außen Grün und im Kern braun,7464301602791378198,1737924251,7464327710253941506,1,7464301602791378198,1
Gr💚n nöööööö ⚠️,7464301602791378198,1737919026,7464305244194145046,1,7464301602791378198,0
"Hallo
Engagiert und unterstützt
Frag mich, lass uns Freunde sein, wenn es dir nichts ausmacht.
Danke 👍",7464301602791378198,1742050503,7482049771269800759,0,7464301602791378198,0
😂😂😂,7464301602791378198,1740293052,7474501419731682070,0,7464301602791378198,0
💙💙💙💙💙💙💙💙💙💙💙,7464301602791378198,1740292246,7474497928560935702,0,7464301602791378198,0
oh je unser Untergang 😂😂😂nie grün wählen,7464301602791378198,1740284505,7474463783497827095,0,7464301602791378198,0
Oh Gott😩Grün ist das letzte,7464301602791378198,1740220239,7474188846381925142,0,7464301602791378198,0
Nur AFD 💙💙💙,7464301602791378198,1740133107,7473814643551535895,0,7464301602791378198,0
"Wer Zukunft will, wählt Verantwortung. Wer Verantwortung will, wählt Grün💚.",7464301602791378198,1740088386,7473622589315941142,0,7464301602791378198,0
niemals grün 😝😝😝😝😝,7464301602791378198,1740079304,7473583592762016534,0,7464301602791378198,0
Mit Sicherheit nicht 3 Jahre Habeck reicht,7464301602791378198,1740025610,7473352369036870422,0,7464301602791378198,0
nur💙💙💙💙💙💙💙💙💙💙💙💙,7464301602791378198,1740016716,7473314027784635158,0,7464301602791378198,0
