text,video_id,create_time,id,like_count,parent_comment_id,reply_count
"Schön, schöne Arbeit, die Sie machen. Grüße aus Rom",7460466544313634070,1737779698,7463706725126161157,1,7460466544313634070,0
👍👍👍👍,7460466544313634070,1737749266,7463576150435021590,1,7460466544313634070,0
sei schlau wähl nicht blau🩷🩷🩷🩷🩷🩷,7464970880410553602,1738081074,7465001161512305430,0,7464970880410553602,0
SPDyea🥰🥰🥰🥰🥰,7472704181120322838,1740246659,7474302316478399254,0,7472704181120322838,0
❤️Olaf Scholz SPD ❤️,7472704181120322838,1740242867,7474286041768919830,0,7472704181120322838,0
🥰🥰🥰🥰🥰🥰🥰🥰🥰,7472704181120322838,1740240970,7474277839745237782,0,7472704181120322838,0
✌️✌️✌️,7472704181120322838,1740234845,7474251517182558998,0,7472704181120322838,0
🥰🥰🥰🤩🤩🤩😇😇😇,7472704181120322838,1740213441,7474159639228498710,0,7472704181120322838,0
❤️Nur SPD❤️❤️Olaf scholz❤️❤️❤️,7472704181120322838,1740185961,7474041400666293014,0,7472704181120322838,0
Mwine ganze Familie und ich wählen SPD❤️,7472704181120322838,1740171560,7473979762744296214,0,7472704181120322838,0
❤️❤️❤️,7472704181120322838,1740171450,7473979327866323734,0,7472704181120322838,0
"💯💯💯💯💯💯💯💯💯💯💯💯
SPD SPD SPD SPD SPD SPD SPD ❤❤❤❤❤❤🤲🤲🤲🤲🤲",7472704181120322838,1740166947,7473959937615856406,0,7472704181120322838,0
❤️❤️❤️❤️❤️❤️,7472704181120322838,1740164384,7473949016758321942,0,7472704181120322838,0
❤️❤️❤️❤️SSSSS PPP DDDD,7472704181120322838,1740162034,7473938885010801430,0,7472704181120322838,0
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞,7472704181120322838,1740155997,7473912989138338582,0,7472704181120322838,0
💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯💯,7472704181120322838,1740155984,7473912862539219735,0,7472704181120322838,0
🥰🥰🥰,7472704181120322838,1740118672,7473752326601507606,0,7472704181120322838,0
👍👍👍,7472704181120322838,1740118667,7473752408813175574,0,7472704181120322838,0
👍👍👍,7472704181120322838,1740118662,7473752410818413334,0,7472704181120322838,0
👍👍👍,7472704181120322838,1740118652,7473752404212106006,0,7472704181120322838,0
💚❤️❤️💯💯💯🥰🥰,7472704181120322838,1740083445,7473601378213495554,0,7472704181120322838,0
🤲🤲🤲SPD 🤲🤲🤲🤲🤲🤲,7472704181120322838,1740078587,7473580511227872022,0,7472704181120322838,0
