id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7457263932785298710,Good News: Deutschland erreicht sein Klimaziel 2024 und die Erneuerbaren haben den Strompreis gesenkt. #LisaBadum #TeamLisa #TeamRobert #Klimaziel,1736279564,DE,5,14161,195,788,7457263929962679062,"['teamlisa', 'teamrobert', 'klimaziel', 'lisabadum']",badumlisa,,,"erneuerbare haben den Strom günstiger gemacht. wir erreichen die Klimaziele für das Jahr 2024 vor allem deswegen, weil wir die erneuerbaren so stark ausgebaut haben, weil wir zu wenig Kohlestrom im Netz hatten. wie Lange nicht mehr. das sagt eine Studie der agora Energiewende. alle die lügen und Märchen, dass der Atomausstieg uns Probleme bereitet, sind falsch. aber wo es noch Harpert, das is im Verkehr und im gebäudesektor. da haben wir noch keine rentwände erreicht. und deswegen ist es wichtig, dass wir weiter vorangehen Richtung Zukunft. und das wird nur mit uns Grünen in der Regierung gelingen. CDU, CSU will das Verbrenner Aus zurücknehmen, will das gebäudeenergiegesetz zurücknehmen, will zurück in die Vergangenheit. wir müssen aber in die Zukunft und auf die Erfolge, die wir haben, noch weitere aufbauen.
"
7456522175810391318,Rückblick auf drei Jahre als Vorsitzende im Unterausschuss Klimaaußenpolitik #LisaBadum #Klimaaußenpolitik #Klimaschutz,1736106862,DE,1,1524,51,37,7456522226571512598,"['klimaschutz', 'lisabadum', 'klimaaußenpolitik']",badumlisa,,,
7456123329078938902,Nicht auf die Panikmacher reinfallen #LisaBadum #TeamLisa #Energiewende #Habeck,1736013998,DE,4,2392,118,195,7456123380618267414,"['teamlisa', 'energiewende', 'habeck', 'lisabadum']",badumlisa,,,
7462115052334615830,"Gerade jetzt müssen wir als Europäer:innen zusammenstehen. Wir sind die zweitgrößte Volkswirtschaft der Welt und das hat Gewicht. Zusammen müssen wir die regelbasierte Ordnung verteidigen, unseren Wirtschaftsstandort in die Zukunft entwickeln, für Sicherheit und Frieden sorgen. Gleichzeitig müssen wir, wo immer möglich, weiter unsere guten historischen Beziehungen mit den USA pflegen.  Es ist an uns als Europäische Union den globalen Klimaschutz weiter voranzubringen. Aufgeben ist keine Option. Dafür möchte ich meine Beziehungen in die USA nutzen, die ich in den letzten Jahren geknüpft habe. #LisaBadum #Trump #EuropeUnited",1737409055,DE,1,2246,70,17,,"['trump', 'europeunited', 'lisabadum']",badumlisa,,,
7460970173848227094,Dieser Untersuchungsausschuss war ein kompletter Flop für CDU/CSU #LisaBadum #Atomausstieg #TeamHabeck #Habeck4Kanzler #Habeck ,1737142492,DE,138,20459,2308,884,7.460970178315685e+18,"['habeck', 'atomausstieg', 'lisabadum', 'habeck4kanzler', 'teamhabeck']",badumlisa,,,"riesige Blamage für die Union mal wieder. der atomuntersuchungsausschuss ist zu Ende und kein Zeuge, kein Sachverständiger konnte die absurde These der Union, dass der Atomausstieg, die laufzeitverlängerung nicht Ergebnis offen geprüft sei, bestätigen. gestern wurde Minister Robert habik über Stunden, über 89 Stunden vernommen und ihm konnte nichts nachgewiesen werden. im Gegenteil wir haben dieses Land übernommen mit leeren gasspeichern, mit ner absolut unverantwortlichen Energiepolitik und wir habens geschafft diese Energiekrise zu meistern, insbesondere Robert Habeck und das Ministerium für Wirtschaft und Klimaschutz und nebenher noch erneuerbare auszubauen. für die Union bleibt nur zu sagen, außer Spesen nichts gewesen, Kosten für den Steuerzahler. peinlich, peinlich, peinlich. dieser Untersuchungsausschuss ist der endgültige Beweis dafür, dass die Atom wieder Einstiegs Fantasien der Union bloße Hirngespinste sind. dass ihr das vor dem Wahltag noch mal deutlich gemacht habt.
"
7460200512420351254,Ehrliche Worte von Angela Merkel #LisaBadum #Merkel #Merz #TeamRobert #Habeck4Kanzler ,1736963291,DE,1,1877,120,8,7.460200497506389e+18,"['teamrobert', 'merz', 'merkel', 'lisabadum', 'habeck4kanzler']",badumlisa,,,"dieser Karren war ziemlich in den Dreck gefahren. dass ich jetzt beschreibe, dass sie in einem tiptop Zustand hinterlassen hätte, das kann man nicht sagen äh, wirklich nich. ich ähm. muss einfach konstatieren, dass das etwas, was ich Mir vorgenommen hatte, ich mit zusammen mit Bund und Ländern nicht ähm, umsetzen konnte, so wie ich Mir das gedacht habe. ja, ja, es ist wahr. Merkel hat uns äh ziemliche Bruchbude hinterlassen, insbesondere was die Klimaziele angeht. da hat Mir Lücke von 1.000 Millionen Tonnen geerbt. wir haben die zu nem großen Teil geschlossen. aber ich sag nur 1 der Karren war ziemlich in den Dreck gefahren, nicht nur im Bereich Klimaschutz, sondern auch Infrastruktur, Modernisierung dieses Landes. und wir haben das in den letzten 3 Jahren versucht wieder aufzukennen. wichtig sei, dass man angesichts von krieg, Klimawandel, technologischen Wandel altes auf den Prüfstand Stelle. und in einer solchen Situation sage ich, dass wir mit den Investitionen, die wir uns im Rahmen der Schuldenbremse äh, leisten können, für eine bestimmte Zeit nicht werden auskommen. das heißt, sie war zu ihrer Zeit absolut richtig, aber jetzt haben wir eine neue Situation. es war eine ungewohnt ernste Situation, wie ich sie trotz aller Krisen in meiner amtzeit nicht hatte. sogar Merkel ist jetzt dafür, die Schuldenbremse zu reformieren. sie sagt, mit den Krisen, mit denen wir jetzt konfrontiert sind, das heißt ukrainekrieg, alles drumherum, dafür ist die alte Regelung einfach nicht geeignet, muss geändert werden. es wär toll, wenn März einfach auf diese. Stimme auch hören würde.
"
7459138521362664726,Die Union verkackeiert mit ihrem Programm die deutsche Bevölkerung  #LisaBadum #TeamRobert #Habeck #Habeck4Kanzler #Merz #CDU ,1736716028,DE,347,144667,5175,888,7.459138522348375e+18,"['teamrobert', 'merz', 'cdu', 'habeck', 'lisabadum', 'habeck4kanzler']",badumlisa,,,"weil die Union die deutsche Bevölkerung einfach verkackeiert. alles, was die Union sagt, ist alles für die Füße. wir sehen von ihrer Seite, dass sie die Union sehr stark attackieren äh, von Voodoo äh Finanzierung beim unionsprogramm sprechen aber sehr wenig Angriffe Richtung Olaf Scholz. warum ist das so? ja, erstmal muss man sagen, es ist deswegen so, weil die Union die deutsche Bevölkerung einfach verkackeiert. sie sagen, wir wollen 100 Milliarden zusätzlich ähm, einnahmeausfälle haben, also Steuersenkung haben, Soli abschaffen und so weiter. davon mal abgesehen, dass vor allem die reichen und sehr reichen davon profitieren. es ist 0 gegenfinanziert. es ist einfach. das ist so, als OB sie Mir jetzt sagen würden, weißt du was, Robert, ich kann fliegen. und dann unterhalten wir uns darüber, OB sie wirklich fliegen können und OB sie so schlagen oder so schlagen. sie können aber nicht fliegen. also das alles, was die Union sagt, ist alles für die Füße. man kann es einfach vergessen, weil es nicht gegen finanziert ist. und das sage ich jetzt hier bei ihnen und das sage ich auf jeder Bühne, das ist einfach gar kein Angebot. und daraus kommt der Eindruck, wir würden uns vor allem mit der Union beschäftigen. die Union ist Mir aber eigentlich komplett egal. ich weise nur darauf hin, dass antworten, die nicht fundiert sind, im Wahlkampf, also grobe wiedertäuschung sind.
"
7465428352535416086,"Das haben CDU/CSU zu verantworten, allen voran Friedrich Merz #Merz #CDU #CSU #Brandmauer #Bundestag #TeamHabeck #Hasselmann ",1738180493,DE,991,232880,8648,832,7.465428374912634e+18,"['csu', 'merz', 'cdu', 'bundestag', 'hasselmann', 'brandmauer', 'teamhabeck']",badumlisa,,,"heute ist 1. historischer Tag, und zwar im negativen Sinne, denn in diesem Parlament sind wissentlich und sehenden Auges, Herr März, sehenden Auges, sie haben das zu verantworten. sie und ihre Fraktion heute sind zum 1. mal vor dem Hintergrund unserer Geschichte, vor dem Hintergrund unserer Geschichte. heute sind zum 1. mal Mehrheiten gesucht und billigend in Kauf genommen worden jenseits der demokratischen Mitte. und das, das, meine Damen und Herren, verantwortet niemand Anders in diesem Land als sie, die den Kurs so vorgegeben haben, Aus CDU und CSU. und ich finde es bemerkenswert, dass sie sich hier hinstellen und über Freitag reden. ich rede über heute und gerade, gerade meine Damen und Herren. und das schmerzt, weil wir, die feixenden Gesichter der AfD, des Rechtsaußen in diesem Parlament, der rechten und zum Teil rechtsradikalen und rechtsextremen, in deren Reihen sogar Leute sagen, ich bin das freundliche Gesicht des Nationalsozialismus. Zitat Ende, wer mit solchen Leuten Mehrheiten findet, kann doch nicht im Ernst so tun, als gingen wir jetzt zur Geschäftsordnung. über, meine Damen und Herren, der Antrag der Union auf der druckensachen Nummer 201498 hat abgegebene Stimmen 703 348 ja Stimmen, das heißt eine Mehrheit 345 neinstimmen und 10 Enthaltung. und Herr März, damit würde ich mich beschäftigen und nicht mit einem Appell, weil sie jetzt merken, was sie hier verursacht haben, und einer Drohung an SPD und Bündnis 90, Die Grünen und meine Damen und Herren, ich kann nur 1 sagen, niemand hat uns das Gespräch zu den vorliegenden. Anträgen angeboten. wir haben eine E Mail bekommen, nachdem ich das Aus der Zeitung gelesen habe. später hab ich ne E Mail bekommen in der stand prüfen um Zustimmung nicht. wir beraten Rolf mützig Katharina dröge so wie wir es normalerweise mit Fraktionen der demokratischen Mitte machen. so war die Ausgangssituation und die haben sie zu verantworten. und wenn man in die Gesichter der AfD sieht, dann weiß man was heute passiert ist und dafür tragen sie die Verantwortung. meine Damen und Herren und 1. will ich noch an die Adresse der FDP sagen, wer glaubt sich rechts von der CDU, CSU und der AfD einzusortieren muss nicht glauben, dass ihr für seine liberale Tradition rund um Herr Abbau Zustimmung erst. sie müssen zum Ende kommen.
"
7465399748241968406,"CDU/CSU, FDP und BSW haben heute ein Tabu gebrochen. Sie haben gemeinsame Sache mit der AfD gemacht für billige Punkte im Wahlkampf. Sie haben die Brandmauer eingerissen für einen Antrag, der rein gar nichts lösen wird. Damit es niemand vergisst: - CDU/CSU bringen einen verfassungswidrigen & europafeindlichen Antrag ein. - AfD & FDP stimmen dafür, BSW enthält sich und der Antrag erhält eine Mehrheit. - Wer applaudiert? Nur die AfD. Wer profitiert? Nur die AfD. Ein bitterer Tag für unsere Demokratie. #Brandmauer #CDU #CSU #Merz #FDP #TeamHabeck",1738173833,DE,4,2161,110,13,,"['fdp', 'csu', 'merz', 'cdu', 'brandmauer', 'teamhabeck']",badumlisa,,,
7463571267300461846,Damit darf Friedrich Merz nicht durchkommen #Merz #CDU #Brandmauer #TeamHabeck #Habeck4Kanzler #Habeck ,1737748107,DE,36,5733,507,94,7.463571273811889e+18,"['merz', 'cdu', 'habeck', 'brandmauer', 'habeck4kanzler', 'teamhabeck']",badumlisa,,,"Mir ist es völlig gleichgültig, wer diesen Weg politisch mitgeht. ich sage nur, ich gehe keinen anderen. und wer ihn mit Mir gehen will, muss sich nach diesen 5 Punkten richten. Kompromisse sind zu diesen Themen nicht mehr möglich. nach dem Bruch der Ampel hat Friedrich März im Bundestag selber den Vorschlag unterbreitet, auch in dieser Phase des Übergangs nicht mit der AfD zusammenzuarbeiten. und auch für die Zeit nach der Wahl hat er das immer wieder betont. eine Zusammenarbeit unter seiner Führung wird es mit der CDU in Deutschland nicht geben und dieses Wort darf nicht gebrochen werden. ich fürchte nur Friedrich März steht ganz kurz davor, genau das zu tun. mit Blick auf die Debatte des letzten Tages. in Deutschland steht kein Kanzler über dem Parlament oder über dem Grundgesetz oder über dem recht.
"
