id,video_description,create_time,region_code,share_count,view_count,like_count,comment_count,music_id,hashtag_names,username,effect_ids,playlist_id,voice_to_text
7457949810927176982,"📣🎬 RECAP WAHLKAMPFAUFTAKT Was für ein Tourauftakt mit @Felix Banaszak, @Robert Habeck , Annalena Baerbock, Luise Amtsberg und @bruno.hoenel ! Danke, dass so viele von euch da waren. Wir starten voller Energie in diesen Wahlkampf! 🤩💚 Seid ihr dabei? #bundestagswahl2025 #teamrobert #teamsh #lübeck #schleswigholstein #wahlkampf #diegrünen #gruenesh",1736439259,DE,5,2135,288,126,7457949850447989526,"['teamrobert', 'teamsh', 'lübeck', 'schleswigholstein', 'wahlkampf', 'diegrünen', 'bundestagswahl2025', 'gruenesh']",diegruenensh,,,"Luisa amtsberg, es geht bei dieser Wahl um Haltung und darum, dass wir uns nicht spalten lassen, nicht entlang unserer Herkunft, nicht entlang unserer demokratischen Grundeinstellung, nicht entlangen unseres sozialen Status. Bruno Höhne, wir müssen jetzt kraftvoll und im großen Stil investieren, um unsere Zukunft zu sichern. Annalena Baerbock, dieses Land, das hält nur zusammen, wenn es alle hier in diesem Land schützt, für alle in diesem Land einsteht, egal woher sie kommen, egal wo sie geboren sind. Felix Banner Shark, weil es eine Politik braucht, die Menschen alle gleich behandelt, die Frauen gleich behandelt, die dafür sorgt, dass alle selbstbestimmt leben können und ja, Selbstbestimmung auch über ihren eigenen Körper genießen. Robert Habeck, ich fordere sie auf, Sorgen sie mit dafür, dass die politische Debatte in eine Richtung geht, dass diejenigen den Zuspruch der Bevölkerung bekommen, die die Verantwortung suchen. arbeiten und kämpfen wir für die Zukunft und tun wir es mit einer Haltung der Entschlossenheit, der Geschlossenheit. wollt ihr dabei sein, wollen sie dabei sein. und wir machen es jetzt für die Gegenwart, wir machen es jetzt für Deutschland. und irgendwann steigen unsere Kinder 1 für die Zukunft dieses Landes. vielen Dank. auf geht's in den Wahlkampf!
"
7457315139604335894,Ihr habt gefragt und Robert hat geantwortet - unser digitaler Küchentisch Teil 3! #teamrobert #habeck2025 #gruenesh #küchentisch #diegrünen #bundestagswahl ,1736291494,DE,7,2617,411,89,7457315218369137430,"['teamrobert', 'bundestagswahl', 'diegrünen', 'küchentisch', 'gruenesh', 'habeck2025']",diegruenensh,,,
7455245020338113814,Ihr habt gefragt und Robert hat geantwortet - unser digitaler Küchentisch Teil 2! #teamrobert #teamhabeck #habeck2025 #gruenesh #schleswigholstein #teamsh #küchentisch #diegrünen  @Robert Habeck ,1735809507,DE,6,5690,673,259,7455245065380793090,"['teamrobert', 'teamsh', 'schleswigholstein', 'diegrünen', 'küchentisch', 'teamhabeck', 'gruenesh', 'habeck2025']",diegruenensh,,,
7454918530945797398,"FROHES NEUES JAHR 2025! 🎉🥳 🏁 Nachdem wir gestern über die Dinge nachgedacht haben, die wir nicht mit ins neue Jahr nehmen wollen, geht’s heute um Wünsche, Pläne, Ziele.  💫 Wir wünschen uns einen erfolgreichen Wahlkampf für unsere Kandidat*innen und unseren Kanzlerkandidaten!  🌳 Klima schützen kann kein Wunsch sein. Wir wollen Klimaschutz - national und international - konkret planen, denn nur ein guter Plan bringt uns der 1,5 Grad-Grenze näher.  💰 Ein klares Ziel für 2025: der 15€-Mindestlohn. Arbeit muss fair entlohnt werden. Deswegen ist der 15€-Mindestlohn ein Muss für uns!  Hast du Vorsätze für 2025? Worauf freust du dich dieses Jahr bisher am meisten?  Schreibt uns in die Kommentare ✍️✍️ #diegrünen #gruenesh #happynewyear #2025 #vorsätze #klimaschutz #mindestlohn #bundestagswahl @Sophia Pott ",1735733484,DE,0,1263,70,233,7454918618057476887,"['happynewyear', '2025', 'mindestlohn', 'bundestagswahl', 'vorsätze', 'klimaschutz', 'diegrünen', 'gruenesh']",diegruenensh,,,
7460176668204797206,Der Wahlkampf ist gestartet 🗳️🤩💚 Im Schnelldurchlauf stellen wir euch unsere Top 12 der Landesliste Schleswig-Holstein vor 📣🌻 #Bundestagswahl2025 #DieGrünen #SchleswigHolstein #gruenesh #Landesliste #TeamRobert #TeamSH,1736957740,DE,2,1562,152,54,7460176755819629334,"['teamrobert', 'teamsh', 'schleswigholstein', 'diegrünen', 'bundestagswahl2025', 'landesliste', 'gruenesh']",diegruenensh,,,"die zukunftsaufgaben, sie sind an die Wand geschrieben, sie sind Allen völlig klar und es ist keine Frage mehr der parteizugehörigkeit. dafür machen wir das alles, dafür schützen wir das Klima, dafür sorgen wir dafür, dass das Leben wieder bezahlbar wird für die Menschen in ihrer Freiheit und würde. wir haben die Erde von unseren Kindern nur geborgt. das ist für mich immer noch der Inbegriff von Generation Gerechtigkeit. das ist Bündnis grüne DNA. wir grüne sind das Bollwerk zusammen mit mit Millionen von Menschen. das Bollwerk für Freiheit und Demokratie. dort wo ich herkomme in hockensbüll Aus Nordfriesland, da erleben die Menschen täglich die drängend grüne Themen sind. wer, wenn nicht wir denkt den Klimaschutz immer konsequent zusammen mit der sozialen Gerechtigkeit. lasst uns Innovation und made in Germany neu definieren. lasst uns die Vielfalt unserer Gesellschaft feiern als unsere größte Stärke. erfolgreiche digitale Transformation ist 1 wichtiger Baustein für Vertrauen in das funktionieren unserer Institution. wir machen grüne Politik um eine positive Veränderung für die Zukunft zu bewirken. wir haben keine Zeit mehr für politische schaukämpfe. es ist Zeit für Lösung. Neustart klar im teamsh. danke euch dafür bitte ich euch um euer Vertrauen. vielen Dank. ich freu mich drauf. danke schön! vielen lieben Dank. vielen Dank! vielen Dank. ganz herzlichen Dank. vielen Dank! vielen Dank, herzlichen Dank!
"
7465003075410103554,"🌿 Am Wochenende haben wir auf unserer Bundesdelegiertenkonferenz (BDK) unser Programm für die Bundestagswahl finalisiert. 💚 Zusammen mit rund 1000 Delegierten aus ganz Deutschland haben wir zahlreiche Lösungen für ein bezahlbares Leben, den Schutz von Umwelt und Klima, für die innere und äußere Sicherheit Deutschlands und viele weitere Fragen verabschiedet. Rund 1800 Änderungsanträge zum Entwurf wurden verhandelt oder standen zur Abstimmung. Mit uns geht es vorwärts! Dazu gab es großartige Reden. Besonders empfehlen wollen wir euch die Rede unseres Kanzlerkandidaten Robert Habeck. Ihr findet sie auf seinem YouTube-Kanal. Habt ihr die BDK mitverfolgt? Was war für euch der spannendste Punkt? Ansonsten gilt natürlich weiterhin: Am 23. Februar ist Wahl! Bitte geht wählen, mit beiden Stimmen für Bündnis 90/Die Grünen! mit Fotos von @aufmdach #bundestagswahl2025 #bundestagswahl #diegrünen #gruenesh #teamrobert",1738081478,DE,2,1756,175,25,7465003092439141142,"['teamrobert', 'bundestagswahl', 'diegrünen', 'bundestagswahl2025', 'gruenesh']",diegruenensh,,,"was in den letzten Wochen, in den letzten 1/2 Monaten passiert ist, übertrifft jede Erwartung. aber ich weiß, die Zeiten sind herausfordernd und schwierig. deswegen will ich einmal sagen, nichts kann man in dieser Zeit alleine machen. herzlichen Dank für die letzten Wochen und Monate, aber nicht nachlassen, jetzt geht es erst richtig los. von diesem Parteitag Aus Leuten wir den endsport 1.
"
7466040470389427478,"Überall in SH gehen wir mit euch auf die Straßen ✅ für Vielfalt ✅ für Freiheit ✅ für unsere Demokratie ❌ gegen Hetze und Hass ❌ gegen Spaltung ❌ gegen Rechtspopulismus 💚 Wir finden: SH ist vielfältig und genauso muss es bleiben! Von der Nordsee bis zur Ostsee, von Flensburg bis Lauenburg - teilt diesen Post, kommt vorbei und seid laut 📣🗣️ S/O @gruenenrw  Quelle: @demokrateam  #noafd #demokratie #gegenhass #gegenhetze #gruenesh",1738323015,DE,2,1084,138,4,7126258664486865669,"['demokratie', 'gegenhass', 'noafd', 'gegenhetze', 'gruenesh']",diegruenensh,,,
7472403847953026326,"Wir stehen für Aufbruch statt Rückschritt – mit klaren Zielen für ein gerechteres, nachhaltigeres und sicheres Deutschland.  🔎 Welche Priorität ist dir am wichtigsten? Schreib’s in die Kommentare! 👇   #AufbruchStattRückschritt #365TageZukunft #Klimaschutz #Gerechtigkeit #Sicherheit #dieGrünen #GrueneSH #Bundestagswahl",1739804603,DE,0,859,51,0,6751218106342836226,"['gerechtigkeit', 'sicherheit', 'bundestagswahl', 'klimaschutz', 'diegrünen', 'gruenesh', 'aufbruchstattrückschritt', '365tagezukunft']",diegruenensh,,,
7470187117256183062,Wow 🤩 was war das schön. Annalena Baerbock hier bei uns im echten Norden  Danke an Alle die dabei waren! 💚 #teamrobert #gruenesh #diegruenen #bundestagswahl2025 ,1739288481,DE,0,1048,85,18,7470187122343922454,"['teamrobert', 'diegruenen', 'bundestagswahl2025', 'gruenesh']",diegruenensh,,,"wir hatten heute Annalena Baerbock zu Gast bei uns äh in kronhagen im Wahlkreis 5. und es war wirklich n wunderschöner Abend, weil man wieder gemerkt hat, dass Menschen einfach zusammen sein wollen, Hoffnung schöpfen wollen für ne gute Zukunft und vor Allen Dingen auch nach Antworten suchen und die sich hier glaub ich heute auch gefunden haben. es war wirklich wunderschön.
"
7474337437733375254,"Zuversicht hat uns durch die letzten Wochen begleitet – nicht als bloße Hoffnung, sondern als die klare Überzeugung, dass wir gemeinsam etwas bewegen können.   Denn echte Zuversicht bleibt nicht beim Problem stehen. Sie sucht nach mutigen, tragfähigen Lösungen.   Mit jeder Entscheidung, jedem Schritt nach vorn wächst sie weiter. Und genau diesen Weg gehen wir jetzt entschlossen weiter. 💚✨ #fyp #diegrünen ",1740254800,DE,1,335,25,0,7474337465429920535,"['fyp', 'diegrünen']",diegruenensh,,,
7474277056671452438,Morgen zählt es - beide Stimmen Grün ❎❎🗳️ #fyp #diegrünen ,1740240742,DE,0,60,13,0,7474277072459238166,"['fyp', 'diegrünen']",diegruenensh,,,
