id;video_description;create_time;region_code;share_count;view_count;like_count;comment_count;music_id;hashtag_names;username;effect_ids;playlist_id;voice_to_text;Topic
7458319666528668950;Kommt die Dönerpreisbremse? Ich war bei @World Wide Wohnzimmer - wohlgemerkt vor GTA6 und beantworte diese und viele andere Fragen. Die ganze Folge gibt es jetzt auf YouTube und @Joyn.  #olafscholz #worldwidewohnzimmer;1736525373;DE;1981;235199;8081;425;7458319638148205334;['worldwidewohnzimmer', 'olafscholz'];teamolafscholz;;;der Bundeskanzler bei worldwide Wohnzimmer vor GTA 6 heute um 17 Uhr auf YouTube und auf join in voller Länge einschalten.;W
7458000640615189782;Danke für das Interview mit @un.logo! und Ilian. Es hat Spaß gemacht.   #OlafScholz #Bundeskanzler #SPD;1736451093;DE;80;164673;4465;202;7458000646019009302;['spd', 'bundeskanzler', 'olafscholz'];teamolafscholz;;;;W
7457618735809957142;Viel besser, als nur die Steuern für Unternehmen mit Milliarden-Gewinnen zu senken: der „Made-in-Germany“-Bonus, den ich vorschlage. Der hilft auch kleinen Unternehmen und bringt was für Wachstum und Arbeitsplätze – ganz unbürokratisch.  #MadeInGermanyBonus #OlafScholz #Bundeskanzler ;1736362174;DE;152;153172;4409;901;7457618747227884310;['bundeskanzler', 'olafscholz', 'madeingermanybonus'];teamolafscholz;;;das kann Wachstum in Deutschland massiv verbessern. und wir wollen das auch nicht nur 12 Jahre machen, sondern dauerhaft. wir brauchen neues Wachstum in Deutschland. und das geht nämlich nur, wenn die Unternehmen investieren, wenn sie neue ausrüstungsinvestitionen tätigen. dafür ist der made in Germany Bonus gut, den ich Vorschlag. das ist eine steuerpremie für Unternehmen, die ausrüstungsinvestition anschaffen und dann 10 Prozent dieser kosten erstattet bekommen über die Steuer. ganz unbürokratisch, ohne große antragsformulare und ohne dass eine Behörde das extra genehmigen muss. das kann Wachstum in Deutschland massiv verbessern. und wir wollen das auch nicht nur 12 Jahre machen, sondern dauerhaft. damit ganz klar ist, wer in Deutschland investiert, der profitiert auch bei der Steuer. und davon haben wir alle was mit Wachstum und Arbeitsplätzen. viel besser übrigens, als wenn man einfach nur Steuern senkt für Unternehmen, die vielleicht Milliarden gewinne machen. denn die steuerprämie, die nutzt auch denjenigen, die nur wenig Gewinn machen und durch die Investition erst in die Lage kommen wollen, so etwas hinzukriegen. also eine gute Sache für Wachstum, für Arbeitsplätze und Zukunft in Deutschland.;W&F
7457587305054784790;Grenzen dürfen nicht mit Gewalt verschoben werden. Das gilt für jedes Land, ob im Osten oder Westen. In Gesprächen mit unseren europäischen Partnern ist ein gewisses Unverständnis deutlich geworden, was Äußerungen aus den USA angeht. Klar ist: Wir Europäer müssen zusammenstehen.;1736354856;DE;78;105103;2445;365;7457587297694190358;[];teamolafscholz;;;in meinen Gesprächen mit unseren europäischen Partnern und Partnern ist deshalb 1 gewisses Unverständnis deutlich geworden, was aktuelle Äußerung Aus den USA angeht. die Unverletzlichkeit von Grenzen ist 1 Grundprinzip des völkerrechts. der russische Machthaber hat mit seinem brutalen Angriffskrieg auf die Ukraine gegen dieses Prinzip verstoßen. das Prinzip der Unverletzlichkeit von Grenzen gilt für jedes Land, egal OB es im Osten von uns liegt oder im Westen. und daran muss sich jeder Staat halten, egal OB es 1 kleines Land is oder 1 sehr mächtiger Staat. daran kann und darf es kein rütteln geben.;I
7457484101419896086;Antwort auf @The enlightener Ein höherer Mindestlohn ist für alle gut.  #OlafScholz #Bundeskanzler #Mindestlohn #SPD ;1736330831;DE;69;146682;2483;804;7376281166866974739;['spd', 'bundeskanzler', 'mindestlohn', 'olafscholz'];teamolafscholz;;;wie entleitender schreibt, es bringt nichts immer nur den Mindestlohn anzuheben und damit die Kluft zwischen ausgebildeten Fachkräften und hilfsarbeitern zu schließen. das verringert die Bereitschaft Fachkraft zu werden. völlig richtig. es reicht nicht nur den Mindestlohn anzuheben, auch die übrigen Löhne und Gehälter müssen steigen. übrigens ist das die Erfahrung Aus den Mindestlohn Erhöhung der letzten Jahre. immer dann, wenn der Mindestlohn erhöht worden ist, hat es auch Lohnerhöhung gegeben in der ganzen Tabelle. viele tariflöne und auch viele andere löne sind deshalb gestiegen, weil von unten die löne auch höher geworden sind. und genau das ist der Weg, den wir auch für die Zukunft brauchen. übrigens 1 Vorurteil, das auch gern verbreitet wird stimmt nicht, dass zum Beispiel eine mindestlohnerhöhung Arbeitsplätze kostet. jedes mal wenn wir den Mindestlohn erhöht haben, hat das zu mehr Beschäftigung geführt, weil sich mehr Frauen und Männer für diese Arbeitsplätze interessiert haben.;S&A
7457238369823771926;Antwort auf @jenny <3 Steuern runter, Kindergeld rauf. 🤝 #OlafScholz #Bundeskanzler;1736273616;DE;1905;1829421;26223;9338;7376281166866974739;['bundeskanzler', 'olafscholz'];teamolafscholz;;;"Jenny schreibt, senkt die Steuern. wir haben gerade die Steuern für die normalen Bürgerinnen und Bürger gesenkt, indem wir die kalte Progression jetzt ausgleichen mit einer Steuersenkung, die diejenigen, die wenig verdienen und diejenigen, die ganz normal verdienen, entlastet. und das ist auch genau der Zweck der ganzen Sache. übrigens haben wir bei der Gelegenheit das Kindergeld mit erhöht.
";W&F
7457104212539804930;Mein Vorschlag: Kostenloses Mittagessen in Kitas und Schulen! @SPD  #OlafScholz #Bundeskanzler #Kita #Schule ;1736242385;DE;115;86148;2904;503;7457104237526207254;['kita', 'schule', 'bundeskanzler', 'olafscholz'];teamolafscholz;;;ich glaube, dass man alle Kinder fördern muss und ihnen helfen muss, ihre Möglichkeiten zu entfalten. die Forderung, die die SPD jetzt aufgestellt hat nach deinem kostenlosen Mittagessen, ist 1 großes Projekt, dass die Mitwirkung vieler Beteiligter erfordert, das aber richtig ist und wo der Bund auch seinen Beitrag leisten sollte, um einen solchen wechsel in Deutschland zu organisieren. und das bleibt die größte Aufgabe. das ist eine verlässliche Kita, eine verlässliche Grundschule, eine verlässliche Ganztagsschule ergibt, auf die die Eltern und die Schülerinnen und Schüler die Kinder in den Kitas bauen können. und das, glaub ich, bleibt jetzt erstmal die Aufgabe Nummer 1.;S&A
7456907248124579094;Wir haben das modernste Staatsangehörigkeitsrecht geschaffen, das unser Land je hatte. Gut so! Alle, die das beibehalten wollen, sollten der @SPD ihre Stimme geben. #OlafScholz #Bundeskanzler ;1736196517;DE;1014;366976;17039;2358;7456907365872470806;['bundeskanzler', 'olafscholz'];teamolafscholz;;;;S&O
7455397479865912598;Wahlkampf im Winter können wir.  @_einfachlars  #OlafScholz #Bundeskanzler ;1735844998;DE;52;124329;2012;327;7455397476615703318;['bundeskanzler', 'olafscholz'];teamolafscholz;;;;W
7462111650724711702;Beweis!  #Bier #Brauerei #Bundeskanzler #OlafScholz;1737408264;DE;241;175479;8065;231;7462111631519664918;['bier', 'bundeskanzler', 'brauerei', 'olafscholz'];teamolafscholz;;;bin ich in der Brauerei, die halten Mir n Bier hin und ich trink das Beweis so nämlich sehr meine Stimme wieder. wenn sie möchten, dürfen sie gerne zum Bier einladen. ja, also das ist Tropfen gestopft auch noch. das ist n altes Verfahren noch mehr arome ins Bier einzubringen. da wären wir auch bei der Thematik äh Bier und Alkohol Bier ist n Produkt. wir machen dreimal jeden Tag von Montag bis Donnerstag in der Regel und dann je nachdem die Nachfrage. Ausbildung erfolgreich abschließen, das ist die das Hauptziel erstmal theoretisch 3 Jahre in unseren Fällen verkürzen wir beide auf 2 Jahre. alles Gute, schönen Dank wir wünschen viel Spaß bei dem Beruf, das ist ja wichtig für ganz viele deutsche.;P
7462037185550732566;Legalize… …Hopfen 🍻 #Bier #Brauerei #Bundeskanzler #OlafScholz;1737390928;DE;40275;2951358;153301;3490;7416705255268812801;['bier', 'bundeskanzler', 'brauerei', 'olafscholz'];teamolafscholz;;;alles gut ähm, da ist vor Allen Dingen der Export also eingebrochen. ja, so okay, das reicht jetzt für mehr als 50 Jahre. 1741.;P
7461361472820628758;Danke Lübeck, das waren schöne Stunden heute. Hat Spaß gemacht! ;1737233599;DE;3;31635;437;90;7008574498182170625;[];teamolafscholz;;;;P
7461290337911246102;Mit mir als Bundeskanzler gibt’s Entlastungen für Millionen statt für Millionäre. Ihr habt am 23. Februar die Wahl. #OlafScholz #Bundeskanzler #SPD;1737217037;DE;20;27627;737;204;7384305845930149889;['spd', 'bundeskanzler', 'olafscholz'];teamolafscholz;;;;W&F
7460997267382652182;Es macht einen Unterschied! Deshalb: @SPD. #OlafScholz #Bundeskanzler #SPD #Preise ;1737148801;DE;482;229322;7170;2450;7460997251638528790;['spd', 'preise', 'bundeskanzler', 'olafscholz'];teamolafscholz;;;wir haben einfach zu viel Geld in der Tasche, deshalb verstehen sie das nicht, dass wir dafür sorgen, dass das Leben bezahlbar bleibt. deshalb hab ich zum Beispiel vorgeschlagen, die Mehrwertsteuer auf Lebensmittel zu senken. da haben einige gesagt, was soll denn das? wir haben einfach zu viel Geld in der Tasche, deshalb verstehen sie das nicht. ich gönn ihnen das, aber ich sage, wenn man ganz wenig Geld hat, versteht man das ganz genau. da geht's nämlich wirklich um jeden Cent. über das ganze Jahr gerechnet macht das einen Unterschied. und deshalb bitte ich darum, am 23.februar machen sie ihre Kreuze bei der SPD, geben sie Mir einen neuen Auftrag. schönen Dank.;W
7460602644424346902;Kickern, einmal eine Durchsage aus dem Sekretariat  machen dürfen und ein toller Empfang der Schülerinnen und Schüler – das hat Spaß gemacht! Danke an die Tesla Grundschule in Berlin! Mehr von meinem Besuch ist demnächst auf @SAT.1 bei „Kannste (nochmal) Kanzler?“ zu sehen. #Kickern #Schule #Bundeskanzler #OlafScholz;1737056919;DE;788;194016;10163;642;7460602626889354006;['schule', 'bundeskanzler', 'kickern', 'olafscholz'];teamolafscholz;;;liebe Schüler und Schüler, ich freu mich, dass ihr alle so einen großen Empfang möglich gemacht habt, dass ihr 1 bisschen mitgefiebert habt, wie das heute wohl wird. ich hoffe es geht euch Allen gut und ihr habt eine schöne Zeit.;P
7460490612463258902;Welcher bist du? #RTLdirekt #OlafScholz #Bundeskanzler  ;1737030839;DE;282;109818;6173;175;7460490662090148630;['bundeskanzler', 'rtldirekt', 'olafscholz'];teamolafscholz;;;"sich jetz n Emoji aussuchen müssten Gefühlslage grade wenn welchen würden sie nehmen? sie könnten jetz mit Emojis erklären, die mögen sie nich. haben sie noch nie benutzt? so n Emoji am Lindner? so n roten? nein, nein nein also ich krieg viele und ich hab bestimmt auch dreire viermal welche benutzt aber eigentlich nich. ich Mach das nich, finde man kann das mit Worten ausdrücken. sind sie mit Herr Lindner noch in Kontakt oder schreiben sie sich? ich hatte keine Probleme damit, aber wir haben uns jetz schon länger keine SMS geschrieben. okay, ich würd den einmal kurz zeigen. wenn sie sich jetz n Emoji aussuchen müssten Gefühlslage gerade wenn welchen würden sie nehmen? die mit der Sonnenbrille, die mit der Sonnenbrille. warum? weil es geht jetzt darum, cool zu sein und darauf zu setzen, dass es eben wieder gelingt, die Bürger und Bürger, die sich jetzt entscheiden zu überzeugen über das, was für die Zukunft wichtig ist.
";P
