music,count
7.363314838511176e+18,9
7.423291709603514e+18,9
7.277602986661284e+18,8
6.704985044194167e+18,8
7.274048898138032e+18,4
5.000000001448892e+18,4
7.423291709603513e+18,4
7.282498671971781e+18,4
7.265977955342649e+18,3
6.79213699587218e+18,3
7.364506549686258e+18,3
7.299618713351227e+18,3
6.886983165609511e+18,3
7.043672073613937e+18,3
7.29314596295536e+18,3
7.29117963103845e+18,2
7.114519562745597e+18,2
6.850125286504139e+18,2
7.072513628145977e+18,2
7.116400670005873e+18,2
7.320403755933125e+18,2
7.373646270861429e+18,2
6.751218106342836e+18,2
7.413608708486285e+18,2
7.057902164375276e+18,2
7.376285992401865e+18,2
7.347325073645144e+18,1
7.470241414254087e+18,1
7.457232737390366e+18,1
7.31231596784555e+18,1
7.462063893335657e+18,1
7.461992919755525e+18,1
7.458029451529571e+18,1
7.465678446707772e+18,1
7.465404358386093e+18,1
7.46412698636598e+18,1
7.46604409675565e+18,1
7.463134237131066e+18,1
7.029240973515295e+18,1
7.462814214046911e+18,1
7.462740687399669e+18,1
7.462428798735175e+18,1
6.756879114637935e+18,1
7.468731672482106e+18,1
7.468668037562945e+18,1
7.468588347418512e+18,1
7.468455382243986e+18,1
7.471331049831353e+18,1
7.456043610322046e+18,1
7.467584024354e+18,1
7.458345971622104e+18,1
7.45945023468754e+18,1
7.46094243850604e+18,1
7.46094378392075e+18,1
7.460944330825108e+18,1
7.461731008620629e+18,1
7.461732072655506e+18,1
7.473452001666731e+18,1
7.465427615176789e+18,1
7.473525830029004e+18,1
7.473799906143096e+18,1
7.474307449280318e+18,1
7.470551095772089e+18,1
7.470924538342231e+18,1
7.47121942745647e+18,1
7.458727530133097e+18,1
7.465313206128512e+18,1
7.464268023546465e+18,1
7.467930821853335e+18,1
7.466540339923275e+18,1
7.472853961255538e+18,1
7.472439591313231e+18,1
7.470848680916979e+18,1
7.470560035849244e+18,1
7.474239296912952e+18,1
7.473583399983926e+18,1
7.47356107496717e+18,1
7.473552388248849e+18,1
7.46342642315651e+18,1
7.274086596144335e+18,1
6.769046027488987e+18,1
7.460903247516159e+18,1
7.468061706263711e+18,1
7.472715932621245e+18,1
7.467681637599694e+18,1
7.465752115433868e+18,1
7.463938642420305e+18,1
7.459844262697635e+18,1
7.146287651581873e+18,1
7.471264161549356e+18,1
7.473167736152231e+18,1
7.468722104382e+18,1
7.460202187223092e+18,1
7.466972326472732e+18,1
7.469787292761771e+18,1
7.473423110188895e+18,1
7.473473691524812e+18,1
7.473827099334512e+18,1
7.471300935932333e+18,1
7.466110735211367e+18,1
7.463510356590956e+18,1
7.377879840378849e+18,1
7.468228708826975e+18,1
7.469609830773263e+18,1
7.470959417472388e+18,1
7.436485765993007e+18,1
7.457983092541656e+18,1
7.457220153794743e+18,1
7.377892770763639e+18,1
7.377889357443467e+18,1
7.376318632852212e+18,1
7.247205904834284e+18,1
7.472370106102812e+18,1
7.3762885481251e+18,1
7.448464730842368e+18,1
7.44845897234542e+18,1
7.376235687841155e+18,1
7.468704576683445e+18,1
7.462355871637884e+18,1
7.055036307143347e+18,1
7.469580610526039e+18,1
7.466823320283385e+18,1
7.466807075168243e+18,1
7.473108908367433e+18,1
7.471925207876357e+18,1
7.472674195369889e+18,1
7.472477777311452e+18,1
7.472070427800538e+18,1
7.472003090952392e+18,1
7.405656162156612e+18,1
7.471370168641932e+18,1
7.471323898212716e+18,1
7.470873736315047e+18,1
7.470676123538427e+18,1
7.46959042177411e+18,1
7.474528264796524e+18,1
7.463854083372338e+18,1
7.474221343452155e+18,1
7.473774759715835e+18,1
7.473504570913902e+18,1
7.460866582807072e+18,1
7.4593903643785e+18,1
7.467962535469305e+18,1
7.472419122171039e+18,1
7.470476249199169e+18,1
7.47390466094485e+18,1
7.458358438696226e+18,1
7.45677480301429e+18,1
7.460934473578188e+18,1
7.46527001141902e+18,1
7.465006115529756e+18,1
7.471531462093819e+18,1
7.466125034903309e+18,1
7.472269393565617e+18,1
7.37791002495181e+18,1
7.455611018551561e+18,1
7.457461500077477e+18,1
7.473474733338725e+18,1
7.473539208957922e+18,1
7.473576015831354e+18,1
7.473901834664103e+18,1
7.450087529054423e+18,1
7.468709646448004e+18,1
7.470204943693024e+18,1
7.234217459228985e+18,1
7.471051604907134e+18,1
7.471335886671056e+18,1
7.471585632285003e+18,1
7.274147953504537e+18,1
7.459668961181961e+18,1
6.711734511081819e+18,1
7.471697954220051e+18,1
7.468376396345773e+18,1
7.471603646271196e+18,1
7.472820944496446e+18,1
7.473022160309095e+18,1
7.466148817458187e+18,1
7.467498192381562e+18,1
7.467995243938401e+18,1
7.462404569596759e+18,1
7.369308454891932e+18,1
7.465094920782826e+18,1
7.465399357991554e+18,1
7.465699067227573e+18,1
7.460956870227529e+18,1
7.448285731757984e+18,1
7.410154644670106e+18,1
7.471697006056639e+18,1
7.472113928401538e+18,1
7.455670060425677e+18,1
7.457206735800552e+18,1
7.460194301571681e+18,1
7.461961898650209e+18,1
7.455239695171096e+18,1
7.455275265703284e+18,1
7.45567032357387e+18,1
7.456854712294968e+18,1
7.457601102557597e+18,1
7.45979264682797e+18,1
7.230735776047811e+18,1
7.473835945842806e+18,1
7.473848354781269e+18,1
7.47386172047221e+18,1
7.474410274280246e+18,1
7.474550125749308e+18,1
7.460193729128435e+18,1
7.459484980147604e+18,1
7.472709691378896e+18,1
7.276442979119974e+18,1
7.472748932005203e+18,1
7.472788113698704e+18,1
7.472804525857558e+18,1
7.466161281969114e+18,1
7.467913346294648e+18,1
7.468232446048292e+18,1
7.464133799857688e+18,1
7.459312924264271e+18,1
7.464173442686832e+18,1
7.464265457479667e+18,1
7.465103706167168e+18,1
7.465368126339714e+18,1
7.465402921170685e+18,1
7.465779855143964e+18,1
7.470252282368757e+18,1
7.469745682644749e+18,1
7.472639522296139e+18,1
7.471035648479006e+18,1
7.469923215164378e+18,1
7.470118795588275e+18,1
7.470217136271642e+18,1
7.470529346630258e+18,1
7.470586352963177e+18,1
7.470893461584891e+18,1
7.472082587964493e+18,1
7.474156581345857e+18,1
7.47243258644808e+18,1
7.472548793120984e+18,1
7.472746657046613e+18,1
7.472872053968817e+18,1
7.47307646770042e+18,1
7.473249211149274e+18,1
7.474529717924744e+18,1
7.473897870984941e+18,1
7.466115169658113e+18,1
7.459004741264199e+18,1
7.473079837881863e+18,1
7.455350733798608e+18,1
7.467906529216679e+18,1
7.468594536278068e+18,1
7.469379719915032e+18,1
7.46464603927105e+18,1
7.459653067554721e+18,1
7.473648923706871e+18,1
7.460578169390894e+18,1
7.461195914942664e+18,1
7.455608441781571e+18,1
7.456449296737635e+18,1
7.457997517955927e+18,1
7.473539145634024e+18,1
7.466042615092547e+18,1
7.467969173201784e+18,1
7.474130911756766e+18,1
6.770511259797293e+18,1
7.466057713361997e+18,1
7.466870534490491e+18,1
7.467570129581165e+18,1
7.467628819462704e+18,1
7.469511188343393e+18,1
6.795486431130159e+18,1
7.465010419993037e+18,1
7.291297049692229e+18,1
7.277602986661283e+18,1
7.458587427868052e+18,1
7.459064290990853e+18,1
7.457860800150818e+18,1
7.397739530105211e+18,1
7.473483251778751e+18,1
7.472850153403026e+18,1
7.47249339932556e+18,1
7.468719615976295e+18,1
7.465717312646024e+18,1
7.462515373796363e+18,1
7.462784848634121e+18,1
7.390310089196849e+18,1
7.464639657237794e+18,1
7.465000346369134e+18,1
6.817208513685621e+18,1
7.459729013846593e+18,1
7.472299759546535e+18,1
7.459770713306697e+18,1
7.460511929569365e+18,1
7.461922476851858e+18,1
7.45683965980302e+18,1
7.473925398091927e+18,1
7.47131657374663e+18,1
7.457117471045717e+18,1
7.468213927646711e+18,1
7.472755402133097e+18,1
7.473563915789389e+18,1
7.46452436001599e+18,1
7.465736274062724e+18,1
7.457851667008212e+18,1
7.457203968466111e+18,1
7.45752900514777e+18,1
7.458279101293153e+18,1
7.473621720042278e+18,1
7.462653103397965e+18,1
7.473958123440082e+18,1
7.367304814532889e+18,1
7.466189160153075e+18,1
7.465380348589116e+18,1
7.460256437253524e+18,1
7.460282313419542e+18,1
7.463418363109264e+18,1
7.462652635200409e+18,1
7.466064018123131e+18,1
7.1982181187943e+18,1
7.470480673680608e+18,1
7.470861350688787e+18,1
7.471253067451731e+18,1
7.473831526880939e+18,1
