emoji,count
😂,22874
😡,16941
💙,15483
🤣,10976
🖤,8909
👍,6787
🤮,4446
❤️,3272
🥰,2805
🙈,2562
🙏,2111
👎,1927
💯,1795
😳,1768
🇩🇪,1696
🤔,1606
😁,1536
😅,1409
🤡,1406
💪,1318
🤑,1306
😈,1289
😭,1268
💚,1255
👏,1190
😏,975
😱,843
💕,799
😝,725
🩷,667
‼️,660
🔥,647
🤬,629
💗,621
🤥,605
🙄,561
😉,550
🤢,525
🥺,514
😎,507
🥵,497
💀,486
🇺🇦,460
🤪,421
🤨,419
🌹,416
👌,411
😢,390
💩,363
👍🏻,355
💛,344
♥️,339
❤,299
🚨,298
👺,290
💜,267
✅,261
😜,248
🚩,248
😊,234
🩵,233
❗,230
😇,229
✨,221
🤦‍♂️,220
😍,212
🫣,201
✌️,201
😩,197
😫,192
🤝,189
😬,188
☝️,179
🤭,176
🤦,172
🌾,171
💖,168
🦅,162
☺️,160
🤦‍♀️,158
😘,152
♥,151
💓,148
😆,148
🍀,145
😔,138
💞,133
😌,133
🙏🏻,132
🇷🇺,130
👎🏻,128
👑,122
🫡,114
🥳,114
🙃,111
🕊️,109
😞,109
🧐,102
🥱,101
🤗,100
🤦🏻‍♂️,100
🐑,96
🤷‍♂️,96
🤩,93
👿,89
👍🏼,88
😄,88
👀,86
☹️,86
🫵,85
👹,85
🇵🇸,84
😠,81
🌷,77
👈,75
👊,75
😀,75
🥶,75
👏🏻,75
😤,74
⚫,68
❌,68
🤦🏻,66
❓,66
🧱,65
😃,64
🌸,64
💔,64
👇,62
💐,62
😛,61
⚠️,60
💋,58
💎,58
🤦🏻‍♀️,57
💰,57
👎🏼,57
🫶,56
☝🏻,54
😥,54
🙂,53
🤟,52
🚦,48
👽,48
😒,47
🚀,47
😖,46
🤫,45
🤷🏻‍♂️,45
🚪,45
🤯,43
☠️,43
🧡,42
🗿,42
🔵,41
✝️,41
🤲,41
😓,41
🗽,41
🗳,40
🗝️,40
😋,40
🤷,39
🙏🏼,38
💪🏻,38
🫶🏻,37
💘,37
🤦🏼‍♀️,36
💪🏼,36
🇨🇭,35
👎🏿,35
🙉,35
😻,35
⭐,35
🇷🇴,34
😕,33
🐀,33
🥲,33
☝🏼,32
✈️,32
🤧,32
👏🏽,32
💸,31
🤦🏼‍♂️,31
👋,31
🧿,31
😷,30
🥹,30
🎅🏻,30
💥,30
😐,29
🤓,29
🟦,29
🇪🇺,28
🤐,28
🤷‍♀️,28
🚫,28
🦋,28
🥴,28
💉,27
🫂,27
❣️,26
😵‍💫,26
☘️,26
👆,26
👉,26
😪,26
🎓,26
🙊,25
🤦🏽‍♂️,25
💣,25
😑,24
👁️,24
🏭,24
🇺🇸,24
✊,23
🍻,23
🥸,23
🫶🏼,23
🙌,22
🕳️,22
🎄,22
🖕,22
❤️‍🔥,21
🙋,21
💝,21
✔️,21
👍🏽,21
🤦🏽‍♀️,21
🤷🏼‍♂️,21
🍅,20
👏🏼,20
🥒,19
👌🏻,19
🔴,19
⛔,19
🌟,18
😣,18
🎼,17
😶,17
❄️,17
🍪,17
🇮🇱,17
🤎,17
🎉,17
💤,16
🟢,16
🌬️,16
🗳️,16
⚰️,16
🤕,16
🔪,15
🎀,15
🫢,15
🇦🇱,15
😴,15
⁉️,15
🫸🏼,15
🐕,15
🐖,14
🫸,14
😹,14
👻,14
🪦,14
🍌,14
⬛,14
🟡,13
😲,13
🙇,13
🌺,13
♾️,13
🆘,12
⌚,12
⚡,12
🇬🇪,12
🌈,12
🫠,12
🤷🏻‍♀️,12
🦖,12
🍐,12
🚮,12
🤍,12
🫨,12
🕊,12
👣,12
🍔,12
🩶,12
🚬,12
🇦🇫,11
🤷🏼‍♀️,11
🤒,11
😮,11
🪖,11
🧢,11
🦁,11
🆒,11
🌻,11
👎🏽,11
🤦🏾‍♂️,11
🔝,11
🌍,10
🥀,10
🫸🏻,10
🥂,10
🫵🏻,10
🤲🏻,10
🤷🏻,10
😨,10
👃,10
😟,9
🔫,9
🤠,9
🙆‍♂️,9
😵,9
🎱,9
🇹🇷,9
🤝🏻,9
🙁,9
❤️‍🩹,9
🇮🇹,9
💵,9
🤦🏼,9
🎁,9
👇🏾,9
⬇️,9
💌,8
🌿,8
🐏,8
🗣️,8
🧹,8
🙌🏻,8
🙋‍♂️,8
🩸,8
