id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7461299933205250838,2025-01-18 16:55:38,"viel erfolg 
grüße aus meppen",2,0,7461170705158147350,7461170705158147350,neutral
7461224668206711574,2025-01-18 12:03:39,nicht mal als klopapier würde ich das nutzen zum anfeuern vielleicht ,2,0,7461170705158147350,7461170705158147350,negative
7461215712494355222,2025-01-18 11:28:28,du hast schon in dieser kurzen zeit fürs cuxland und stade erreicht hafenerweiterung hast du in kurzer zeit mit umgesetzt ich sage nur hafenerweiterung ,2,0,7461170705158147350,7461170705158147350,neutral
7461702564155409174,2025-01-19 18:57:36,,1,0,7461170705158147350,7461170705158147350,negative
7461197689657721622,2025-01-18 10:18:29,schon wieder wird einer aufgehängt,1,0,7461170705158147350,7461170705158147350,negative
7461181414438634262,2025-01-18 09:15:42,,1,0,7461170705158147350,7461170705158147350,negative
7470099693922894614,2025-02-11 10:03:08,spd steht für raketen für selensky fahrad wege für peru co2 steuer erhöht damit tanken und heizen unbezahlbar gemacht hauptsache immer bunter und immer toleranter,0,0,7461170705158147350,7461170705158147350,neutral
7464191294173872918,2025-01-26 11:55:05,viel erfolg  ,0,0,7461170705158147350,7461170705158147350,positive
7463031748659495702,2025-01-23 08:56:35,die musikdie bildersie feiern sich wie die helden ,0,0,7461170705158147350,7461170705158147350,neutral
7463470469308777238,2025-01-24 13:18:00,pistorius,0,0,7458599029329628418,7458599029329628418,negative
7459867456715653910,2025-01-14 20:15:58,zur info damit ihr wisst warum hier viele blauzis sind die teilen videos gegen die afd in telegram dann kommen sie  kommentieren es sind immer die gleichen blauzis unter verschiedenen videos,0,0,7458599029329628418,7458599029329628418,negative
7458601159991247638,2025-01-11 10:23:21,pistorius kanzler 2029 ,0,0,7458599029329628418,7458599029329628418,neutral
7464660371527582486,2025-01-27 18:15:27,3 jahre haben wir von daniel schneider nichts gehört jetzt zum wahlkampf lässt er sich hernieder um unsere stimmen zu fangen diesmal wird es nicht klappen herr schneider da bin ich mir sicher,1,0,7464620447825448214,7464620447825448214,negative
7466760658097586949,2025-02-02 10:05:23,es läuft derzeit für 2025 überprüfen sie ihre lesbarkeit und erhalten sie oben 6000   telegramm httpstmep_fando2025,0,0,7464620447825448214,7464620447825448214,neutral
