id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7461360671663342358,2025-01-18 20:50:57,die türen haben mich überzeugt und simon ,27,1,7461213839166688534,7461213839166688534,positive
7461376190016799510,2025-01-18 21:50:58, stellwand 1010,15,0,7461213839166688534,7461213839166688534,positive
7461328786152571670,2025-01-18 18:47:00,"habeck4kanzler 
ihr macht einen klasse job",12,0,7461213839166688534,7461213839166688534,positive
7461654542636237590,2025-01-19 15:51:07,deine energie hat mich überzeugt,9,1,7461213839166688534,7461213839166688534,positive
7461944414596989718,2025-01-20 10:36:56,habeck 4 kanzler ,8,0,7461213839166688534,7461213839166688534,negative
7461250944824902422,2025-01-18 13:45:30,viel glück ,6,0,7461213839166688534,7461213839166688534,positive
7461224082262475542,2025-01-18 12:01:20,ich mag die grünen münster ,6,0,7461213839166688534,7461213839166688534,positive
7461696559015658242,2025-01-19 18:34:18,"damit sind wohl alle fragen beantwortet 
deswegen habeck ins kanzleramt ",5,0,7461213839166688534,7461213839166688534,neutral
7461305999174402838,2025-01-18 17:18:41,herrlich trocken ich liebs,4,0,7461213839166688534,7461213839166688534,positive
7461944365906035478,2025-01-20 10:36:47,team habeck ,3,0,7461213839166688534,7461213839166688534,negative
7461762354649416470,2025-01-19 22:49:53,jawoll genau mein humor ,3,0,7461213839166688534,7461213839166688534,positive
7461594293216936726,2025-01-19 11:57:23,am besten gefällt mir der eine parkplatz wo sind die plätze für lastenfahrräder,3,1,7461213839166688534,7461213839166688534,positive
7461286500757668630,2025-01-18 16:03:20,krass dynamisch ,3,0,7461213839166688534,7461213839166688534,positive
7461722221074596630,2025-01-19 20:13:47,,2,0,7461213839166688534,7461213839166688534,negative
7461254815961318167,2025-01-18 14:00:13,,2,0,7461213839166688534,7461213839166688534,negative
7487341699287909142,2025-03-29 21:09:53,ich liebs,1,0,7461213839166688534,7461213839166688534,positive
7481579049622930198,2025-03-14 08:28:09,wir von den grünen bornheim haben auch türen fast so schöne wie bei euch,1,0,7461213839166688534,7461213839166688534,neutral
7479023629737476886,2025-03-07 11:11:42,genial ,1,0,7461213839166688534,7461213839166688534,positive
7469401349915345686,2025-02-09 12:52:45,beide stimmen grün für fortschritt ,1,0,7461213839166688534,7461213839166688534,neutral
7463423978976183062,2025-01-24 10:17:46,also bei der türe hatten sie mich ,1,0,7461213839166688534,7461213839166688534,neutral
7461904889368920854,2025-01-20 08:04:10,,1,0,7461213839166688534,7461213839166688534,negative
7461774760411267862,2025-01-19 23:38:44,ist raus ,1,0,7461213839166688534,7461213839166688534,negative
7461650813963272982,2025-01-19 15:36:49,,1,0,7461213839166688534,7461213839166688534,negative
7461638024431600406,2025-01-19 14:47:13,you hat me ab parkplatzt ,1,0,7461213839166688534,7461213839166688534,negative
7461566770710332182,2025-01-19 10:10:55,robert habeck 4 kanzler ,1,0,7461213839166688534,7461213839166688534,neutral
7461423544506499862,2025-01-19 00:56:35,,1,0,7461213839166688534,7461213839166688534,negative
7461348908125651734,2025-01-18 20:05:31,,1,0,7461213839166688534,7461213839166688534,negative
