id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7461399743622988566,2025-01-18 23:23:12,sehr ungewöhnlich in deutschland dass zusammen gesungen wird aber ich mag es sehr ,4039,10,7461359757652135190,7461359757652135190,positive
7465436567398695702,2025-01-29 20:27:08,euer erstes ich habe es gehasst in der ddr den müll zu singen ihr habt sie doch nicht mehr alle spinner,2897,63,7461359757652135190,7461359757652135190,negative
7461550877289169686,2025-01-19 09:09:21,zum glück unter 5,2848,40,7461359757652135190,7461359757652135190,negative
7461398592185189142,2025-01-18 23:18:24,ist das unangenehm,2484,8,7461359757652135190,7461359757652135190,negative
7462279177430827798,2025-01-21 08:16:20,das klingt doch viel menschlicher und friedlicher als deutschland deutschland über alles nur die linke denkt an dich,2214,90,7461359757652135190,7461359757652135190,neutral
7467274650180420374,2025-02-03 19:19:54,es leben die neuen nazis,1195,35,7461359757652135190,7461359757652135190,neutral
7461526859713659670,2025-01-19 07:36:16,da gruselt es mich ,1130,5,7461359757652135190,7461359757652135190,negative
7461551921154032406,2025-01-19 09:12:59,liebe die energie  nach der ampel links ist nicht nur die beste option sondern eine lebenseinstellung ,1125,6,7461359757652135190,7461359757652135190,neutral
7461596468261487383,2025-01-19 12:05:51,deswegen ,1020,21,7461359757652135190,7461359757652135190,negative
7461419813115462422,2025-01-19 00:41:53,die hälfte is sogar da zu blöd für den text ,943,58,7461359757652135190,7461359757652135190,negative
7461610434219508502,2025-01-19 12:59:55,bunt ist das wahre braun,863,20,7461359757652135190,7461359757652135190,neutral
7461404815219737366,2025-01-18 23:42:55,hoch die internationale solidarität ,826,10,7461359757652135190,7461359757652135190,neutral
7461629138056856342,2025-01-19 14:13:03,blau war schon immer meine lieblingsfarbe,794,31,7461359757652135190,7461359757652135190,positive
7461579485809263382,2025-01-19 10:59:49,was macht anastasia grey da,719,18,7461359757652135190,7461359757652135190,negative
7461518392248369942,2025-01-19 07:03:42,"




",709,73,7461359757652135190,7461359757652135190,negative
7461406761720496918,2025-01-18 23:50:24,"
linke
",633,0,7461359757652135190,7461359757652135190,negative
7461363008288342806,2025-01-18 20:59:51,161,548,0,7461359757652135190,7461359757652135190,positive
7462286493571203862,2025-01-21 08:44:02,ganz ehrlich ich bin auch kein freund der linken aber manche kommentare sind einfach absurd das ist demokratie auch akzeptieren wenn jemand eine andere partei wähltaber sowas verlernen menschen,423,13,7461359757652135190,7461359757652135190,negative
7461524757558461206,2025-01-19 07:28:34,geht einem das herz auf ,415,0,7461359757652135190,7461359757652135190,positive
7461398334769709846,2025-01-18 23:17:46,immer ärgerlich wenn sozialdemokraten die internationale singen,407,45,7461359757652135190,7461359757652135190,negative
7461396750013989654,2025-01-18 23:11:37,das lied hat unser lehrer mit uns gehört ,401,4,7461359757652135190,7461359757652135190,neutral
