id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7460970133747057430,2025-01-17 19:35:22,lieber ein haus im grünen als einen grünen im haus,9,6,7460967230038101270,7460967230038101270,negative
7460987571448464150,2025-01-17 20:43:04,Fangen sie Mal an nach zu denken,3,1,7460967230038101270,7460967230038101270,neutral
7460991130500023062,2025-01-17 20:56:53,"Random Fact Was wäre passiert wenn wir die AKW weiter betrieben hätten
Für Haushalte wäre das ein um 03 Cent je KWstunde geringerer Preis ein Rückgang von nicht einmal einem Prozent
Grün wirkt ",2,0,7460967230038101270,7460967230038101270,neutral
7461615453553066774,2025-01-19 13:19:55,,1,0,7460967230038101270,7460967230038101270,negative
7461230892523406102,2025-01-18 12:27:17,Magdeburg lässt grüßen ,1,0,7460967230038101270,7460967230038101270,neutral
7461050677234582294,2025-01-18 00:49:26,,1,0,7460967230038101270,7460967230038101270,negative
7462724134909608726,2025-01-22 13:01:51,Ab Februar sollten wir dann mal wichtige Themen in den Fokus stellen,0,0,7460967230038101270,7460967230038101270,neutral
7461230777515524886,2025-01-18 12:26:51,Grüne niemals ,0,0,7460967230038101270,7460967230038101270,negative
7461193867270914838,2025-01-18 10:03:36,Und der Schnee ist zu warm,0,0,7460967230038101270,7460967230038101270,positive
7461116266842571542,2025-01-18 05:06:35,Der Schnee ist jetzt wärmer als früher ,0,0,7460967230038101270,7460967230038101270,neutral
7461067807360271126,2025-01-18 01:59:23,Ich sehe Sie nichts fürs Klima machenaußer labern,0,1,7460967230038101270,7460967230038101270,negative
7461015210424959767,2025-01-17 22:30:52,Hitze Starkregen Trockenzeiten Kälte Stellen Sie sich mal vor das ist das normale Wetter in Deutschland Es heißt Die vier Jahreszeit  ,0,0,7460967230038101270,7460967230038101270,negative
7461003719346766614,2025-01-17 21:45:44,Oh Gott es schneit im Winter Das ist der Klimawandel,0,0,7460967230038101270,7460967230038101270,negative
7460998401887847190,2025-01-17 21:25:03,Ich stehe für eine vielfältige Gesellschaft in der wir beim Kolbenmotor Schutz auf Kurs bleiben  Benzin 125 Euro pro Liter kostet und Fleisch für alle bezahlbar bleibt,0,0,7460967230038101270,7460967230038101270,neutral
7460970185568387862,2025-01-17 19:35:50,Frag mal Herrn Ohlinger wenn er noch lebt ,0,0,7460967230038101270,7460967230038101270,neutral
7473408035173204742,2025-02-20 08:00:45,,0,0,7460508623794457878,7460508623794457878,negative
7461188317364126487,2025-01-18 09:42:03,,0,0,7460508623794457878,7460508623794457878,negative
7461153525561754390,2025-01-18 07:27:26,Greentology  haut ab ,0,0,7460508623794457878,7460508623794457878,negative
7460550223372649238,2025-01-16 16:26:13,Wenn ich in die Zukunft seh dann seh ich nur noch AfD ,0,1,7460508623794457878,7460508623794457878,negative
7460523599842083606,2025-01-16 14:42:34,"Grüne machen ZumunftsPolitik
",0,1,7460508623794457878,7460508623794457878,negative
7460119359894192918,2025-01-15 12:34:04,viel Erfolg ,4,1,7460088321738509591,7460088321738509591,positive
7460114183049790241,2025-01-15 12:13:38,Wie sieht es mit einer Schwebebahn Verlängerung aus Die Straßenbahn hat man leider vor Jahren abgeschafft obwohl diese der Zeit voraus und modern war,3,0,7460088321738509591,7460088321738509591,negative
7460124754868863766,2025-01-15 12:55:14,ich wähle keine Sekte,1,7,7460088321738509591,7460088321738509591,neutral
7461190434915025687,2025-01-18 09:50:44,,0,0,7460088321738509591,7460088321738509591,negative
7460808707720315670,2025-01-17 09:10:01,Viel Erfolg und viel Spaß beim Wahlkampf ,0,0,7460088321738509591,7460088321738509591,positive
7460184977553228566,2025-01-15 16:48:34,haben die Grünen aber nicht geschaffen ,0,1,7460088321738509591,7460088321738509591,neutral
7460182108263465750,2025-01-15 16:37:25,kommen Schoko wuppis eigentlich aus Wuppertal ich kenn die von Bäcker in Berlin ,0,0,7460088321738509591,7460088321738509591,neutral
7460136843191812886,2025-01-15 13:41:44,,0,1,7460088321738509591,7460088321738509591,negative
7459441911842145046,2025-01-13 16:44:40,Unwählbar Nein Danke,20,2,7459426982900682006,7459426982900682006,negative
7459454881394688790,2025-01-13 17:35:08,meine Schüler wählen alle blau,15,3,7459426982900682006,7459426982900682006,negative
7459510863863972630,2025-01-13 21:12:16,Dann sagt den Kindern auch dass Wälder für Windräder abgeholzt werden ,8,0,7459426982900682006,7459426982900682006,neutral
7459439294722360086,2025-01-13 16:34:32,Lohnt es sich denn noch,8,1,7459426982900682006,7459426982900682006,positive
7459551555016999702,2025-01-13 23:50:44,Niemals grün,6,2,7459426982900682006,7459426982900682006,negative
7459459735449633558,2025-01-13 17:53:49,Man siehts einfach sofort ,6,1,7459426982900682006,7459426982900682006,positive
7459437646994293526,2025-01-13 16:28:08,Wenn ich in die Zukunft seh dann seh ich nur noch AfD ,5,5,7459426982900682006,7459426982900682006,negative
7459429462921921302,2025-01-13 15:56:33,dürfen da alle Bundestag Kandidaten an den Schulen präsentieren,5,5,7459426982900682006,7459426982900682006,neutral
7459513176767791894,2025-01-13 21:21:26,Bald Geschichte,4,1,7459426982900682006,7459426982900682006,neutral
