id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7458023744284934934,2025-01-09 21:01:24,,2,0,7457576634502155542,7457576634502155542,negative
7458023704255546134,2025-01-09 21:01:20,,2,0,7457576634502155542,7457576634502155542,negative
7458388995472294678,2025-01-10 20:39:31,,1,0,7457576634502155542,7457576634502155542,negative
7457273896187478806,2025-01-07 20:31:36,,1,1,7457203118082641174,7457203118082641174,negative
7457212521725199126,2025-01-07 16:33:27,atomstrom ja bitte,1,2,7457203118082641174,7457203118082641174,negative
7457281625077646102,2025-01-07 21:01:34,team habeck,0,0,7457203118082641174,7457203118082641174,negative
7457261255783842582,2025-01-07 19:42:33,und pferdekutschen ganz viele,0,0,7457203118082641174,7457203118082641174,positive
7455402395201323798,2025-01-02 19:29:15,grün bei 1 hoffe ich,95,1,7455320770936409366,7455320770936409366,negative
7455398762564322070,2025-01-02 19:15:06,zuversicht mit grüner politik wohl der größte witz im neuen jahr ,82,0,7455320770936409366,7455320770936409366,negative
7455354158905803542,2025-01-02 16:22:08,"seit wann denkt der an die menschen bisher hat er alles getan damit die menschen verarmen
nach der wahl ist eh alles wieder vergessen",80,3,7455320770936409366,7455320770936409366,negative
7455321891362210562,2025-01-02 14:16:53, nö  ein witz ,80,0,7455320770936409366,7455320770936409366,negative
7455417673536963350,2025-01-02 20:28:34,der wirtschaftsminister der alles an die wand gefahren hat,47,1,7455320770936409366,7455320770936409366,neutral
7455351847206585110,2025-01-02 16:13:08, in 2 monaten die grünen wieder in der opposition,44,1,7455320770936409366,7455320770936409366,neutral
7455423355825013526,2025-01-02 20:50:34,der gewinnt mit abstand den comedypreis,39,0,7455320770936409366,7455320770936409366,neutral
7455915204661150496,2025-01-04 04:40:27,alice kanzlerin ,19,0,7455320770936409366,7455320770936409366,positive
7455324743186236193,2025-01-02 14:27:50,es sind die menschen  genau so ist es robert wählen,19,0,7455320770936409366,7455320770936409366,neutral
7455323268867048214,2025-01-02 14:22:12,yess zeit für kanzlerera mit robert  damit endlich gescheid schwung in den landen kommt ,18,9,7455320770936409366,7455320770936409366,neutral
7455680313970279190,2025-01-03 13:27:50,wer jetzt nichts verstanden hat hat auch später keine zukunft  meine ist gesichert grün ein nogo ,15,0,7455320770936409366,7455320770936409366,negative
7455323596103156513,2025-01-02 14:23:34, lets gooo,15,1,7455320770936409366,7455320770936409366,negative
7455532997924684566,2025-01-03 03:57:12,talkshow kann er gut mit dem rest hapert es,14,0,7455320770936409366,7455320770936409366,negative
7455323179087774486,2025-01-02 14:21:49,es wird kein grün gewählt und fertig,14,1,7455320770936409366,7455320770936409366,neutral
7455449928694678294,2025-01-02 22:33:44,der insolvenzenwirtschartminster schön weiter so,13,3,7455320770936409366,7455320770936409366,positive
7455441702007784225,2025-01-02 22:01:43,durch die co2 steuer ab 2025 werden strom gas diesel benzin heizöl und fernwäme teurer händler und dienstleister geben die kosten an andere unternehmen und endkunden weiter,13,2,7455320770936409366,7455320770936409366,neutral
7455328299381441302,2025-01-02 14:41:49,yes,13,0,7455320770936409366,7455320770936409366,positive
7455642831467135766,2025-01-03 11:02:19,ihr habt schon geschicht geschrieben die mieseste politik aller zeiten ,12,0,7455320770936409366,7455320770936409366,negative
7455465302185362209,2025-01-02 23:34:32,ihr wart nix ihr seid nix und ihr werdet für immer nix sein ,12,0,7455320770936409366,7455320770936409366,negative
7455349679904752407,2025-01-02 16:04:40,"meine güte das soll wahlkampf sein 
der start schon ein flops  wir haben das wärmste jahr hinter uns ",12,0,7455320770936409366,7455320770936409366,negative
7455325751920788256,2025-01-02 14:31:54,ich glaube daran teamrobert,12,0,7455320770936409366,7455320770936409366,negative
7455344830001726230,2025-01-02 15:45:53,immer glücklich und am lachenwers glaubt ,11,0,7455320770936409366,7455320770936409366,positive
7455683248264053526,2025-01-03 13:39:10,hochmut kommt vor dem fall,10,0,7455320770936409366,7455320770936409366,neutral
7455442420433191703,2025-01-02 22:04:33,nö,9,0,7455320770936409366,7455320770936409366,negative
7455405972967916310,2025-01-02 19:43:10,habeck ist der einzige der wirklich ein konzept hat was er tun will und vor allen dingen wie er es umsetzen will dabei ist er auch noch ein vorbild für den respekt vor menschen habeck4kanzler,9,11,7455320770936409366,7455320770936409366,neutral
7455372052419101462,2025-01-02 17:31:32,auf jeden fall teamrobert,9,0,7455320770936409366,7455320770936409366,positive
7455346196879377174,2025-01-02 15:51:12,neustartklar auf in den wahlkampf teamrobert kanzlerera,9,0,7455320770936409366,7455320770936409366,neutral
7455327871893635862,2025-01-02 14:40:05,witzig ,9,0,7455320770936409366,7455320770936409366,positive
7456156406652371734,2025-01-04 20:15:08,gott bewahre ,8,0,7455320770936409366,7455320770936409366,neutral
7455679179352458006,2025-01-03 13:23:27,um es nach fj strauss zu sagen die grünen sind wie eine wassermelone nach außen grün innen rot und im kern braun  mein gott hat er recht gehabt ,8,0,7455320770936409366,7455320770936409366,neutral
7455478181291770646,2025-01-03 00:23:35,"jetzt ist schluss  bitte licht ausund tür zu 
es ist mittlerweile einfach nur noch unerträglich ",8,0,7455320770936409366,7455320770936409366,negative
7455412518863127318,2025-01-02 20:08:37, ab in die zukunft  2025 wird ein jahr voll hoffnung menschlichkeit und stärke,8,1,7455320770936409366,7455320770936409366,neutral
7455384489519645462,2025-01-02 18:19:44,wir schreiben 2025 große geschichte  habeck4kanzler,8,8,7455320770936409366,7455320770936409366,neutral
7455504908796904214,2025-01-03 02:07:32,haufn,7,0,7455320770936409366,7455320770936409366,negative
7455434940503917334,2025-01-02 21:35:29,komm ins teamrobert ,7,1,7455320770936409366,7455320770936409366,positive
7455329761076003606,2025-01-02 14:47:33,prima schilder hoch halten kügelchen spielen und wann wird endlich politik gemacht drum afd,7,5,7455320770936409366,7455320770936409366,positive
7455327169741996822,2025-01-02 14:37:21,wir glaubenaber nicht an die grünen die müssen weg,7,1,7455320770936409366,7455320770936409366,negative
7455324352276923158,2025-01-02 14:26:24,"noch länger rezession und wohlstandsverlust
ne lass mal",7,1,7455320770936409366,7455320770936409366,negative
7468997824077611798,2025-02-08 10:47:04,nicht wählbar,6,0,7455320770936409366,7455320770936409366,negative
7456229897075720982,2025-01-05 01:00:50,mit grün gibt es keine zuversicht ,6,0,7455320770936409366,7455320770936409366,neutral
7455479984140960534,2025-01-03 00:30:26,teamhabeck ,6,0,7455320770936409366,7455320770936409366,negative
7455325554725241622,2025-01-02 14:31:05,ich möchte keinen talkshowkanzler,6,0,7455320770936409366,7455320770936409366,neutral
7455666356181844758,2025-01-03 12:33:34,für menschlichkeit und miteinander ,5,0,7455320770936409366,7455320770936409366,neutral
7455417325450330902,2025-01-02 20:27:06,oh gott,5,0,7455320770936409366,7455320770936409366,negative
7469059095800529686,2025-02-08 14:44:58,nicht wählbar,4,0,7455320770936409366,7455320770936409366,negative
7455919768747918102,2025-01-04 04:58:17,nie wieder insolvenz nur noch pleiten,4,0,7455320770936409366,7455320770936409366,negative
7455379824892560150,2025-01-02 18:01:44,tierschutzpartei wählen der tiere wertschätzt ,4,0,7455320770936409366,7455320770936409366,neutral
7455331017004679958,2025-01-02 14:52:14,dann wählen diese menschen afd und nicht diese trümmertruppe,4,1,7455320770936409366,7455320770936409366,neutral
7456076943244444438,2025-01-04 15:06:58,die ergebnisse werden wir die nächsten jahre noch spüren,3,0,7455320770936409366,7455320770936409366,neutral
7456035644155740961,2025-01-04 12:26:50,menschen sind ihnen doch egal herr habeck das geld ist ihnen wichtiger sie sind tick tock politiker sonst nichts,3,0,7455320770936409366,7455320770936409366,negative
7455915138430173985,2025-01-04 04:40:12,bla bla,3,0,7455320770936409366,7455320770936409366,negative
7455718046095704865,2025-01-03 15:54:03,2025 bringen wir unser land wieder nach vorne teamhabeck ,3,0,7455320770936409366,7455320770936409366,neutral
7455684922428654358,2025-01-03 13:45:45,komisch das man allen ansieht das es grüne sind,3,0,7455320770936409366,7455320770936409366,negative
7455606205563044630,2025-01-03 08:40:19,,3,0,7455320770936409366,7455320770936409366,negative
7455596771910091542,2025-01-03 08:03:39,was hat helmut schmidt gesagt,3,0,7455320770936409366,7455320770936409366,neutral
7455524393725707030,2025-01-03 03:23:34,wir haben die kraft der veränderungen die letzten drei jahre gesehen,3,0,7455320770936409366,7455320770936409366,neutral
7455394659507913494,2025-01-02 18:59:16,weg mit der grünen seuche ,3,0,7455320770936409366,7455320770936409366,neutral
7455382563013575446,2025-01-02 18:12:19,unerträglich,3,0,7455320770936409366,7455320770936409366,negative
7455380250327859990,2025-01-02 18:03:13,was er am besten kann ist mitbürger denunzieren,3,0,7455320770936409366,7455320770936409366,neutral
7455344044660687638,2025-01-02 15:42:54,da sieht man die auswirkungen verfehlter bildungspolitik,3,0,7455320770936409366,7455320770936409366,neutral
7465435513147851542,2025-01-29 20:22:59, dieser mann strotzt vor hass,2,0,7455320770936409366,7455320770936409366,negative
7462503087191573270,2025-01-21 22:44:46,diese partei geht gar nicht kaufen lieber waffen als bäume ,2,0,7455320770936409366,7455320770936409366,negative
7458729322615128854,2025-01-11 18:39:50,in lüneburg und in göttingen kamen nicht alle in den raum ist klasse dass sie viele kommen aber organisiert mal für draußen zumindest lautsprecher übertragung und möglichst auch ein streaming,2,1,7455320770936409366,7455320770936409366,neutral
7456469375928189728,2025-01-05 16:29:43,ich frage mich hin und wieder wer mehr menschen verurteilt oder anzeigen lassen hat war es a robert habeck oder b vladimir putin ,2,0,7455320770936409366,7455320770936409366,neutral
7456415078536692502,2025-01-05 12:59:00,bla bla bla bla bla bla,2,0,7455320770936409366,7455320770936409366,negative
7456090913363198722,2025-01-04 16:01:01,wie sie doch sagten die bevölkerung interessiert sie nicht,2,2,7455320770936409366,7455320770936409366,neutral
7455822225423237910,2025-01-03 22:38:28,nie nie,2,0,7455320770936409366,7455320770936409366,negative
7455693261823853334,2025-01-03 14:18:00,diese geld giergeld zum fenster raus schmeissen das könse,2,0,7455320770936409366,7455320770936409366,negative
