id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7457309728872710934,2025-01-07 22:50:47,die linke ist die einzige partei wo ich sage dass ich mir sicher bin dass sie tatsächlich ihr wahlprogramm anpacken würde,8508,49,7457161607731285281,7457161607731285281,neutral
7457171546257720086,2025-01-07 13:54:38,heidi for bundeskanzler,5087,8,7457161607731285281,7457161607731285281,neutral
7457573264647357206,2025-01-08 15:53:19,when nothing goes right go left ,1663,0,7457161607731285281,7457161607731285281,negative
7457164235718755095,2025-01-07 13:26:03,ich sag nur ne 35 quadratmeter wohnung für 700 plus nochmal 150 nebenkosten top wer kann sich sowas leisten,1507,32,7457161607731285281,7457161607731285281,positive
7457326520215438102,2025-01-07 23:56:19,heidi bitte rette uns ,1161,6,7457161607731285281,7457161607731285281,negative
7457218847449858838,2025-01-07 16:58:09,hier fehlt das meme von emmy russ ja dann mach mal mach mal ja dann mach doch mal ,1101,3,7457161607731285281,7457161607731285281,negative
7457166127866348310,2025-01-07 13:33:34,diese neue linke spitze und die social media präsenz einfach nur geil hoffentlich schaffen wir es bald endlich mal ein sozialstaat zu werden und irgendwann vielleicht sogar sozialistisch,903,5,7457161607731285281,7457161607731285281,positive
7462266757093475094,2025-01-21 07:27:35,brooklyn und linke when rettet ihn vor olaf,414,1,7457161607731285281,7457161607731285281,neutral
7457162545038164758,2025-01-07 13:19:36,"boah es fühlt illegal an so früh zu sein
wir lieben dich heidi",361,0,7457161607731285281,7457161607731285281,neutral
7457203358995989270,2025-01-07 15:57:57,ich liebe dieses duo,322,1,7457161607731285281,7457161607731285281,positive
7457599640202298134,2025-01-08 17:35:45,deshalb blau,277,141,7457161607731285281,7457161607731285281,negative
7466023392711688982,2025-01-31 10:25:26,besser scholz als merz,214,3,7457161607731285281,7457161607731285281,positive
7457162944649642774,2025-01-07 13:21:09,fakten werden hier gesprochen,204,2,7457161607731285281,7457161607731285281,neutral
7457311632185574166,2025-01-07 22:58:19,ich hoffe dass sie irgendwann bundeskanzlerin wird,131,1,7457161607731285281,7457161607731285281,neutral
7457266877578937111,2025-01-07 20:04:24,vorhin erst gesehen 2 zimmer wohnung 40qm 1300 warm ,124,13,7457161607731285281,7457161607731285281,negative
7458236450872492823,2025-01-10 10:48:14,two icons spitting facts,121,0,7457161607731285281,7457161607731285281,negative
7459165994260808470,2025-01-12 22:54:25,einfach brooklyn omg ,93,0,7457161607731285281,7457161607731285281,positive
7457936904840708886,2025-01-09 15:24:29,heidi for bundeskanzlerin,84,4,7457161607731285281,7457161607731285281,neutral
7457165127491601174,2025-01-07 13:29:44,ich liebe sie ,77,0,7457161607731285281,7457161607731285281,positive
7460938480480518934,2025-01-17 17:32:48,ach und ihr könnts besser,76,23,7457161607731285281,7457161607731285281,negative
7457404853788508950,2025-01-08 05:01:13,ja wird neu gebaut da bekommt man dann ne 25 zimmer wohnung 40qm für 1600 super,71,7,7457161607731285281,7457161607731285281,negative
7457649313502675734,2025-01-08 20:48:19,also meiner familie und mir bringen die neugebauten wohnungen ob sozial oder nicht gar nichts die mieten sind so exorbitant hoch dass wir uns das mit zwei vollverdienern nicht leisten können,65,6,7457161607731285281,7457161607731285281,negative
7457176737903952662,2025-01-07 14:14:44,unter 1200 nichts in der umgebung für eine familie mit kind wo soll das bezahlbar sein,51,0,7457161607731285281,7457161607731285281,negative
7461659968208765718,2025-01-19 16:12:30,heidi for bundeskanzlerin ,40,0,7457161607731285281,7457161607731285281,neutral
7457235950109836054,2025-01-07 18:04:24,olaf hat vergessen das macht er gut,38,0,7457161607731285281,7457161607731285281,neutral
7457163080401879841,2025-01-07 13:21:41,bin aktuell auf wohnungssuche und es ist die reinste hölle hab bei der letzten wahl schon links gewählt und werde es auf jeden fall wieder tun ,30,2,7457161607731285281,7457161607731285281,negative
7457162888211776278,2025-01-07 13:21:03,wer hat uns verraten,30,9,7457161607731285281,7457161607731285281,negative
7457163383035757314,2025-01-07 13:22:57,wie kann man nicht verstehen dass es nicht in ordnung ist mit wohnungen an die börse zu gehen heidi in top,28,0,7457161607731285281,7457161607731285281,neutral
7463076222782161686,2025-01-23 11:48:57,olaaaf schooolz ,24,0,7457161607731285281,7457161607731285281,negative
7457516964375986946,2025-01-08 12:14:57,werden gebautaber nicht für die bürger ,23,2,7457161607731285281,7457161607731285281,neutral
7459971873053623072,2025-01-15 03:02:16,die linke ,21,0,7457161607731285281,7457161607731285281,neutral
7457516092039562006,2025-01-08 12:11:32,sehr stark ,21,0,7457161607731285281,7457161607731285281,positive
7467095888394814230,2025-02-03 07:47:17, sei flink wähl pink ,19,0,7457161607731285281,7457161607731285281,neutral
7457991156283966230,2025-01-09 18:54:56,olaf scholz,19,0,7457161607731285281,7457161607731285281,negative
7457419553851458326,2025-01-08 05:57:13,random ideee aber wie viele mietwohnungen stehen denn leer warum werden die vermieter nicht zum vermieten gedrängt,16,12,7457161607731285281,7457161607731285281,negative
7457778840732943126,2025-01-09 05:12:01,die können schon bauen aber 20 euroqm ist perverswer arbeitet sollte sich ne anständige wohnung leisten können ohne zu verarmen,13,0,7457161607731285281,7457161607731285281,neutral
7457474505177350934,2025-01-08 09:30:31,heidi for bundeskanzlerin ,13,0,7457161607731285281,7457161607731285281,neutral
7457463957626290966,2025-01-08 08:49:42,wir trauen uns net aus unserer wohnung auszuziehen wir sind noch relativ günstig  63 quadratmeter 3zimmer für 550 euro  würden gerne 80 quadratmeter aber da zahlt man schnell 15001800 ,13,7,7457161607731285281,7457161607731285281,negative
7463021963070784278,2025-01-23 08:18:12,die miete meiner mutter ist in 6 monaten um 400 gestiegen  nichts mit fairen preisen vom scholz,12,0,7457161607731285281,7457161607731285281,neutral
7462306779419181846,2025-01-21 10:02:50,"
linke2025
",9,0,7457161607731285281,7457161607731285281,neutral
7457452653435126550,2025-01-08 08:05:39,könnt ihr bitte kanzlerinnen sein ,9,0,7457161607731285281,7457161607731285281,negative
7457168459437622038,2025-01-07 13:42:31,im februar die linke wählen wir haben es in der hand auf gehts ,9,0,7457161607731285281,7457161607731285281,neutral
7468870085105517334,2025-02-08 02:34:16,"
𝗞𝗔𝗡𝗭𝗟𝗘𝗥𝗜𝗡2025
mama heidi
",8,0,7457161607731285281,7457161607731285281,positive
7457178062132904726,2025-01-07 14:19:42,scholz ohr habt sogar geld bekommen um wohnungen zu bauen aber das haben sie selbst ausgegeben wie immer ist nichts passiert,8,2,7457161607731285281,7457161607731285281,neutral
7457167826374935318,2025-01-07 13:40:06,die spd hatte seit dem aussetzen der vermögenssteuer zehn jahre zeit um diese wieder einzusetzen und ja dabei geht es um immobilien das sagt schon alles über die seeheimer kreispartei,8,0,7457161607731285281,7457161607731285281,neutral
7457656799832818454,2025-01-08 21:17:29,wir brauch dieses powerfrauen duo ,7,0,7457161607731285281,7457161607731285281,neutral
7457206366919885590,2025-01-07 16:09:36,ate,7,0,7457161607731285281,7457161607731285281,negative
7473438071405511426,2025-02-20 09:57:16,hahahaha brooklyn,6,0,7457161607731285281,7457161607731285281,positive
7470651322363577110,2025-02-12 21:43:12,"
linke 2025
",6,0,7457161607731285281,7457161607731285281,neutral
7470578152734769942,2025-02-12 16:59:19,"
linke2025
",6,0,7457161607731285281,7457161607731285281,neutral
7470483829046215426,2025-02-12 10:53:41,wählt dein instinkt wählt du pink,6,0,7457161607731285281,7457161607731285281,negative
7469360184269701910,2025-02-09 10:13:17,"
linke2025
",6,0,7457161607731285281,7457161607731285281,neutral
7457886392322048790,2025-01-09 12:08:39,ich liebe sie einfach,6,0,7457161607731285281,7457161607731285281,positive
7457333254141477654,2025-01-08 00:22:42,ey ihr seid im spektrum eine wichtige partei und ihr habt recht was dkeses problem angeht aber es lag an den hohen kreditzinsen baukosten und fachkräftemangel diese waren großteils extern bedingt,6,1,7457161607731285281,7457161607731285281,neutral
7457296479876449046,2025-01-07 21:59:19,das was ihr sagtverspricht könnt ihr auch nicht alles durch ziehen und würde auch nicht alles gehen ,6,21,7457161607731285281,7457161607731285281,negative
7457211180612911894,2025-01-07 16:28:11,wohnungen bauen hat er wohl auch vergessen,6,0,7457161607731285281,7457161607731285281,neutral
7457187540761248514,2025-01-07 14:56:31,miete is hoch sozialbeiträge auch verdiene jetzt noch weniger als azubi danke dafür ,6,1,7457161607731285281,7457161607731285281,negative
7468396869325669142,2025-02-06 19:54:45,,5,1,7457161607731285281,7457161607731285281,negative
7463184645263344406,2025-01-23 18:48:50,wie kann man so cool sein,5,0,7457161607731285281,7457161607731285281,positive
7462766153147515650,2025-01-22 15:45:09,mach doch maaaal,5,0,7457161607731285281,7457161607731285281,positive
7459895012961829654,2025-01-14 22:03:09,heidi my queen,5,0,7457161607731285281,7457161607731285281,positive
7457607189538571030,2025-01-08 18:05:03,der olaf ist auch bald vorbei,5,0,7457161607731285281,7457161607731285281,neutral
7457481978629456662,2025-01-08 09:59:34,eins der wichtigsten themen für die menschen und was machen die sozen ich glaub denen kein wort mehr nach der ampel nur links,5,3,7457161607731285281,7457161607731285281,neutral
7457191584766034710,2025-01-07 15:12:12,mag sein dass von der spd nicht ausreichend getan wurde aber bei cdu sehe ich nichts dergleichen die meinen der markt reguliert sich von allein damit es sozial bleibt brauch es die spd,5,10,7457161607731285281,7457161607731285281,negative
7466497174717694742,2025-02-01 17:02:53,eure wahlversprechen sind alle unrealistisch ,4,2,7457161607731285281,7457161607731285281,negative
7463667837493068566,2025-01-25 02:07:35,kann es kaum erwarten euch zu wählen ,4,0,7457161607731285281,7457161607731285281,negative
