id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7457583941623907095,2025-01-08 16:34:50,dieser ganze Druck nur noch funktionieren zu müssen machen krank,5273,16,7457566668110204162,7457566668110204162,neutral
7457644787486262039,2025-01-08 20:30:54,Eure Politik macht uns krank,4753,22,7457566668110204162,7457566668110204162,negative
7457651578503856898,2025-01-08 20:57:14,Ich geh nicht mehr arbeiten wenn ich krank bin Punkt,2284,21,7457566668110204162,7457566668110204162,neutral
7457639231730238230,2025-01-08 20:09:17,Geringste Lebenserwartung Aber Rente erst ab 67 ,2172,40,7457566668110204162,7457566668110204162,neutral
7457687993001362198,2025-01-08 23:18:48,Halts Mal und verpss dich,1379,87,7457566668110204162,7457566668110204162,negative
7457633104635626262,2025-01-08 19:45:26,Halt den Mund ,1162,36,7457566668110204162,7457566668110204162,positive
7457623559386415894,2025-01-08 19:08:30,Warum muss ich Monate auf einen Facharzttermin warten obwohl ich 1000Monat and Krankenkassenbeiträgen zahle,1100,90,7457566668110204162,7457566668110204162,negative
7457826266486637334,2025-01-09 08:15:15,Krank macht nur euere Politik,533,3,7457566668110204162,7457566668110204162,negative
7457687017800385302,2025-01-08 23:14:58,Arzttermine unmöglich weil die keine Patienten mehr aufnehmen oder man muss teils Monate warten Also rennt jeder in die Notaufnahme  während ein Krankenhaus nach dem anderen schließt  Super System,504,14,7457566668110204162,7457566668110204162,negative
7457626476340937495,2025-01-08 19:19:47,Die Verantwortung liegt auch bei den AG weil sie aufgrund Personalmangel oder Ersparnis andere Mitarbeiter überbelasten,501,7,7457566668110204162,7457566668110204162,neutral
7457617718222799649,2025-01-08 18:45:49,Pflegekräfte werden ja ständig verheizt,427,0,7457566668110204162,7457566668110204162,negative
7457662464520667926,2025-01-08 21:39:26,Auch eure Politik macht die Leute krank,414,6,7457566668110204162,7457566668110204162,negative
7457627398252364576,2025-01-08 19:23:20,Unwählbar,407,2,7457566668110204162,7457566668110204162,negative
7457646077061202710,2025-01-08 20:35:52,Eigentlich sollte ich statt Gehalt Schmerzensgeld bekommen für die Zustände in unserer Firma,400,5,7457566668110204162,7457566668110204162,neutral
7458423254078128918,2025-01-10 22:53:05,Können wir bitte aufhören das krankfeiern zu nennen Ich feier nicht wenn ich krank bin ,396,3,7457566668110204162,7457566668110204162,neutral
7457583516529918742,2025-01-08 16:33:12,Bei den Lebensmitteln ist es eher eine Kunst nicht krank zu werden,381,4,7457566668110204162,7457566668110204162,neutral
7457833808516219670,2025-01-09 08:44:29,vielleicht Arbeitsbedingungen die krank machen bekämpfen ,351,3,7457566668110204162,7457566668110204162,neutral
7457634691770254102,2025-01-08 19:51:44,Warum werden immer mehr Leistungen gestrichen  Ich sag nur Gynäkologe  nur noch alle drei Jahr zahlt die Krankenkasse die Krebsvorsorge sonst kannst selber zahlen ,290,31,7457566668110204162,7457566668110204162,negative
7457638852242244374,2025-01-08 20:07:47,Karl Lauterbach immer stabil Das auf AN rumhacken muss aufhören ,289,0,7457566668110204162,7457566668110204162,positive
7457675359979750166,2025-01-08 22:29:37,Bitteich möchte von ihnen nichts mehr hören ,264,1,7457566668110204162,7457566668110204162,negative
7457644040197030678,2025-01-08 20:27:51,Gott hab ich mich erschrocken ,225,16,7457566668110204162,7457566668110204162,neutral
7457639333569495831,2025-01-08 20:09:44,ist ja auch kein Wunder bei dieser Politik,217,0,7457566668110204162,7457566668110204162,negative
7457643061172388630,2025-01-08 20:24:13,Krank macht uns Eure Politik,216,7,7457566668110204162,7457566668110204162,negative
7457797761984201494,2025-01-09 06:24:39,geh zum Zahnarzt,199,14,7457566668110204162,7457566668110204162,positive
7457665327695692566,2025-01-08 21:50:32,Solange ungesundes Essen deutlich günstiger als gesunde Lebensmittel ist wird sich nichts ändern,186,10,7457566668110204162,7457566668110204162,negative
7457649845324301078,2025-01-08 20:50:27,Sie gehören vor Gericht definitiv Was haben sie in denn letzten 3 Jahren gemacht  Ich brauch ein Facharzt und bekomme kein Termin das ist doch ihr Versagen oder nicht ,176,88,7457566668110204162,7457566668110204162,neutral
7458137568124257046,2025-01-10 04:27:35,Die Regierung macht uns Krank,168,2,7457566668110204162,7457566668110204162,negative
7457639168703136534,2025-01-08 20:09:06,Wann wird endlich verstanden dass ohne eine gute medizinische Versorgung auf Dauer keine stabile Wirtschaft zustande kommen kann Da sollen doch schließlich Menschen arbeiten keine Maschinen,164,1,7457566668110204162,7457566668110204162,negative
7457637891855680278,2025-01-08 20:04:05,Vater Staat macht uns kaputt  Arbeiten am liebsten bis 80 immer mehr zahlen und die Sorgen wie man nach Abzug aller Rechnungen noch essen und trinken kaufen kann  Das macht uns krank ,148,7,7457566668110204162,7457566668110204162,negative
7457945878778086167,2025-01-09 15:59:20,Diese Regierung macht nur noch Krank,131,3,7457566668110204162,7457566668110204162,neutral
7457655090519524118,2025-01-08 21:10:51,Ich werde krank wenn ich die Abzüge meiner Krankenversicherung sehe weil mein Gesundheitsminister versagt hat ,128,2,7457566668110204162,7457566668110204162,negative
