id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7461258367550571286,2025-01-18 14:13:48,,2,0,7460956858854001942,7460956858854001942,negative
7465587466892854038,2025-01-30 06:13:16,Serketin bira,1,0,7460956858854001942,7460956858854001942,positive
7459810980550361878,2025-01-14 16:36:50,,1,0,7459748101876845826,7459748101876845826,negative
7459763335254442774,2025-01-14 13:32:09,Dann warste noch nicht in Erfurt  Gutes Training chef ,1,1,7459748101876845826,7459748101876845826,neutral
7460050444607865622,2025-01-15 08:06:49,,2,0,7459748101876845826,7459748101876845826,negative
7465429203804226326,2025-01-29 19:58:50,,0,0,7465399321286987030,7465399321286987030,negative
7465402243090121494,2025-01-29 18:14:05,Die Melonenköpfe einfach lost,0,0,7465399321286987030,7465399321286987030,negative
7462418108637971222,2025-01-21 17:14:22,,1,0,7462404589116034326,7462404589116034326,negative
7462409139370279702,2025-01-21 16:39:33,,1,0,7462404589116034326,7462404589116034326,negative
7468393271804527382,2025-02-06 19:40:56,Bester Grüner Politiker ,1,0,7468376375628516630,7468376375628516630,positive
7468382374751126294,2025-02-06 18:58:39,"Deshalb Habeck für Deutschland

𝗞𝗔𝗡𝗭𝗟𝗘𝗥2025
",1,0,7468376375628516630,7468376375628516630,neutral
7468972288249381654,2025-02-08 09:08:20,,1,0,7468376375628516630,7468376375628516630,negative
7468871145698689814,2025-02-08 02:39:22,,1,0,7468376375628516630,7468376375628516630,negative
7468784764754608918,2025-02-07 21:00:02,Araber leben in Arabien nicht in Europa,0,0,7468376375628516630,7468376375628516630,neutral
7468649058266252054,2025-02-07 12:13:35,Viele Erfolg,0,0,7468376375628516630,7468376375628516630,positive
7468648837131125526,2025-02-07 12:13:12,هربجي شترا كوردووووو في,0,0,7468376375628516630,7468376375628516630,negative
7468606057595159318,2025-02-07 09:27:07,Deshalb ,1,0,7468376375628516630,7468376375628516630,negative
7468431556673045280,2025-02-06 22:09:06,AUFPASSEN an MUSK hat eine neue Partei gegrundet Nur rechte Parteien sind dabei  Er will Europa regieren ,0,0,7468376375628516630,7468376375628516630,negative
7475383470383137558,2025-02-25 15:46:15,,1,0,7467995155606408470,7467995155606408470,negative
7467502203931935510,2025-02-04 10:03:47,,1,0,7467498177139150102,7467498177139150102,negative
7467498875412022038,2025-02-04 09:50:55,,1,0,7467498177139150102,7467498177139150102,negative
7467147430762169110,2025-02-03 11:06:48,Ja wenn du hetzen darfst ist das die dunkelste Stunde ,131,3,7466148699811482902,7466148699811482902,neutral
7467815355458994966,2025-02-05 06:19:27,das ist Hass und Hetze  einfach bei der Wahrheit bleiben,71,0,7466148699811482902,7466148699811482902,negative
7466359551874712342,2025-02-01 08:09:43,es stimmt die dunkelste Stunde die Sicherheit der Bevölkerung ist den Politikern egal,55,11,7466148699811482902,7466148699811482902,neutral
7467515127728063254,2025-02-04 10:54:09,Nur noch ,37,5,7466148699811482902,7466148699811482902,negative
7466434671263204118,2025-02-01 13:00:37,Bald ist Wahl Normal arbeitende Bürger werden anders entscheiden,31,0,7466148699811482902,7466148699811482902,neutral
7466483312639689494,2025-02-01 16:09:12,das sehe ich völlig anders,30,4,7466148699811482902,7466148699811482902,negative
7467756935170278166,2025-02-05 02:36:23,Auf Grundlage von Recht Wurde denn Paragraph 16 A eingehalten Wieso können Leute aus sicheren Drittländern bei uns einreisen,10,0,7466148699811482902,7466148699811482902,neutral
7467517052598780694,2025-02-04 11:01:27,Bitte mal nach Schweden gucken und Dänemark ,10,0,7466148699811482902,7466148699811482902,positive
7467897003567907586,2025-02-05 11:35:27,wer hezt denn hier ,9,1,7466148699811482902,7466148699811482902,negative
7473081714169529121,2025-02-19 10:54:51,Recht Gute Besserung ,8,0,7466148699811482902,7466148699811482902,positive
7473032610408547094,2025-02-19 07:44:24,Ich Muss gleich weinen noch so einer der eigentlich nicht in die Politik gehört wer so hetzt wie dieser Mann sollte schon ch was schämen,8,0,7466148699811482902,7466148699811482902,negative
7466405188842537750,2025-02-01 11:06:29,Die Grünen und die SPD sind die wahren Schuldigen Die angeblichen Demokraten der Grünen haben mit ihrer Ignoranz ggüber dem Wählerwillen dafür gesorgt dass jetzt noch mehr AfD wählen werden,6,0,7466148699811482902,7466148699811482902,negative
7467913732313809686,2025-02-05 12:40:24,Na auch Angst um den Verlust des Platzes am Futtertrog des deutschen Steuerzahlers,5,0,7466148699811482902,7466148699811482902,neutral
7467823878245991190,2025-02-05 06:51:51,Wer ist das denn ,5,0,7466148699811482902,7466148699811482902,negative
7475074372694082327,2025-02-24 19:46:41,Sie sind komplett verwirrt,4,0,7466148699811482902,7466148699811482902,neutral
7467308156407218966,2025-02-03 21:30:03,Danke für dein Video und dein Engagement ,4,1,7466148699811482902,7466148699811482902,neutral
7473100113599136534,2025-02-19 12:05:45,Demokratie ,3,0,7466148699811482902,7466148699811482902,negative
7467824988046918422,2025-02-05 06:56:36,30  der deutschen sind nazis verstehe ich nicht,3,0,7466148699811482902,7466148699811482902,negative
7467808909228720918,2025-02-05 05:54:47,Demokratie,3,1,7466148699811482902,7466148699811482902,negative
7466312619474535190,2025-02-01 05:10:15,,3,0,7466148699811482902,7466148699811482902,negative
7466169866203153174,2025-01-31 19:52:41,Ihr wollt also noch mehr Messer Zuwanderung  Hoffentlich trifft es einmal die richtigen,3,0,7466148699811482902,7466148699811482902,neutral
7475118698257515286,2025-02-24 22:38:57,Das ist eine Lösung,2,0,7466148699811482902,7466148699811482902,neutral
7475044410948240150,2025-02-24 17:50:41,hetze,2,0,7466148699811482902,7466148699811482902,negative
7467875008145130262,2025-02-05 10:09:49,Die dunkelste Stunde der Demokratie war der Beginn der Corona Maßnahmen,2,0,7466148699811482902,7466148699811482902,neutral
7467815027933037334,2025-02-05 06:17:29,Ich habe auch Angst das Drutschland bald nicht mehr mein Land ist,2,0,7466148699811482902,7466148699811482902,negative
7467523601576395542,2025-02-04 11:26:40,Das stimmt 66 der Bürger und wähler sind dafür und ihr habt kein interesse an der Bevölkerung sondern nur an euren eigenen Job Sonst nichts,2,0,7466148699811482902,7466148699811482902,negative
7466475301650957058,2025-02-01 15:38:21,Ist Komisch die wo ich Kenne sind alle AFD ,2,0,7466148699811482902,7466148699811482902,negative
7466174977730020118,2025-01-31 20:12:31,,2,0,7466148699811482902,7466148699811482902,negative
7466156399182054166,2025-01-31 19:00:30,,2,0,7466148699811482902,7466148699811482902,negative
7466154324034798343,2025-01-31 18:52:35,,2,0,7466148699811482902,7466148699811482902,negative
7476696099863888663,2025-03-01 04:40:56,Hetzer ,1,0,7466148699811482902,7466148699811482902,negative
7476526840301716226,2025-02-28 17:42:53,und was ist mit den linken Faschisten die sind schlimmer,1,0,7466148699811482902,7466148699811482902,negative
7475262429392978710,2025-02-25 07:57:16,Schon mal was Demokratie gehört,1,0,7466148699811482902,7466148699811482902,negative
7475069875049759510,2025-02-24 19:29:23,ich dachte die Grünen sind raus,1,0,7466148699811482902,7466148699811482902,negative
7475069069893796630,2025-02-24 19:26:07,Was willst du ,1,0,7466148699811482902,7466148699811482902,negative
7470383736959615766,2025-02-12 04:29:40,Meinst du so welche die damals die Grüne Partie gegründet haben  ,1,0,7466148699811482902,7466148699811482902,neutral
7470113254900859670,2025-02-11 10:55:52,,1,0,7466148699811482902,7466148699811482902,negative
7469350971558069015,2025-02-09 09:37:37,Alice für Deutschland ,1,0,7466148699811482902,7466148699811482902,positive
7468649763404088086,2025-02-07 12:16:14,Licht aus ,1,0,7466148699811482902,7466148699811482902,neutral
7467825838211269398,2025-02-05 06:59:53,Die dunkelste Geschichte deutscher Politik sind leider eure Hassreden,1,0,7466148699811482902,7466148699811482902,neutral
