id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7457968559991046934,2025-01-09 17:27:17,möglich ist es definitiv hoffen kann man,0,0,7457559097026612512,7457559097026612512,neutral
7457197730365670166,2025-01-07 15:36:07,union ist der sargnagel für deutschland  was sie 16 jahre merkel und die ampel nicht geschafft hat werdet ihr erledigen cdu csu ist unwählbar ,7,5,7457178484109102369,7457178484109102369,negative
7457228262318637847,2025-01-07 17:34:26,"wer hat den zu diesem zustand beigetragen
außerdem cdukrieg",5,2,7457178484109102369,7457178484109102369,neutral
7457222835078234902,2025-01-07 17:13:27,die problemverursacher lügen uns in die tasche die afd ist am zuge,5,3,7457178484109102369,7457178484109102369,negative
7457197026422473494,2025-01-07 15:33:21,mit eurer führung seid ihr maximal unwählbar,3,0,7457178484109102369,7457178484109102369,negative
7457246192222782230,2025-01-07 18:44:09,ihr könnt reden vor der wahl was ihr wollt wir glauben euch kein wort mehr habt lange genug zeit gehabt nur das volk immer mehr in die tasche gegriffen und bevormundet nur noch afd ,1,5,7457178484109102369,7457178484109102369,negative
7457226451701908246,2025-01-07 17:27:35,nie wieder cdu csu und grüne nur noch ,1,2,7457178484109102369,7457178484109102369,negative
7457199165857350422,2025-01-07 15:41:36,wieso macht ihr das nicht schon seit 1945 so ihr seit seid mindestens 70 jahren mit an der macht gewesen also mehr als genug zeit und was habt ihr daraus gemacht schaut euch mal um eure zeit ist um,1,3,7457178484109102369,7457178484109102369,negative
7459471485684187926,2025-01-13 18:39:29,team alice ,0,0,7457178484109102369,7457178484109102369,positive
7457656270373356310,2025-01-08 21:15:29,wohlstand für alle  den kenne ich nicht aber er lügt,0,0,7457178484109102369,7457178484109102369,negative
7457239355791491862,2025-01-07 18:17:30,blah blah blah ihr hattet eure chance,0,3,7457178484109102369,7457178484109102369,negative
7460875566805041942,2025-01-17 13:28:48,stimmt,3,0,7460869677988777248,7460869677988777248,positive
7460879996066235158,2025-01-17 13:46:16,,2,1,7460869677988777248,7460869677988777248,negative
7460897497931825942,2025-01-17 14:53:34,,0,0,7460869677988777248,7460869677988777248,negative
7460895429229183766,2025-01-17 14:45:43,herr müller kohl und genscher hat unser volk verkauft mal das gg lesen,0,1,7460869677988777248,7460869677988777248,neutral
7460880792408621846,2025-01-17 13:48:57,die spaltung g ist misslungendas volk wählt per volksentscheid die minister die nicht benötigt werden ab,0,0,7460869677988777248,7460869677988777248,negative
7460198782044357398,2025-01-15 17:42:13,,1,2,7459416769007062305,7459416769007062305,negative
7460168135083606806,2025-01-15 15:43:47,,1,1,7459416769007062305,7459416769007062305,negative
7459810564463182624,2025-01-14 16:35:10,demokratiefeind unvereinbarkeitsklauseln sind antidemokratisch  teamalice,3,7,7459413632615599393,7459413632615599393,neutral
7459795616379814678,2025-01-14 15:37:27,ja also das mit der koalition verstehe ich aber den punkt mit politikwechsel mit einer stark konservativen partei nicht so ganz,3,1,7459413632615599393,7459413632615599393,negative
7459828107077665558,2025-01-14 17:43:32,ich war mit der ampel recht zufrieden was die alles in der kurzen zeit geschafft haben war eine mega leistung dass sich herr lindner dann als teamunfähig gezeigt hat war sehr schade bzw sehr dumm,0,2,7459413632615599393,7459413632615599393,negative
7459823256407147287,2025-01-14 17:24:37, lieber schieb ich mir rasierklingen unter die fingernägel ,0,3,7459413632615599393,7459413632615599393,negative
7459821312392086294,2025-01-14 17:16:56,unglaubwürdigich wähle euch lieber nicht,0,2,7459413632615599393,7459413632615599393,negative
7459798224737600278,2025-01-14 15:47:33,eure brandmauer wird eh fallen weil ihr keine andere wahl habt als mit linksgrün oder se eh bsw und grünen zu koalieren,0,1,7459413632615599393,7459413632615599393,negative
7459105974193308438,2025-01-12 19:01:03,lügenpartei unwählbarendscheidungen werden ohne das volk getroffenihr habt deutschland mit zerstörtnur noch afd ,3,1,7459064945024453910,7459064945024453910,negative
7465421308307489558,2025-01-29 19:28:03,seid september 2024 bei schneller umsetzung hätten uns ja magdeburg und aschaffenburg  vielleicht erspart bleiben können,2,0,7465416175971814678,7465416175971814678,neutral
7465424767245157142,2025-01-29 19:41:30,diesen entwurf gibt es schon länger und zwar von der afd den sie jahrelang verhindert haben,1,0,7465416175971814678,7465416175971814678,neutral
7465570546932712214,2025-01-30 05:09:39,,0,0,7465416175971814678,7465416175971814678,negative
7465457810941575958,2025-01-29 21:50:02,,0,0,7465416175971814678,7465416175971814678,negative
7465425593657606934,2025-01-29 19:44:48,es wird keine zustimmung zum gesetzesentwurf geben cdu hätte schon längst zu stimmen können mit afd aber das wollten sie nicht cdu frage bleibt offen warum und jetzt ja nicht glaubwürdig,0,0,7465416175971814678,7465416175971814678,negative
7463873888574915350,2025-01-25 15:23:44,so viele gute gründe die cdu zu hassen und die person entscheidet sich dafür das macht betroffen,18,3,7463871300537191702,7463871300537191702,negative
7463880608634225430,2025-01-25 15:49:46,"ernsthaft leute ih könnt gerne gegen die politische meinung anderer sein und dazu stehen aber familie und ehepartnerlebensgefährte und co sind doch echt erbärmlich
fakten wär mal was interessantes",3,0,7463871300537191702,7463871300537191702,negative
7463875581295330070,2025-01-25 15:30:17,für dämliche plakatschändung wirst du verurteilt fürs morden in deutschland nicht ,2,3,7463871300537191702,7463871300537191702,negative
7463913718175253270,2025-01-25 17:57:45,eine schandtat egal bei welcher partei,1,0,7463871300537191702,7463871300537191702,neutral
7463879215475278614,2025-01-25 15:44:27,befürworter fürs impfen zu sein ist nicht schlecht  jemanden zu zwingen wäre schlecht und wo die liebe hin fällt ist doch ganz egal  kann man wählen den typen,1,2,7463871300537191702,7463871300537191702,negative
7474343395416195862,2025-02-22 20:30:25,nur dumme leute  aber ihr gewinnt morgen  gruß aus ghc ,0,0,7463871300537191702,7463871300537191702,negative
7462786532970414870,2025-01-22 17:03:51,gut zu wissen danke also das heißt 2x blau oder afd wählen ist sicherlich besser was für ein guter vorschlag für  danke,0,1,7462773413199891745,7462773413199891745,positive
7462782776372200214,2025-01-22 16:49:35,warum sollte ich eine partei wählen die abschreibt dann wähle ich lieber das original die afd,0,2,7462773413199891745,7462773413199891745,negative
7462782636227101442,2025-01-22 16:48:39,"ja bundestag is voll
müssen erst wider welche ins eu parlament abgeschoben werden",0,1,7462773413199891745,7462773413199891745,neutral
7462777806649492246,2025-01-22 16:29:57,diese änderung des wahlrechts war längst überfällig die union hatte vom alten unverhältnismäßig viel also undemokratisch profitiert natürlich wollt ihr das alte zurückdas beschreibt eure moral,0,3,7462773413199891745,7462773413199891745,negative
7468002202777551638,2025-02-05 18:23:18,wie wäre es denn mal wenn alles nach der 35sten arbeitsstunde steuerfrei ist,3,0,7467974854126472481,7467974854126472481,neutral
7467978810727727895,2025-02-05 16:52:30,ihr von der cdu nimmt uns das doch alles wieder weg um zwei ecken,1,0,7467974854126472481,7467974854126472481,negative
7468012288411271958,2025-02-05 19:02:10,steuerfreie überstunden wären ein traum,1,0,7467974854126472481,7467974854126472481,positive
7467999953366680342,2025-02-05 18:14:33,was für ein trick  die cdu ist geschichte  es ist mit euch schluß  nur noch afd ,0,0,7467974854126472481,7467974854126472481,negative
7467983322372129558,2025-02-05 17:09:58,gerne gerne nicht mehr mit uns menschen nicht mehr cdu,0,0,7467974854126472481,7467974854126472481,negative
7472740440832983830,2025-02-18 12:50:17,es ist keine hetze nur die wahrheites reichtdass ist ein versagen der politik ,142,5,7472714106089360662,7472714106089360662,neutral
7472748589229507350,2025-02-18 13:22:00,fakten sind keine hetze,101,1,7472714106089360662,7472714106089360662,neutral
7472725403133264662,2025-02-18 11:51:51,das sind fakten nichts anderes,51,1,7472714106089360662,7472714106089360662,neutral
7472749051789542166,2025-02-18 13:23:37,das ist keine hetze  dass sind tatsachen und das macht mich traurig ,40,0,7472714106089360662,7472714106089360662,negative
7472746575152939798,2025-02-18 13:13:50,die gute frau lebt doch in einer paralellwelt das ist keine hetzerei was ist nur aus deutschland geworden,37,3,7472714106089360662,7472714106089360662,neutral
7472719490458092311,2025-02-18 11:29:05,wie recht er hat,31,1,7472714106089360662,7472714106089360662,neutral
7472813904571515670,2025-02-18 17:35:15,die redet von hetzedas sind tatsachenaber das ist ja nicht der rede wert wenn menschen hier in deutschland umgebracht werden ,23,4,7472714106089360662,7472714106089360662,negative
7472717297494590230,2025-02-18 11:20:40,fakten,15,0,7472714106089360662,7472714106089360662,negative
7472835750607684374,2025-02-18 18:59:53,das sind fakten und keine hetze,14,0,7472714106089360662,7472714106089360662,neutral
7472819201927332630,2025-02-18 17:55:49,keine hetzerei blutiger alltag in unserem land ,12,0,7472714106089360662,7472714106089360662,neutral
