id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7461043558771393282,2025-01-18 00:21:33,grüne auf die eins ,1,0,7460936682733604119,7460936682733604119,negative,1.0,"['💚', '💚', '💚', '👏', '👏', '💪', '💪']"
7461036345709314838,2025-01-17 23:53:21,,1,0,7460936682733604119,7460936682733604119,negative,1.0,"['😂', '😂', '👏', '👏']"
7460942871048471318,2025-01-17 17:49:50, glück auf,1,0,7460936682733604119,7460936682733604119,negative,1.0,"['😂', '🙏']"
7461364694751806230,2025-01-18 21:06:42,,0,0,7460936682733604119,7460936682733604119,negative,1.0,"['💚', '💚', '💚']"
7469023500918932246,2025-02-08 12:26:43,ich wähle links ,3,0,7469022630306270486,7469022630306270486,neutral,,['\U0001fa77']
7469034789635457814,2025-02-08 13:10:15,steigende mieten sind ein zentrales thema endlich spricht das jemand an im wahlkampf danke dafür,2,2,7469022630306270486,7469022630306270486,positive,,[]
7469025434161431318,2025-02-08 12:34:07,darum grün wählen ,2,0,7469022630306270486,7469022630306270486,neutral,1.0,"['👍', '👍', '👍']"
7469166307608494850,2025-02-08 21:40:41,drei jahre lang hatten die grünen zeit nichts haben die grünen geschafft außer die firmen platt gemacht,1,0,7469022630306270486,7469022630306270486,neutral,,[]
7469035932399993622,2025-02-08 13:14:57,die cdu möchte halt viele obdachlose und hoch verschuldete und die afd rückt sich die schaukel direkt an der hauswand zurecht,1,0,7469022630306270486,7469022630306270486,negative,,[]
7469031464224523030,2025-02-08 12:57:35,hättet ihr die versprochenen 400000 wohnungen gebautwäre alles ok,1,3,7469022630306270486,7469022630306270486,positive,,[]
7469030629821842198,2025-02-08 12:54:12,ist nur eine populistische bürokratie form gegen symptome die ursachen werden aber weiter verschlimmert linke politik hat durch bürokratie umweltgesetze migrantion etc preise massiv steigen lass,1,0,7469022630306270486,7469022630306270486,neutral,,[]
7469027146720445206,2025-02-08 12:40:36,das mieten steigen können liegt am knappen angebot das wird gebremst durch die schwache leistung der ampel,1,1,7469022630306270486,7469022630306270486,neutral,,[]
7471566162368348960,2025-02-15 08:55:35,ich mag die grünen nicht,0,0,7469022630306270486,7469022630306270486,negative,,[]
7471453950144971542,2025-02-15 01:40:32,und neuerdings die grundsteuer dem vermieter drauf drücken kommunismus,0,0,7469022630306270486,7469022630306270486,neutral,,[]
7469073947923350294,2025-02-08 15:42:37,was hat die mietpreisbreme gebracht garnichts bremse wird einfach übergangen durch möbelierungsverträge,0,0,7469022630306270486,7469022630306270486,negative,,"['🤔', '🤔', '🤔', '🤨', '🤨', '🤨']"
7469035081626026774,2025-02-08 13:11:15,senke die grunderwerbssteuer und die miete wird günstiger,0,1,7469022630306270486,7469022630306270486,neutral,,[]
7469025849922077462,2025-02-08 12:35:48,trotz mietpreisbremse steigen die mieten unglaublich weiter,0,0,7469022630306270486,7469022630306270486,negative,,[]
7467533841461936918,2025-02-04 12:06:16,,2,0,7467524449840024854,7467524449840024854,negative,1.0,"['💚', '💚']"
7511837721553191702,2025-06-03 21:27:04,,0,0,7467524449840024854,7467524449840024854,negative,,['❤️']
7467570671344124694,2025-02-04 14:29:11,"
linke2025
",0,0,7467524449840024854,7467524449840024854,neutral,0.0,"['❤️', '🚩', '❤️', '💗', '💗', '❤️', '🚩', '❤️']"
7467556872172110614,2025-02-04 13:35:42,,0,0,7467524449840024854,7467524449840024854,negative,1.0,"['💪', '💪', '💪']"
7467542985590063894,2025-02-04 12:41:46,weiter so ,0,0,7467524449840024854,7467524449840024854,positive,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7467540057671992086,2025-02-04 12:30:13,,0,0,7467524449840024854,7467524449840024854,negative,,"['❤️', '🤍']"
7467178606231290646,2025-02-03 13:07:20,was passiert hier,0,0,7467160709982358806,7467160709982358806,negative,,[]
7466026687590269698,2025-01-31 10:38:06,also dann lieber die linke,2,0,7466018770717363478,7466018770717363478,negative,,[]
7466020520942486294,2025-01-31 10:14:01,genau das macht ihr nicht ihr habt dafür gesorgt dass alle preise durch die decke gegangen sind,1,2,7466018770717363478,7466018770717363478,negative,,[]
7466067107550561046,2025-01-31 13:14:18,genau mein humor sagt der metzger zum rind lass dich knuddeln ,0,0,7466018770717363478,7466018770717363478,neutral,1.0,['😅']
7466052840109114134,2025-01-31 12:18:50,"
linke2025
",0,0,7466018770717363478,7466018770717363478,neutral,0.3333333333333333,"['❤️', '🚩', '🌾', '❤️', '💗', '💗', '❤️', '🌾', '🚩', '❤️']"
7466046589028205345,2025-01-31 11:54:55,nein danke,0,0,7466018770717363478,7466018770717363478,negative,,[]
7473112670464951062,2025-02-19 12:54:31,da jammern über marode brücken und dort jammern wenn man zeitig über erweiterung und neubau nachdenkt genau mein humor,13,1,7472781335602416918,7472781335602416918,positive,,[]
7472936696707859222,2025-02-19 01:33:09,die planung obliegt der autobahn gmbh zuständig für das planfeststellungsverfahren ist die br köln das ist also keine ratsentscheidung der stadt köln wie dargestellt abriss ist nicht geplant,12,5,7472781335602416918,7472781335602416918,neutral,,[]
7472887828680213270,2025-02-18 22:22:15,anhand diese video kann ich keine meinung bilden  bitte mehr informationen,9,0,7472781335602416918,7472781335602416918,negative,,[]
7472826115586622230,2025-02-18 18:22:28,aber warum wollen die das,4,1,7472781335602416918,7472781335602416918,neutral,,[]
7473260423635714838,2025-02-19 22:27:57,was ist denn die begründung der politik für den neubau,3,0,7472781335602416918,7472781335602416918,neutral,,[]
7473093491330155286,2025-02-19 11:40:05,für radwege ,3,0,7472781335602416918,7472781335602416918,positive,1.0,"['🤣', '🤣', '🤣', '👍']"
7473026989940949782,2025-02-19 07:23:02, ja wie bei der mülheimer brücke wo die experten nicht mal die lager gelöst bekommen und jetzt niemand mehr sagen kann wann da mal wenn überhaupt die kvb drüber fahren kann ,3,0,7472781335602416918,7472781335602416918,negative,1.0,"['😂', '😂', '😂', '🙄', '🙈', '😂']"
7473071611554595606,2025-02-19 10:15:19,die rodenkirchener brücke in köln wird durch einen neubau ersetzt weil sie aufgrund ihres alters und struktureller schäden nicht mehr den modernen sicherheits und verkehrsanforderungen entspricht,2,1,7472781335602416918,7472781335602416918,neutral,,[]
7477235374193935126,2025-03-02 15:32:24,ich sage weg mit dem viehch,1,0,7472781335602416918,7472781335602416918,negative,,[]
7473331197067707158,2025-02-20 03:06:56,,1,0,7472781335602416918,7472781335602416918,negative,1.0,['👍']
7473256323699573526,2025-02-19 22:12:06,und einen großen zeil vom gremberger wäldchen wollen die auch noch abholzen,1,0,7472781335602416918,7472781335602416918,neutral,,[]
7473242984376075031,2025-02-19 21:20:17,ich würde mir wünschen das die mülheimer brücke endlich fertig wird mit 4 spuren damit verkehr fließen kann,1,0,7472781335602416918,7472781335602416918,neutral,,[]
7473224404525318914,2025-02-19 20:07:49,witzig wird es immer wenn die folgen der grünen dummheiten offenbar werden dann waren es immer die anderen klar muss nicht abgerissen werde dann gibt es eben die brücke bei langel,1,1,7472781335602416918,7472781335602416918,negative,,[]
7473142599216071446,2025-02-19 14:50:50,jadas sind unsere altparteien die da das sagen haben,1,0,7472781335602416918,7472781335602416918,negative,,[]
7473126976707674902,2025-02-19 13:50:09,wer an morgen denkt wählt heute grün,1,0,7472781335602416918,7472781335602416918,neutral,1.0,['💚']
7472787821725238038,2025-02-18 15:53:58,geld verschwenden geeeiiiilll ,1,0,7472781335602416918,7472781335602416918,negative,1.0,['😉']
7501009711005745942,2025-05-05 17:08:44,,0,0,7472781335602416918,7472781335602416918,negative,1.0,"['👍', '👍', '👍']"
7488972258103968534,2025-04-03 06:37:25,abriss und neubau köln kann nicht sanieren  mülheimer und zoobrücke sind doch super beispiele deutzer brücke geplante sanierungskosten 37 milliarden euro brutto,0,0,7472781335602416918,7472781335602416918,neutral,,[]
7488347178781508407,2025-04-01 14:12:11,beeindruckt von der hervorragenden arbeit ich bin das risiko eingegangen 500  zu testen und habe eine zahlung von 6800  erhalten vielen dank erzieher samuel,0,0,7472781335602416918,7472781335602416918,positive,,[]
7479395481443369750,2025-03-08 11:14:45,eine ausweich und zubringerbrücke vom militärring nach poll mit ausfahrten zur rheinuferstr und l82 wäre nicht schlecht um a4 und militärring zu entlasten,0,0,7472781335602416918,7472781335602416918,neutral,,[]
7478998992546792214,2025-03-07 09:36:07,und in 5 jahren heulen alle wenn das ding doch marode ist ,0,0,7472781335602416918,7472781335602416918,negative,,[]
7477238887565034262,2025-03-02 15:45:58,hauptsache baustelle das ist die devise in deutschland,0,0,7472781335602416918,7472781335602416918,negative,,[]
7477028920081711894,2025-03-02 02:11:59,wir brauchen günstige wohnungen,0,0,7472781335602416918,7472781335602416918,neutral,,[]
7477028860857680662,2025-03-02 02:11:29,die wollen eine neue brücke mit 8 spuren bauen und die a4 erweitern die brücke hat sich abgesenkt und die fahrbahn ist nicht mehr sicher,0,0,7472781335602416918,7472781335602416918,neutral,,[]
7476561220381246230,2025-02-28 19:56:13,spdkandidatin demirkan setzt auf weitere beratungen,0,1,7472781335602416918,7472781335602416918,neutral,,[]
7473610812701328150,2025-02-20 21:07:33,grüne verhindern infrastruktur nichts neues,0,0,7472781335602416918,7472781335602416918,negative,,[]
7473417197617152790,2025-02-20 08:36:28,die wird doch schon seit mindestens 3 jahre renoviert ,0,0,7472781335602416918,7472781335602416918,neutral,1.0,"['🙈', '🙈', '🙈']"
7473383067048215318,2025-02-20 06:24:40,langfristig wird aber die rodenkirchener brücke das ende ihrer lebensdauer erreichen und durch einen neubau ersetzt werden müssen dies ist voraussichtlich in 1520 jahren der fall,0,1,7472781335602416918,7472781335602416918,neutral,,[]
7473251623086195478,2025-02-19 21:53:48,kein einziges wort über die rodung der grembergerwäldchen und was war nochmal mit lützerath und dem dannenröderwald herrenwald und maulbacherwald  niewiedergrüne,0,0,7472781335602416918,7472781335602416918,neutral,,[]
7473250466182742806,2025-02-19 21:49:25,das ding ist zu alt und klein,0,0,7472781335602416918,7472781335602416918,negative,,[]
7473235265450574615,2025-02-19 20:50:04,aber herr birkner von der autobahn gmbh ist doch der schwager von euerem robert harbebeck,0,0,7472781335602416918,7472781335602416918,neutral,1.0,['🙈']
7473223889931567895,2025-02-19 20:05:56,was,0,0,7472781335602416918,7472781335602416918,negative,,[]
7473202906654327574,2025-02-19 18:44:33,die eine hälfte wurde erst anfang der 90er gebaut bei stahlbrücken ist es alles nicht so schwierig kommt man ran und kann austauschen spannbeton ist doof,0,0,7472781335602416918,7472781335602416918,neutral,,[]
7473185843823690518,2025-02-19 17:38:33,de kölsche klüngel ,0,0,7472781335602416918,7472781335602416918,neutral,-1.0,"['😩', '😩', '😩']"
