id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7478382359482794774,2025-03-05 17:43:08,heidi slayed aber auch zu hart,316,1,7456815728402943254,7456815728402943254,neutral,,[]
7456820664193057559,2025-01-06 15:12:49,"man sollte meinen dass der bundestag aus erwachsenen menschen besteht
wieder falsch gelegen",313,0,7456815728402943254,7456815728402943254,neutral,,[]
7464802872913249057,2025-01-28 03:30:21,diese zwischenrufe sind ja echt das allerletzte wer nicht merkt was das für menschen sind der merkt gar nichts mehr,157,0,7456815728402943254,7456815728402943254,negative,,[]
7466130218718970646,2025-01-31 17:19:10,ich finde es gut wie heidi dich beschützt hat weil die cdu einfach nur erbärmlich ist,140,0,7456815728402943254,7456815728402943254,negative,,[]
7478744040483750679,2025-03-06 17:06:42,heidi ist unsere nächste kanzlerin,103,19,7456815728402943254,7456815728402943254,neutral,,[]
7456817281101103894,2025-01-06 14:59:44,eklige cdu nach der ampel links ,42,0,7456815728402943254,7456815728402943254,negative,-1.0,"['\U0001fa77', '🚩']"
7478604996198007574,2025-03-06 08:07:32,ja man heidi ,35,3,7456815728402943254,7456815728402943254,negative,,"['💪🏽', '\U0001fa77']"
7456828518264144663,2025-01-06 15:43:26,starke rede ,29,0,7456815728402943254,7456815728402943254,negative,1.0,"['💯', '💯', '💯', '💯']"
7478533250217870082,2025-03-06 03:30:36,der kampf gegen rechts war schon 1949 verloren,28,2,7456815728402943254,7456815728402943254,neutral,,[]
7478374471436780310,2025-03-05 17:12:41,heidi im hintergrund made my day,26,0,7456815728402943254,7456815728402943254,negative,1.0,"['😂', '💗']"
7456818864778330912,2025-01-06 15:06:06,das wäre so schlimm wenn die linke es nicht in den bundestag schafft,22,0,7456815728402943254,7456815728402943254,negative,,[]
7478450505866707734,2025-03-05 22:07:39,wie viele sichere länder liegen zwischen dem sudan und deutschland,15,7,7456815728402943254,7456815728402943254,neutral,,[]
7456820512746013442,2025-01-06 15:12:19,die brandmauer gegen rechts der meisten parteien ist so sicher wie die firewall von windows 2000,14,0,7456815728402943254,7456815728402943254,neutral,,[]
7478866390938780438,2025-03-07 01:02:01,es wird immer vergessen dass von menschen die sprache ist ,11,0,7456815728402943254,7456815728402943254,neutral,1.0,"['😢', '😢', '😢']"
7478999725750338326,2025-03-07 09:39:13,organisiert euch nur die linke ,10,0,7456815728402943254,7456815728402943254,negative,0.0,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001faf6🏻', '💪🏻', '🔨', '💕', '❤️']"
7478772647532331798,2025-03-06 18:57:42,heidi ,10,0,7456815728402943254,7456815728402943254,positive,,['\U0001fa77']
7478993615004975894,2025-03-07 09:15:24,"
die linke
",9,0,7456815728402943254,7456815728402943254,neutral,0.3333333333333333,"['💖', '🚩', '✊🏻', '❤️', '💗', '💗', '❤️', '✊🏿', '🚩', '💖']"
7478333741694731030,2025-03-05 14:34:35,hier ein verspäteter verdienter algorithmuskommentar,9,0,7456815728402943254,7456815728402943254,neutral,,[]
7478884962181415702,2025-03-07 02:15:21,"
linke 2025
",6,0,7456815728402943254,7456815728402943254,neutral,-1.0,"['❤️', '🚩', '❤️', '🖤', '🖤', '❤️', '🚩', '❤️']"
7478785038244692758,2025-03-06 19:45:47,der hat die grenze nach polen ohne visa nicht zu passieren,6,7,7456815728402943254,7456815728402943254,neutral,,[]
7478645844767146774,2025-03-06 10:45:54,was rufen die herren denn dazwischen kann nur die frauen verstehen eine davon ist heidi oder oder ist das nur heidi,5,0,7456815728402943254,7456815728402943254,neutral,,[]
7478505973042332438,2025-03-06 01:44:21,das die über tote menschen lachen sagt doch schon alles aus,4,0,7456815728402943254,7456815728402943254,neutral,,[]
7479421299636650774,2025-03-08 12:54:54,heidi die löwin ,3,0,7456815728402943254,7456815728402943254,neutral,,['🥰']
7478824047795569430,2025-03-06 22:17:09,danke für deine arbeit ,3,0,7456815728402943254,7456815728402943254,positive,1.0,"['💕', '🙏']"
7478621357560349462,2025-03-06 09:10:49,,3,0,7456815728402943254,7456815728402943254,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7479357362290164502,2025-03-08 08:46:41,clara bünger ist einfach underrated ,2,0,7456815728402943254,7456815728402943254,negative,1.0,['💜']
