id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7457093556117750550,2025-01-07 08:51:52,klassenkampf gegen die kapitalisten grüne spd fdp cdubswdie linke afd,1,0,7457065175158443286,7457065175158443286,negative,,[]
7476428032430277398,2025-02-28 11:19:28,smash,0,0,7457065175158443286,7457065175158443286,negative,,[]
7458052639865029398,2025-01-09 22:53:50,lowkey crush,0,0,7457065175158443286,7457065175158443286,positive,,[]
7457080204781355799,2025-01-07 08:00:22,hear me out,0,0,7457065175158443286,7457065175158443286,positive,,[]
7463916308545127190,2025-01-25 18:08:12,nur die linke,4,0,7463914163975277846,7463914163975277846,negative,1.0,"['❤️', '❤️', '❤️', '💜', '💜', '💜']"
7464184966576210710,2025-01-26 11:30:46, deshalbdielinke,2,0,7463914163975277846,7463914163975277846,negative,1.0,['😍']
7463915923741983510,2025-01-25 18:06:28,sehr stabil genau so,2,0,7463914163975277846,7463914163975277846,positive,,[]
7469102317331202838,2025-02-08 17:32:35,zweitstimmelinkewir brauchen eine starke opposition um gegen den rechtsruck anzukommen wir brauchen eine opposition mit rückrad die für uns arbeitet es ist zeit für wohlstand für alle,1,0,7463914163975277846,7463914163975277846,neutral,,"['🖤', '❤️', '🖤', '❤️', '🖤', '❤️']"
7467653802153902870,2025-02-04 19:51:27,die linken sind die besten,1,0,7463914163975277846,7463914163975277846,neutral,1.0,"['💯', '💯', '💯']"
7463917758150820630,2025-01-25 18:13:47,lobbyisten verbieten,1,0,7463914163975277846,7463914163975277846,negative,,[]
7474301622832284438,2025-02-22 17:48:14,das war doch der mp von merkels gnaden ,0,0,7463914163975277846,7463914163975277846,neutral,0.0,['😏']
7471641748156056342,2025-02-15 13:46:44,ramelow ist mal der inbegriff vom linken wahnsinn,0,0,7463914163975277846,7463914163975277846,positive,,[]
7468779635204653846,2025-02-07 20:40:06,ja dezhalb die linke ,0,0,7463914163975277846,7463914163975277846,negative,0.0,"['🔥', '🔥']"
7463478105497338626,2025-01-24 13:47:41,"wähl nicht blau das ist kein scherz
hass und hetze bringen nur schmerz
die linke steht für unser recht
für freiheit und gerechtigkeit  das ist echt",8,2,7463463255835462934,7463463255835462934,negative,,['\U0001fa77']
7463471525175591702,2025-01-24 13:22:31,jaaa we need it,5,0,7463463255835462934,7463463255835462934,negative,,[]
7463478502328926998,2025-01-24 13:49:28,immer weiter ,3,0,7463463255835462934,7463463255835462934,positive,1.0,['😊']
7463466609769448214,2025-01-24 13:03:11,das fällt auch wieder ,1,2,7463463255835462934,7463463255835462934,neutral,,[]
7463180679347323670,2025-01-23 18:33:10,sehr gut,135,7,7463103734122384662,7463103734122384662,positive,,[]
7463365902067761942,2025-01-24 06:32:32,also ist seine eigene partei der feind,74,20,7463103734122384662,7463103734122384662,neutral,,[]
7463249430500836098,2025-01-23 23:01:12,"
linke2025
",74,0,7463103734122384662,7463103734122384662,neutral,0.0,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️']"
7463105328369484566,2025-01-23 13:41:15,o7,61,0,7463103734122384662,7463103734122384662,positive,,[]
7463800979394544406,2025-01-25 10:40:29,ihr seid die nais,44,12,7463103734122384662,7463103734122384662,negative,,[]
7463115572818264854,2025-01-23 14:20:46,millionen sind stärker als millionäre,22,1,7463103734122384662,7463103734122384662,neutral,,[]
7471626688569557782,2025-02-15 12:48:02,hሀገረበየፀከበ wer rechts ist,20,0,7463103734122384662,7463103734122384662,negative,,[]
7463463948709315350,2025-01-24 12:52:41,"
linke2025
",14,0,7463103734122384662,7463103734122384662,neutral,0.0,"['❤️', '🚩', '🌾', '❤️', '🖤', '🖤', '❤️', '🌾', '🚩', '❤️']"
7463185508911366934,2025-01-23 18:51:54,,13,0,7463103734122384662,7463103734122384662,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77']"
7467879563466949398,2025-02-05 10:28:16,"
dielinke
",11,0,7463103734122384662,7463103734122384662,negative,1.0,"['🕊️', '🌸', '💖', '\U0001fa77', '\U0001fa77', '💖', '🌸', '🌈']"
7463228137854337814,2025-01-23 21:37:30,,10,0,7463103734122384662,7463103734122384662,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77']"
7463105643635327766,2025-01-23 13:42:49,dielinke ,10,0,7463103734122384662,7463103734122384662,negative,,['❤️']
7463514041933087510,2025-01-24 16:07:20,,9,1,7463103734122384662,7463103734122384662,negative,,"['\U0001fa77', '\U0001fa77', '\U0001fa77', '\U0001fa77']"
7463524153363841814,2025-01-24 16:46:21,"
linke 2025
",8,0,7463103734122384662,7463103734122384662,neutral,-1.0,"['❤️', '🚩', '❤️', '🖤', '🖤', '❤️', '🚩', '❤️']"
7463458517937292054,2025-01-24 12:31:33,,8,0,7463103734122384662,7463103734122384662,negative,,['\U0001fa77']
7463168995925164822,2025-01-23 17:48:11,,8,0,7463103734122384662,7463103734122384662,negative,,"['❤️', '❤️', '❤️', '❤️']"
7463149050038223638,2025-01-23 16:30:52,,8,0,7463103734122384662,7463103734122384662,negative,,"['❤️', '❤️', '❤️']"
7463520739287646998,2025-01-24 16:32:52,dankeeee,7,0,7463103734122384662,7463103734122384662,positive,1.0,"['💯', '👏']"
7463141970677138198,2025-01-23 16:03:11,,7,0,7463103734122384662,7463103734122384662,negative,,"['♥️', '♥️', '♥️']"
7463110882202010390,2025-01-23 14:02:31,,7,0,7463103734122384662,7463103734122384662,negative,1.0,"['💯', '👍']"
