id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7458339396476945174,2025-01-10 17:27:04,,0,0,7458021305502223638,7458021305502223638,negative,1.0,"['💙', '💙', '💙']"
7457913183417221910,2025-01-09 13:52:25,,0,0,7457863407648197910,7457863407648197910,negative,1.0,['👏']
7457820491180081922,2025-01-09 07:53:08,grundsätzlich richtig und gut trotzdem passieren im umfeld überdurchschnittlich viele gesetzesverstöße und das sind nicht nur vorurteile wenn der verein auch daran arbeitet dann ist er richtig,0,0,7457635454981131542,7457635454981131542,positive,,[]
7456096854011331360,2025-01-04 16:24:03, ohne euch wäre deutschland sicher,0,0,7455745285780933890,7455745285780933890,negative,1.0,['💙']
7456022158466417430,2025-01-04 11:34:22,nein,0,0,7455745285780933890,7455745285780933890,negative,,[]
7456004644318642966,2025-01-04 10:26:17,wo war denn der kamf bisher im winterschlaf,0,0,7455745285780933890,7455745285780933890,neutral,1.0,['😎']
7455789220104618774,2025-01-03 20:30:16,wer hat das verraten die sozialdemokraten,0,0,7455745285780933890,7455745285780933890,neutral,,[]
7455441277656711969,2025-01-02 22:00:04,spd neumuenster1867,1,0,7455360999495961878,7455360999495961878,neutral,,[]
7455441014812214049,2025-01-02 21:59:05,httpswwwknonlinedelokalesneumuensterneumuensterbekommteinezusaetzlichesporthalleinderhindenburgkaserneqfnk5zhw4jg63grfxsrysjd3r4htmlfbclidiwzxh0bgnhzw0cmtaaar1qrmv3ch5rtwsbf4u4_etfok0e5p6wragd_uczevx_4i6laq6jcyvxru_aem_0rrhbaj3iieos8oovxjb2w,0,0,7455360999495961878,7455360999495961878,negative,,[]
7454990984520712982,2025-01-01 16:52:51,laufen bis die schuhe glühen ,1,1,7454974597272800545,7454974597272800545,negative,1.0,['😁']
7461752808058438422,2025-01-19 22:13:10,,1,0,7461744913542106401,7461744913542106401,negative,1.0,"['👏', '👏', '👏']"
7462121842603574038,2025-01-20 22:05:01,danke für den besuch an alle gäste wir fühlen uns verbunden und halten in neumünster zusammen,0,0,7461744913542106401,7461744913542106401,positive,,[]
7461877290390995734,2025-01-20 06:16:46,nie wieder altparteien,0,0,7461724592403434774,7461724592403434774,negative,,[]
7461037755431273238,2025-01-17 23:58:39,,2,0,7460869920364956950,7460869920364956950,negative,1.0,['👏']
7460871280935289622,2025-01-17 13:12:08,danke für deinen einsatz lieber kristian,2,0,7460869920364956950,7460869920364956950,neutral,,[]
7502944406917907206,2025-05-10 22:17:02,,0,0,7460446998974467350,7460446998974467350,negative,,"['🥰', '🥰', '🥰']"
7460248387246916374,2025-01-15 20:54:39,,1,0,7459779365321051415,7459779365321051415,negative,,['❤️']
7459890825724789526,2025-01-14 21:46:45,,0,0,7459779365321051415,7459779365321051415,negative,1.0,"['👏', '👏', '👏']"
7459518512786113302,2025-01-13 21:42:07,,0,0,7459387380227755286,7459387380227755286,negative,1.0,['👏']
7459070356000899862,2025-01-12 16:43:00,,1,0,7459053125270375702,7459053125270375702,negative,1.0,"['💙', '💙', '💙']"
7459449689139954454,2025-01-13 17:15:01,gute besserung ,0,0,7459053125270375702,7459053125270375702,positive,1.0,"['💙', '💪']"
