id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7461820415985664790,2025-01-20 02:43:17,Was du heute kannst versprechen das kannste morgen wieder brechen CDU Politik seid 20 Jahren  Hoffe euch glauben langsam weniger Menschen den Schwachsinn den ihr angeblich versprechen zu ändern,3,0,7461730317884312854,7461730317884312854,negative,,['🤣']
7461766015641256726,2025-01-19 23:04:55,Mit CDU doch sicher nicht ,3,0,7461730317884312854,7461730317884312854,negative,1.0,"['😂', '😂', '😂']"
7461872097905771286,2025-01-20 05:57:12,Die CDU ist erst schuld denn die waren 16 Jahre an der Macht und haben genau diese Generation geformt Ihr seid schuld daran denn es ist nicht HansPeter Müller der das macht,1,0,7461730317884312854,7461730317884312854,positive,,[]
7461818446411318038,2025-01-20 02:34:15,Die Politik muss es vorleben,1,0,7461730317884312854,7461730317884312854,neutral,,[]
7462239774247338758,2025-01-21 05:42:33,guten Morgan ,0,0,7461730317884312854,7461730317884312854,positive,1.0,['🌅']
7462239792924050182,2025-01-21 05:42:24,,0,0,7461730317884312854,7461730317884312854,negative,,['🥰']
7461873373392880406,2025-01-20 06:01:24,Die Linken und die Grünzis halt,0,0,7461730317884312854,7461730317884312854,neutral,,[]
7459891491578790678,2025-01-14 21:49:16,Stark weiter so frauenfürmerz,0,0,7459473582431718678,7459473582431718678,neutral,,[]
7459891391516787478,2025-01-14 21:49:05,,0,0,7459473582431718678,7459473582431718678,negative,1.0,"['👌', '👌']"
7459563367239516950,2025-01-14 00:37:50,,0,0,7459473582431718678,7459473582431718678,negative,1.0,['👍']
7459500990757258006,2025-01-13 20:33:52,Im Februar kein Merz Das ist die Devise protestwählenheißtgegenrechtswählen,0,0,7459473582431718678,7459473582431718678,neutral,,[]
7459499760585212694,2025-01-13 20:29:09,,0,0,7459473582431718678,7459473582431718678,negative,1.0,"['😂', '😂', '😂']"
7459476588971934486,2025-01-13 18:59:11,,0,0,7459473582431718678,7459473582431718678,negative,,"['🖤', '🖤', '🖤']"
7463876798113497878,2025-01-25 15:35:08,Die Badehose braucht Merz weil die CDU untergeht mit ihm als Kapitän,11,0,7463869725295136022,7463869725295136022,neutral,,[]
7464652653222757142,2025-01-27 17:45:23,ihr habt den Beton vergessen ,5,0,7463869725295136022,7463869725295136022,negative,1.0,"['😁', '🤣', '🤣', '🤣', '🤣', '🤣']"
7464399253064057622,2025-01-27 01:25:45,Weil er hoffentlich baden geht,5,0,7463869725295136022,7463869725295136022,neutral,,[]
7464037401787958038,2025-01-26 02:00:43,,2,0,7463869725295136022,7463869725295136022,negative,1.0,"['😂', '👍']"
7471202574252671766,2025-02-14 09:22:59,"Gutes Symbol Mit ihm geht Deutschland
Baden",1,0,7463869725295136022,7463869725295136022,neutral,,[]
7466094199432823574,2025-01-31 14:59:28,Bitte nicht wählen er hat ein wichtiges Gesetz für die befölgerung einfach aufgelöst,1,0,7463869725295136022,7463869725295136022,neutral,,[]
7485123792118514454,2025-03-23 21:43:18,,0,0,7463869725295136022,7463869725295136022,negative,1.0,['😁']
7473795394574811926,2025-02-21 09:04:22,,0,0,7463869725295136022,7463869725295136022,negative,1.0,"['💙', '💙']"
7472697524660716310,2025-02-18 10:04:10,ja soll Baden gehn,0,0,7463869725295136022,7463869725295136022,negative,,[]
7467624326843433750,2025-02-04 17:57:07,DIE BRAUCHT DER KRIEGSTREIBER ,1,0,7463869725295136022,7463869725295136022,neutral,,"['🥵', '🥵', '🥵', '🥵', '🥵', '🥵']"
7463881387701437206,2025-01-25 15:53:00,,2,0,7463869725295136022,7463869725295136022,negative,-1.0,"['🦍', '🤮', '💩', '🦍', '🤮', '💩', '🦍', '🤮', '💩', '🦍', '🤮', '💩']"
7463437204230062870,2025-01-24 11:09:34,,2,0,7463408043200417046,7463408043200417046,negative,1.0,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '🥰', '🥰', '🥰']"
7463412160606126870,2025-01-24 09:32:03,Das verlangt die AFD seit Jahren  Ist Friedrich Krieg bis Merz jetzt auch RECHTSEXTREM Euch ist nicht mehr zu helfen ,2,0,7463408043200417046,7463408043200417046,negative,0.0,"['😎', '😠']"
7463437120369574678,2025-01-24 11:09:28,"der ante Merz
möchte gern Kanzler",1,0,7463408043200417046,7463408043200417046,neutral,1.0,"['😝', '😝', '😝', '😝', '😝']"
7469073570364654358,2025-02-08 15:40:50,Merz hat afd kopiert weil er sowas niemals machen würde er will nur an die Macht danach zeigt er sein wahres Gesicht deshalb nur afd ,0,0,7463408043200417046,7463408043200417046,negative,1.0,"['😂', '💙', '💙', '💙']"
7463454281171075862,2025-01-24 12:15:15,Baron Münchhausen,0,0,7463408043200417046,7463408043200417046,negative,,[]
7463450575646196502,2025-01-24 12:01:20,DEUTSCHLAND HAT SICH ABGESCHAFFT DESWEGEN WÄHLE ICH UND ALLE ANDEREN POLITIKER HABEN BEI MERKEL ZUGESEHEN,0,0,7463408043200417046,7463408043200417046,negative,1.0,"['🖤', '💙', '🥰']"
7463447808974570262,2025-01-24 11:50:44,,0,0,7463408043200417046,7463408043200417046,negative,1.0,"['💙', '💙', '💙']"
7463446447297037078,2025-01-24 11:45:07,,0,0,7463408043200417046,7463408043200417046,negative,,['🤡']
7468254724263199510,2025-02-06 10:44:14, deshalb wählen wir blau,178,2,7468232706598456598,7468232706598456598,neutral,1.0,"['💙', '💙', '💙', '💙', '💙', '💙']"
7468256627891471106,2025-02-06 10:51:39,blablablanur noch ,134,0,7468232706598456598,7468232706598456598,positive,1.0,"['💙', '💙', '💙', '💙']"
7468302752495371030,2025-02-06 13:49:55,Nur noch blau,71,0,7468232706598456598,7468232706598456598,negative,,[]
7468302346192880406,2025-02-06 13:48:16,Sie haben ja das Geld aber manche nicht ,56,0,7468232706598456598,7468232706598456598,negative,1.0,"['💙', '💙']"
7468321354664641302,2025-02-06 15:01:45,Hauptsache das Geld stimmt,42,0,7468232706598456598,7468232706598456598,negative,,[]
7468332534057992982,2025-02-06 15:45:08,und tschüss,38,0,7468232706598456598,7468232706598456598,negative,,[]
7468305810825773846,2025-02-06 14:01:27, na dann,32,0,7468232706598456598,7468232706598456598,negative,1.0,"['💙', '💙', '💙']"
7468326023026246422,2025-02-06 15:20:01,Warum legen sie nicht jetzt gleich ihr Mandat nieder sowas kann das Volk nicht gebrauchen Die Regierung ist schon schlimm genug und hat Deutschland in den Boden gestampft,30,1,7468232706598456598,7468232706598456598,negative,,[]
7468327903941329686,2025-02-06 15:27:25,Ihr hattet Jahrzehnte Zeit aber was habt ihr gemacht und was macht ihr IHR REGIERT GEGEN DAS VOLK,29,0,7468232706598456598,7468232706598456598,neutral,,[]
7468343162941178646,2025-02-06 16:26:40, Alice Weidel,26,0,7468232706598456598,7468232706598456598,positive,1.0,"['💙', '💙', '💙', '💙']"
7468309063127384854,2025-02-06 14:14:17,Immer schön gegen die Mehrheit regieren Mal schauen wie lange das Volk sich das noch anschaut,26,0,7468232706598456598,7468232706598456598,positive,,[]
7468301372301214486,2025-02-06 13:44:41,bla bla,22,0,7468232706598456598,7468232706598456598,negative,,[]
7468358252016386838,2025-02-06 17:25:02,Nur ,21,0,7468232706598456598,7468232706598456598,negative,1.0,"['💙', '💙', '💙', '💙', '💙']"
7468319394730378006,2025-02-06 14:54:31,ade ,20,0,7468232706598456598,7468232706598456598,positive,0.25925925925925924,"['😭', '😭', '😭', '😭', '😭', '😭', '😭', '😭', '😭', '😭', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '🤣', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']"
7468307165389964054,2025-02-06 14:07:09,Das Verhalten der SPD und Grünen halten sie nicht für richtig haben aber die gleichen Gedankengänge Ihre Aussage ist ja ein Wiederspruch Die CDU und die anderen kann man nicht wählen,18,0,7468232706598456598,7468232706598456598,negative,,[]
7468332415775064854,2025-02-06 15:44:59,Und Tschüß ,17,0,7468232706598456598,7468232706598456598,negative,1.0,['😂']
