id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emojis,emoji_sentiment
7463871339079107350,2025-01-25 15:13:39,Wir sind im Team Willie 👍👍♥️,0,0,7461305048014933270,7461305048014933270,neutral,"['👍', '👍', '♥️']",1.0
7461397373199614742,2025-01-18 23:14:05,😂😂😂,0,0,7461305048014933270,7461305048014933270,negative,"['😂', '😂', '😂']",1.0
7461370810327122710,2025-01-18 21:30:09,Erster kannst du mich im nächsten Video grüßen?❤️❤️❤️,0,0,7461305048014933270,7461305048014933270,neutral,"['❤️', '❤️', '❤️']",111.0
7467257495246340886,2025-02-03 18:13:22,DER redet auch gerne und viel!,4,1,7467247633191423254,7467247633191423254,neutral,[],1.0
7467254181494801174,2025-02-03 18:00:34,"Die CDU kann sagen was sie will, wir werden Merz nie verzeihen",3,1,7467247633191423254,7467247633191423254,neutral,[],1.0
7467256146870518550,2025-02-03 18:08:16,Sie sind ein Teil davon !,2,0,7467247633191423254,7467247633191423254,neutral,[],1.0
7467953041113727766,2025-02-05 15:12:44,CDU. Ihr habt es zerstört 😡😡😡,1,2,7467247633191423254,7467247633191423254,negative,"['😡', '😡', '😡']",111.0
7467555597668877078,2025-02-04 13:30:25,"Meine Stimme hat Merz jetzt sicher. Ihm traue ich zu, dass er die Wirtschaft wieder in Gang bringt.",1,0,7467247633191423254,7467247633191423254,neutral,[],111.0
7471295116972557078,2025-02-14 15:21:25,"CDU ist unwählbar! Hat man im Bundestag gesehen, die eigenen Leute haben gegen Merz seinen Vorschlag gestimmt! Hat seine Leute nicht im Griff aber will ein Land in den Griff bekommen....",1,0,7467247633191423254,7467247633191423254,negative,[],111.0
7467996412610773782,2025-02-05 18:00:46,Und der sächsische Anführer! So ein Winzling.,0,0,7467247633191423254,7467247633191423254,neutral,[],-1.0
7467980685996655382,2025-02-05 16:59:50,Lügner 🙅,0,0,7467247633191423254,7467247633191423254,negative,['🙅'],-1.0
7467966721221493526,2025-02-05 16:05:55,Kretschmer 🔛🔝,0,0,7467247633191423254,7467247633191423254,negative,"['🔛', '🔝']",-1.0
