id,username,partei,video_description,voice_to_text,gpt_topic,topic_clean
7460967230038101270,anja.liebert,Grüne,Teil 4 - Wer tritt eigentlich für die #grünen im Wahlkreis #Wuppertal I an? Schaut rein! #miteinander #btw25 #teamrobert #btw2025 #gruenewuppertal ,"ich stehe für eine vielfältige Gesellschaft, in der wir beim Klimaschutz auf Kurs bleiben und in der niemand zurückgelassen wird. ich setze mich 1. für eine nachhaltige und sozialgerechte Stadtentwicklung mit vielfältigen quartieren, mit Gebäuden, die gut saniert und in Schuss sind und wo das wohnen bezahlbar bleibt. wir müssen wirklich viel in den Städten tun. zum einen brauchen wir eine intakte Infrastruktur, aber wir müssen auch in die Zukunft denken und klimaanpassung ganz nach vorne stellen. Hitze, Starkregen, zu viel Wasser oder Dürre, das alles kann das Leben in der Stadt beeinflussen. hier haben wir es in der Hand, die Zukunft zu gestalten. Mein Motto für den Wahlkampf ist miteinander, denn wir müssen die Dinge der Zukunft gemeinsam angehen.
","Wahlkampf.

Wahlkampf

(Note",[]
7460508623794457878,anja.liebert,Grüne,Teil 3 - Wer tritt eigentlich für die #grünen im Wahlkreis #Wuppertal I an? Schaut rein! #miteinander #btw25 #teamrobert #btw2025 #gruenewuppertal ,,Wahlkampf,[]
7460088321738509591,anja.liebert,Grüne,Teil 2 - Wer tritt eigentlich für die #grünen im Wahlkreis #Wuppertal I an? Schaut rein! #miteinander #btw25 #teamrobert #btw2025 #gruenewuppertal ,"oh, da kommt gerade unsere himmelblaue Schwebebahn, eines der wichtigsten ÖPNV Verkehrsmittel hier in Wuppertal. Mein Name ist Anja libert, ich bin grüne Bundestagsabgeordnete für Wuppertal und das bergische Land und jetzt kandidiere ich erneut für den Bundestag. pubertal ist eine faszinierende Stadt. wir haben viele historische Wohnviertel, wo sich wunderbar und auch noch relativ preiswert wohnen lässt. auf der anderen Seite haben wir Industriekultur verknüpft mit Modernität. wir sind Smart City mit einer Schwebebahn, die über 100 Jahre alt ist, aber trotzdem, 1 ÖPNV Mittel ist 1 schönes bergesches Frühstück mit der dröppelmänner und kottenbutter. ich glaube, das gibt es nur hier im bergischen. na klar.
","Thema: Wahlkampf

Wahlkampf

",[]
7459426982900682006,anja.liebert,Grüne,Teil 1 - Wer tritt eigentlich für die #grünen im Wahlkreis #Wuppertal I an? Schaut rein! #miteinander #btw25 #teamrobert #btw2025 #gruenewuppertal ,"ich komme gerade von einer Diskussionsveranstaltung hier vom Berufskolleg. das ist der Auftakt zu einer ganzen Reihe von Veranstaltung an Schulen, wo die Kandidatinnen und Kandidaten für die Bundestagswahl sich den Schülerinnen und Schülern präsentieren. ich mag diese Formate, weil man immer direkt in den Austausch gehen kann. Mein Name ist Anja libert, ich bin grüne Bundestagsabgeordnete für Wuppertal und das bergische Land. und jetzt kandidiere ich erneut für den Bundestag. na klar.
","Thema: Wahlkampf

Wahlkampf

",[]
7462759545274682646,anja.liebert,Grüne,Teil 5 - Wer tritt eigentlich für die #grünen im Wahlkreis #Wuppertal I an? Schaut rein! #miteinander #btw25 #teamrobert #btw2025 #gruenewuppertal ,"Mein Motto für den Wahlkampf ist miteinander, denn wir müssen die Dinge der Zukunft gemeinsam angehen. erstmal freue ich mich natürlich auf 1 super Wahlergebnis für Die Grünen, damit wir weiter mitgestalten können. und wenn es danach vielleicht mal einen freien Abend gibt, würde ich das auch sehr zu schätzen wissen. was Mir 1 bisschen Ruhe und Kraft gibt, ist, dass ich es versuche von einem Termin zum anderen entweder in Ruhe mit der Schwebebahn oder mit der Bahn zu fahren oder auch einfach mal 1 Stück zu Fuß zu gehen.
","Wahlkampf

Wahlkampf

Wahl",[]
7473161073332391190,anja.liebert,Grüne,Neuer Star am Poetry Slam Himmel? - Teil 3: Hier seht ihr den dritten und letzten Teil meines Ausfluges in die Poetry-Slam-Arena. #bundestagswahl #poetryslam ,"Frederik März, er hat kein Herz Stimmen sucht er bei den braunen. das führte zu großem Erstaunen im Bundestag. für mich war das 1 Schlag, deshalb bin ich Team Zuversicht. bei jeder Demo seh ich mehr Licht. Menschen stehen auf für die Demokratie und rufen nie nie wieder. ist jetzt der Preis für Döner oder Jägerinnen Schnitzel? Mach darüber kein Gewitzel. die mieten und die Nebenkosten das wird 1 immer größerer posten. bezahlbar muss das Leben bleiben. ihr sollt euch nicht beim Einkauf die Augen reiben. wir stehen für weniger Steuer, aber nicht für die super reichen. das wär Ungeheuer. also Text the very rich, sonst ändert sich ja nix. USA fehlgeleitet. meine Antwort Europe United gemeinsam stehen wir für Demokratie, ansonsten gelingt das Zusammenleben nie. vielfältig und bunt ist das Leben. wir sollten gemeinsam danach streben miteinander nach vorne zu schauen, uns wieder mehr vertrauen. ich verspreche ihr werdet nicht vom März gequält, wenn ihr alle Robert wählt. also wählt am 23. grün.
",Wahlkampf,[]
7472804675431959830,anja.liebert,Grüne,Politischer Poetry Slam - Teil 2: Im Wahlkampf habe ich mich in die Poetry-Slam-Arena gewagt. Hier seht ihr den zweiten Teil. #bundestagswahl #poetryslam ,"Zeit für sich ganz allein zu haben ist wertvoll. mal weg von all dem Stress, das ist toll. aber Einsamkeit suchst du dir nicht Aus. es frisst deine Seele und du bleibst im Schneckenhaus. OB Jung oder alt, doof oder schlau, Arm oder Reich, Mann oder Frau, Einsamkeit trifft dich voll. manchmal fühl ich mich einsam als Frau, wenn ich auf die vielen vielen Männer in der Politik schau. das kann vieles mit dir machen und du brauchst Leute, die mit dir darüber lachen. wir brauchen öffentliche räume, gut gestaltet, natürlich auch Bäume zum treffen, tratschen, Posen, egal OB im Rock oder in Hosen, sicher und hell und inklusive. aber nicht jeden Abend Beef. einfach nette Orte statt leerer Worte. und wer unterwegs ist ohne Auto, braucht Bahn und Bus. bezahlbar und nicht schon um 23 Uhr Schluss Deutschland Ticket, we don't Kick It. und die Jugend und die Pandemie Leute, das vergess ich nie. Lehrerin können, keine Wiko. aber immerhin muss man nicht auf Schulklo, im Ehrenamt oder im Verein. auch das kann 1. Ort für Begegnung sein Hauptsache es hängt nicht nur am Geld, sondern du findest was dir gefällt. danke schön!
",Wahlkampf,[]
7470870945226591510,anja.liebert,Grüne,"Politik mal anders - Teil 1: Im Wahlkampf habe ich mich in die Poetry-Slam-Arena gewagt. Ein Ausflug, der Spaß gemacht hat, bei dem ich natürlich aber auch Inhalte vermittelt habe. Wie ich mich beim Kandidat:innen-Slam geschlagen habe, sehr ihr hier im Auszug. Weitere folgen in den nächsten Tagen. #bundestagswahl #poetryslam","2050, das ist schon bald. mich lässt die Zukunft unserer Kinder nicht kalt. aber kaum jemand spricht noch übers Klima. die Öl und gaslobby ruft prima. wie wird 2050 gut? wir brauchen jetzt Zuversicht und Mut. Demokratie und Teilhabe sind die Grundlage. oder stellt das hier jemand in Frage? 2050 ist wirklich schön, wenn wir es gemeinsam angehen. das Vermögen der Menschen wird Anders verteilt, damit gute Bildung wirklich alle erreicht. sichere Rente und Arbeit schafft Generationengerechtigkeit. die Wirtschaft ist dann klimaneutral, ja auch der grüne Stahl. Natur erholt sich wieder mit vielen Arten. statt überall Parkplätze haben wir dann Stadtgarten. Kultur spielt auf für kleines Geld, mal schrill, mal klassisch, so wie es euch gefällt. aber Kultur ist mehr als nur Spaß an der Freud. ihr Beitrag zur Demokratie ist unerhört. das stellen wir alle zusammen hier heute unter Beweis. ich hoffe ihr belohnt unseren Fleiß mit einem kräftigen Applaus. danke schön!
","Thema: Wahlkampf

Wahlkampf

",[]
7473909527365029142,anja.liebert,Grüne,ALLES DREHT SICH! Am Sonntag beide Stimmen GRÜN! Für Klimaschutz. Für Demokratie. Für soziale Gerechtigkeit. Für Frieden in Europa. FÜR ZUVERSICHT! #btw25 #teamanja #Bundestag #gruene #wuppertal,,Wahlkampf.,[]
7458252176448572694,annaluehrmann,Grüne,,,Wahlkampf.,[]
7455275271428508950,annaluehrmann,Grüne,"👉 Ehrlich, offen und reflektiert - das sind Qualitäten eines modernen Kanzlers.  💚 Das sind Qualitäten von @Robert Habeck!  🤳 Teile das Video mit 3 Freund:innen! #habeck #merz #scholz ",,Wahlkampf.,[]
7455239704674438422,annaluehrmann,Grüne,#sudan #krieg #frieden #politik #bundestag ,,Wahlkampf.,[]
