id,username,partei,video_description,voice_to_text,gpt_topic,topic_clean
7457485440904350998,beatrixvonstorchneu,AfD,"Heute, 8.1. um 16:00 Uhr großer Bürgerdialog in Marzahn-Hellersdorf, direkt an der Grenze zu Lichtenberg. Mit Gottfried Curio und Jeannette Auricht. Kommen Sie vorbei! Danke für das Verbreiten dieser Einladung. 🙏 ",,"Datum: 8.1.  
Uhr",[]
7461261779428150550,brandner_afd,AfD,Wir wollen die 40 Prozent! #afd #stephanbrandner #aliceweidel #neuwahlen #neuwahlen2025💙💙💙 ,,Hashtags: #afd #stephanbrandner,[]
7458350790617435414,edgarnaujokmdb,AfD,"Wir müssen reden! - Infostand Markranstädt mit Grillen - 11.01.2025 von 10.00 - 14.00 Uhr Edgar Naujok, Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig steht Euch in gemütlicher Runde für Fragen und Antworten zur Verfügung. #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 11.01.2025
",[]
7457159806470655254,edgarnaujokmdb,AfD,"Das mobile Bürgerbüro ist für Sie vor Ort - Nah dran, statt nur dabei! Mein Bürgermobil wird in dieser Woche an verschiedenen Orten Station machen. Kommen Sie mit uns ins Gespräch!  ✅ 07.01. Dienstag, 10.00 - 14.00 Uhr: Markkleeberg (Markt)  ✅ 08.01. Mittwoch, 10.00 - 14.00 Uhr: Wurzen (Markt)  ✅ 10.01. Freitag, 10.00 - 14.00 Uhr: Regis-Breitingen (Bergmannsring/Freilichtbühne)  ✅ 11.01. Samstag, 10.00 - 14.00 Uhr: Markranstädt (Markt)  ✅ 12.01. Sonntag, 10.00 - 14.00 Uhr: Zwenkau (Markt) Wir freuen uns auf Sie! Ihr Team Naujok #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Ort: Markkleeberg, Wurzen",[]
7455238662423465238,edgarnaujokmdb,AfD,"Das mobile Bürgerbüro ist für Sie vor Ort - Nah dran, statt nur dabei! Mein Bürgermobil wird in dieser Woche an verschiedenen Orten Station machen. Kommen Sie mit uns ins Gespräch!  ✅ 02.01. Dienstag, 10.00 - 14.00 Uhr: Borna - Reichsstraße  ✅ 03.01. Mittwoch, 10.00 - 14.00 Uhr: Bad Lausick (Markt) Wir freuen uns auf Sie! Ihr Team Naujok #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 02.01.2024
",[]
7461576674048609558,edgarnaujokmdb,AfD,Ein sehr gut besuchter Infostand gestern in Frohburg. 👍🏻 Heute sind wir noch bis 14.00 Uhr für Euch in Colditz auf dem Markt. ##edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ,,"Ort: Frohburg, Colditz
Datum",[]
7459807993941544214,edgarnaujokmdb,AfD,"Das mobile Bürgerbüro ist für Sie vor Ort - Nah dran, statt nur dabei! Mein Bürgermobil wird in dieser Woche an verschiedenen Orten Station machen. Kommen Sie mit uns ins Gespräch!  ✅ 15.01. Mittwoch, 10.00 - 14.00 Uhr: Neukieritzsch (Markt)  ✅ 16.01. Donnerstag, 10.00 - 14.00 Uhr: Naunhof (Markt)  ✅ 17.01. Freitag, 10.00 - 14.00 Uhr: Machern (Markt)  ✅ 18.01. Samstag, 10.00 - 14.00 Uhr: Frohburg (Markt)  ✅ 19.01. Sonntag, 10.00 - 14.00 Uhr: Colditz (Markt) Wir freuen uns auf Sie! Ihr Team Naujok #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 15.01.2024
",[]
7458702728152255766,edgarnaujokmdb,AfD,"Wir müssen reden! - Infostand Zwenkau mit Grillen - 12.01.2025 von 10.00 - 14.00 Uhr Edgar Naujok, Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig steht Euch in gemütlicher Runde für Fragen und Antworten zur Verfügung. #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 12.01.2025
",[]
7465699341240421654,edgarnaujokmdb,AfD,"Wir müssen reden! - Infostand Markranstädt mit Grillen - 01.02.2025 von 10.00 - 14.00 Uhr Edgar Naujok, Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig steht Euch in gemütlicher Runde für Fragen und Antworten zur Verfügung. #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 01.02.2025
",[]
7464904258056604950,edgarnaujokmdb,AfD,"Das mobile Bürgerbüro ist für Sie vor Ort - Nah dran, statt nur dabei! Mein Bürgermobil wird in dieser Woche an verschiedenen Orten Station machen. Kommen Sie mit uns ins Gespräch!  ✅ 28.01. Dienstag, 10.00 - 14.00 Uhr: Wurzen (Markt)  ✅ 29.01. Mittwoch, 10.00 - 14.00 Uhr: Borna (Markt)  ✅ 30.01. Donnerstag, 10.00 - 14.00 Uhr: Grimma (Markt)  ✅ 31.01. Freitag, 10.00 - 14.00 Uhr: Pegau (Markt) ‼️TIPP‼️ 31.01. Freitag, ab 18.00 Uhr Grimma Rathaussaal  ✅ 01.02. Samstag, 10.00 - 14.00 Uhr: Markranstädt (Markt)  ✅ 02.02. Sonntag, 10.00 - 14.00 Uhr: Zwenkau (Markt) Wir freuen uns auf Sie! Ihr Team Naujok #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 28.01.2024
",[]
7462744817097870614,edgarnaujokmdb,AfD,"Wir müssen reden! - Infostand Brandis mit Grillen - 25.01.2025 von 10.00 - 14.00 Uhr Edgar Naujok, Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig steht Euch in gemütlicher Runde für Fragen und Antworten zur Verfügung. #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 25.01.2025
",[]
7462288724429114646,edgarnaujokmdb,AfD,"Das mobile Bürgerbüro ist für Sie vor Ort - Nah dran, statt nur dabei! Mein Bürgermobil wird in dieser Woche an verschiedenen Orten Station machen. Kommen Sie mit uns ins Gespräch!  ✅ 21.01. Dienstag, 10.00 - 14.00 Uhr: Trebsen (Markt)  ✅ 22.01. Mittwoch, 10.00 - 14.00 Uhr: Kitzscher (Wochen-Markt)  ✅ 23.01. Donnerstag, 10.00 - 14.00 Uhr: Geithain (Markt)  ✅ 24.01. Freitag, 10.00 - 14.00 Uhr: Rötha (Markt)  ✅ 25.01. Samstag, 10.00 - 14.00 Uhr: Brandis (Markt)  ✅ 26.01. Sonntag, 10.00 - 14.00 Uhr: Grimma (Markt) Wir freuen uns auf Sie! Ihr Team Naujok #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 21.01.2024
",[]
7468961006161579286,edgarnaujokmdb,AfD,"+++TERMINERINNERUNG für heute+++ Wir müssen reden! – Infostand Brandis mit Grillen – 08.02.2025 von 10.00 – 14.00 Uhr Edgar Naujok, Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig steht Euch in gemütlicher Runde für Fragen und Antworten zur Verfügung. Wir freuen uns auf Sie! Euer Edgar Naujok Mitglied des Deutschen Bundestages/ direkt gewählt im Landkreis Leipzig #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 08.02.2025
",[]
7467655698705288470,edgarnaujokmdb,AfD,"+++TERMINERINNERUNG für morgen+++ Wir müssen reden! - Schweizergarten Wurzen - 05.02.2025 Datum: 05.02.2025 Zeit: 18.00 - 20.00 Uhr Ort: Kulturhaus Schweizergarten, Schweizergartenstraße 2, 04808 Wurzen Edgar Naujok (Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig), Jörg Urban (Mitglied des sächsischen Landtages - Fraktionsvorsitzender, Landesvorsitzender AfD Sachsen), Jörg Dornau (Mitglied des sächsischen Landtages), René Opolka (Stadtrat der Stadt Wurzen) stehen Euch für Fragen und Antworten zur Verfügung. #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 05.02.2025
",[]
7467552418943864086,edgarnaujokmdb,AfD,"Wir müssen reden! – Infostand Brandis mit Grillen – 08.02.2025 von 10.00 – 14.00 Uhr Edgar Naujok, Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig steht Euch in gemütlicher Runde für Fragen und Antworten zur Verfügung. Wir freuen uns auf Sie! Euer Edgar Naujok Mitglied des Deutschen Bundestages/ direkt gewählt im Landkreis Leipzig #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 08.02.2025
",[]
7467497781280754966,edgarnaujokmdb,AfD,"Das mobile Bürgerbüro ist für Sie vor Ort - Nah dran, statt nur dabei! Mein Bürgermobil wird in dieser Woche an verschiedenen Orten Station machen. Kommen Sie mit uns ins Gespräch!  ✅ 04.02. Dienstag, 10.00 - 14.00 Uhr: Machern (Markt)  ✅ 05.02. Mittwoch, 10.00 - 14.00 Uhr: Geithain (Markt) ‼TIPP‼ 05.02. Donnerstag, ab 18.00 Uhr Wurzen (Schweizergarten)‼  ✅ 06.02. Donnerstag, 10.00 - 14.00 Uhr: Böhlen (Markt)  ✅ 07.02. Freitag, 10.00 - 14.00 Uhr: Bad Lausick (Markt)  ✅ 08.02. Samstag, 10.00 - 14.00 Uhr: Brandis (Markt)  ✅ 09.02. Sonntag, 10.00 - 14.00 Uhr: Grimma (Markt) Wir freuen uns auf Sie! Ihr Team Naujok #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 04.02.2024
",[]
7466579686127111446,edgarnaujokmdb,AfD,"+++Terminerinnerung für morgen, den 02.02.2025+++ Wir müssen reden! - Infostand Zwenkau mit Grillen - 02.02.2025 von 10.00 - 14.00 Uhr Edgar Naujok, Mitglied des Deutschen Bundestages und direkt gewählt im Landkreis Leipzig steht Euch in gemütlicher Runde für Fragen und Antworten zur Verfügung. #edgarnaujok #AfD #landkreisleipzig #sachsen #bundestag ",,"Datum: 02.02.2025
",[]
